,Health condition,Food,Physical health,Public transport,Education,Houses of worship,RSquared,MSE
0,Health insurance access,0.0,-0.0,-0.0,-0.0,-0.0,-0.0133,25.742986111111104
1,Arthritis prevalence,0.0,-0.0,-0.142,1.1812,0.0,0.0053,30.35521139602361
2,Binge drinking prevalence,0.0,0.0,0.0,-0.0,-0.0,-0.0133,14.15312414266118
3,High blood pressure prevalence,-0.0,-0.0,-1.3356,0.6334,0.0,0.0426,74.91284414969063
4,Medium blood pressure prevalence,-0.0,-0.0,-0.0,1.1814,0.0,-0.0007,45.0491976531178
5,Cancer prevalence,-0.0,0.0,0.0,0.4044,0.0,-0.0052,1.7258910472344373
6,Asthma prevalence,0.0,-0.0,-0.1799,-0.0,-0.0,-0.0055,4.092973225640474
7,Cervical cancer screenings,0.0,0.0,-0.0,0.3068,0.23075059129958805,-0.0077,22.033497093029315
8,Coronary heart disease prevalence,-0.0,-0.0,-0.111,0.2465,-0.0,-0.0031,4.60440202703297
9,Routine checkups,-0.0532,-0.5128,-0.3052,0.687,0.511040938299982,0.0128,9.786239567081948
10,Cholesterol screenings,-0.0,-0.0,-0.0,0.6685,0.37116085265484994,-0.0042,26.56715138482357
11,Colon cancer screenings,-0.0,0.0,0.5061,0.011,0.20659448679268066,-0.0382,49.49390700434614
12,COPD prevalence,0.0,-0.0,-0.0,0.0,-0.0,-0.0133,10.612951817558299
13,Core men's health,-0.0,0.1033,1.0192,0.0,0.0,-0.0692,41.30423241439307
14,Core women's health,0.0,0.1596,0.0812,0.0,0.0,-0.0195,23.900817108313408
15,Smoking prevalence,0.0,-0.0,-0.0,-0.0,-0.0,-0.0133,51.652931241426614
16,Dental checkups,-0.0,0.0,1.1699,0.0,0.0,-0.0762,146.32466508693838
17,Depression prevalence,0.0,0.0,0.0,0.0,-0.0,-0.0133,6.24048268175583
18,Diabetes prevalence,0.0,-0.0,-0.7839,0.0,0.0,0.0169,27.811693553288222
19,General poor health prevalence,0.0,-0.0,-0.3692,0.0,-0.0,0.0021,84.29162227507442
20,High cholesterol prevalence,0.0,0.0,-0.0,1.0565,0.0,-0.0005,13.499080746910673
21,Chronic kidney disease,-0.0,-0.0262,-0.1762,0.042,0.0,-0.0043,1.5029278720923334
22,No physical activity,0.0,-0.0,-0.2365,0.0,-0.0,-0.0032,90.39805174589394
23,Mammograms,-0.2236,-0.459,-0.3475,-0.4016,0.32516511887853333,-0.0086,4.367811731113798
24,Poor mental health prevalence,0.0,-0.0,-0.0,-0.0,-0.0,-0.0133,23.89131944444445
25,Obesity prevalence,0.0,-0.0,-1.0223,0.0,-0.0,0.0242,51.15517438587465
26,Poor physical health,0.0,-0.0,-0.0,0.0,-0.0,-0.0133,24.36690243484225
27,Poor sleep prevalence,0.0,-0.0,-0.8924,-0.0,-0.0,0.0203,29.04163233831623
28,Stroke prevalence,-0.0,-0.0,-0.2685,0.0109,0.0,-0.0016,3.5474082115391776
29,Teeth loss prevalence,0.0,-0.0,-1.0063,-0.0,-0.0,0.0237,128.48034038769876
