,Health condition,Food,Physical health,Public transport,Education,Houses of worship,RSquared,MSE
0,Smoking prevalence,-0.7684,-0.7964,1.9901,0.3446,0.19215265729876627,0.6781,1.407090774201773
1,No physical activity,-1.5767,-1.7392,3.4307,0.6037,0.9007211677659115,0.6608,4.705657252269448
2,Colon cancer screenings,1.7775,1.9096,-4.5937,0.4093,-1.115116287684182,0.6557,6.308348503757854
3,Poor sleep prevalence,-1.3733,-1.0506,2.4938,-0.0021,0.6768479675646926,0.6499,2.399350410252162
4,Poor physical health,-0.3529,-0.0,0.8993,0.6271,0.0,0.6382,1.0515132390738713
5,Dental checkups,2.4594,3.3288,-6.4551,-0.0,-0.9552697961048584,0.6354,13.79070829972247
6,Teeth loss prevalence,-0.9849,-1.1158,2.2393,0.227,0.529783636831733,0.6276,2.0374514631040364
7,General poor health prevalence,-1.1056,-0.367,2.0946,0.9772,0.18243886786673844,0.6232,4.459669377979154
8,Health insurance access,-1.1612,-1.7416,2.8096,0.3676,0.4903223483870601,0.6204,3.0593490545302826
9,Core men's health,1.6836,1.7095,-3.4451,0.3475,-1.0596823229183683,0.5883,4.797788707051386
10,Binge drinking prevalence,0.4515,-0.0,-0.6991,-0.9967,-0.44123584510141267,0.5722,2.570288406604337
11,Core women's health,0.8471,1.0509,-2.7061,0.2421,-0.6010955265145373,0.5182,4.065624433033259
12,Cervical cancer screenings,1.1043,2.5623,-4.0026,0.3568,-0.3857982194513717,0.489,7.7489500493233345
13,Obesity prevalence,-0.0,0.0,0.5646,0.006,0.0,0.3344,1.8339309593471067
14,Diabetes prevalence,-0.0,0.0,0.6746,0.1755,0.0,0.321,3.2456504569438533
15,High blood pressure prevalence,-0.0,0.0,0.8655,0.1449,0.0,0.2177,14.451645645670384
16,Poor mental health prevalence,-0.1435,-0.0759,0.3702,0.1567,-0.06363911350631618,0.1994,1.8496483060283404
17,COPD prevalence,-0.0,0.0,0.0856,0.069,0.0,0.1959,0.619067090144317
18,Stroke prevalence,-0.0,0.0,0.0994,0.0,0.0,0.1549,0.3223492097664306
19,Chronic kidney disease,-0.0,0.0,0.0589,0.0109,0.0,0.1491,0.16219891723876917
20,Coronary heart disease prevalence,-0.0,0.0,0.0924,0.0,0.0,0.0935,0.8102977411689769
21,Mammograms,0.0,-0.0,-0.0,-0.0942,-0.0,0.0748,1.6158701893270153
22,Routine checkups,0.0,0.0,0.0,0.0,0.10853000943816743,0.0458,4.814001428166989
23,Arthritis prevalence,0.0,0.0,0.0,0.1389,0.0,0.0453,9.108627722138573
24,Cancer prevalence,0.0313,0.0,0.0,0.0,0.0,0.0204,1.3241835671463458
25,Cholesterol screenings,0.0,0.0,-0.0,0.0,0.024552503651283454,0.0052,8.285298198038916
26,High cholesterol prevalence,0.0,0.0,0.0,0.0,0.0,0.0,11.278201530612247
27,Asthma prevalence,-0.0,-0.0,0.0,0.0,0.0,0.0,0.1933673469387754
28,Medium blood pressure prevalence,0.0,0.0,0.0,0.0,0.0,0.0,25.938099489795917
29,Depression prevalence,0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.5274872448979595
