GEOID,COUNTYFP,INTPTLAT,INTPTLONG
39061000200,39061,39.1097447,-84.529614                                                                                                                                                  
39061000700,39061,39.1043174,-84.5114792                                                                                                                                                 
39061000900,39061,39.1099206,-84.5177541                                                                                                                                                 
39061001000,39061,39.1101068,-84.5128218                                                                                                                                                 
39061001100,39061,39.1098169,-84.5060615                                                                                                                                                 
39061001600,39061,39.1167504,-84.5204179                                                                                                                                                 
39061001700,39061,39.1151644,-84.5143039                                                                                                                                                 
39061001800,39061,39.1151546,-84.5059735                                                                                                                                                 
39061001900,39061,39.1166615,-84.4946384                                                                                                                                         
39061002000,39061,39.1224044,-84.4837808                                                                                                                                                 
39061002200,39061,39.1222992,-84.5047123                                                                                                                                                 
39061002300,39061,39.1213157,-84.5118958                                                                                                                                                 
39061002500,39061,39.1244294,-84.5168602                                                                                                                                                 
39061002600,39061,39.1245339,-84.5224034                                                                                                                                                 
39061002700,39061,39.1261803,-84.5292243                                                                                                                                                 
39061002800,39061,39.1388538,-84.5399459                                                                                                                                          
39061002900,39061,39.1352738,-84.5259677                                                                                                                                                
39061003000,39061,39.1335858,-84.5170998                                                                                                                                          
39061003200,39061,39.1373592,-84.5052889                                                                                                                                                 
39061003300,39061,39.1298682,-84.5064314                                                                                                                                                 
39061003600,39061,39.1351507,-84.4857257                                                                                                                                                 
39061003700,39061,39.1287718,-84.4835535                                                                                                                                                 
39061003800,39061,39.1421637,-84.4743022                                                                                                                                                
39061003900,39061,39.1365096,-84.4728893                                                                                                                                                 
39061004000,39061,39.1413006,-84.4612697                                                                                                                                                
39061004100,39061,39.1327048,-84.4696339                                                                                                                                                   
39061004200,39061,39.1269298,-84.4715527                                                                                                                                                 
39061004500,39061,39.0747748,-84.4174711                                                                                                                                        
39061004602,39061,39.086335,-84.3883844                                                                                                                                           
39061004603,39061,39.080026,-84.3817819                                                                                                                                                 
39061004604,39061,39.1024958,-84.3841195                                                                                                                                               
39061004701,39061,39.1206705,-84.4241348                                                                                                                                              
39061004702,39061,39.1026582,-84.4180996                                                                                                                                      
39061004800,39061,39.1323481,-84.4169362                                                                                                                                                
39061004900,39061,39.1296873,-84.4452161                                                                                                                                                
39061005000,39061,39.1414759,-84.4453059                                                                                                                                                
39061005100,39061,39.1406042,-84.4238678                                                                                                                                                
39061005200,39061,39.1509156,-84.4371694                                                                                                                                                
39061005301,39061,39.149949,-84.4274633                                                                                                                                                 
39061005302,39061,39.1488948,-84.4132657                                                                                                                                                
