POPULATION,LATITUDE,LONGITUDE,CountyFIPS,TractFIPS
11091,+40.793356,-073.881698,36005,36005000100
4334,+40.811766,-073.859826,36005,36005000200
5503,+40.810343,-073.853387,36005,36005000400
5643,+40.819750,-073.859176,36005,36005001600
1917,+40.804472,-073.918385,36005,36005001900
8731,+40.817328,-073.866274,36005,36005002000
4933,+40.809082,-073.925870,36005,36005002300
4,+40.816121,-073.871165,36005,36005002400
5491,+40.806939,-073.920503,36005,36005002500
3113,+40.805019,-073.916566,36005,36005002701
4475,+40.806703,-073.914339,36005,36005002702
5586,+40.821086,-073.877001,36005,36005002800
1597,+40.811490,-073.905550,36005,36005003100
3413,+40.808798,-073.913607,36005,36005003300
3761,+40.812023,-073.908985,36005,36005003500
245,+40.811442,-073.912187,36005,36005003700
1264,+40.820302,-073.863067,36005,36005003800
6475,+40.809504,-073.921267,36005,36005003900
1420,+40.828253,-073.858285,36005,36005004001
6127,+40.811537,-073.919581,36005,36005004100
7143,+40.823405,-073.863702,36005,36005004200
5056,+40.813312,-073.916338,36005,36005004300
4797,+40.826536,-073.866440,36005,36005004400
1555,+40.822574,-073.869750,36005,36005004600
3883,+40.827423,-073.875091,36005,36005004800
4767,+40.825019,-073.877676,36005,36005005001
5823,+40.827305,-073.878380,36005,36005005002
5810,+40.814181,-073.923929,36005,36005005100
2031,+40.826545,-073.881325,36005,36005005200
4669,+40.852127,-073.922031,36005,36005005300
5853,+40.829948,-073.879270,36005,36005005400
2711,+40.832520,-073.879018,36005,36005005600
2582,+40.824281,-073.923340,36005,36005005902
1129,+40.839141,-073.876715,36005,36005006000
3713,+40.824013,-073.921072,36005,36005006100
6585,+40.833401,-073.876035,36005,36005006200
5280,+40.824416,-073.926515,36005,36005006300
3967,+40.833100,-073.871883,36005,36005006400
5337,+40.818208,-073.921792,36005,36005006500
6984,+40.819698,-073.918139,36005,36005006700
2897,+40.828881,-073.870372,36005,36005006800
7564,+40.822056,-073.916280,36005,36005006900
4584,+40.829803,-073.865658,36005,36005007000
1907,+40.819465,-073.911472,36005,36005007100
5432,+40.831004,-073.860685,36005,36005007200
3893,+40.814707,-073.909202,36005,36005007300
3710,+40.819370,-073.852836,36005,36005007400
4869,+40.818360,-073.908615,36005,36005007500
5190,+40.833344,-073.868136,36005,36005007600
1927,+40.819821,-073.904767,36005,36005007700
6418,+40.829354,-073.853632,36005,36005007800
6733,+40.815912,-073.904872,36005,36005007900
6155,+40.813900,-073.901830,36005,36005008300
2374,+40.815614,-073.848193,36005,36005008400
5457,+40.816095,-073.898777,36005,36005008500
4176,+40.819475,-073.849711,36005,36005008600
5466,+40.820078,-073.896574,36005,36005008700
3177,+40.818596,-073.893957,36005,36005008900
3667,+40.819559,-073.846007,36005,36005009000
5017,+40.832443,-073.851496,36005,36005009200
6356,+40.813285,-073.887581,36005,36005009300
2594,+40.833748,-073.846015,36005,36005009600
5038,+40.825306,-073.850971,36005,36005009800
151,+40.817881,-073.823792,36005,36005011000
4340,+40.818715,-073.887133,36005,36005011502
1585,+40.815905,-073.886182,36005,36005011700
5089,+40.813549,-073.806451,36005,36005011800
5698,+40.823319,-073.889775,36005,36005011900
3090,+40.828099,-073.889072,36005,36005012101
1631,+40.825922,-073.888100,36005,36005012102
4152,+40.830537,-073.889135,36005,36005012300
3905,+40.828777,-073.893541,36005,36005012500
2253,+40.825798,-073.891624,36005,36005012701
4015,+40.822470,-073.899134,36005,36005012901
1032,+40.819030,-073.814159,36005,36005013000
5103,+40.825915,-073.897760,36005,36005013100
5890,+40.815619,-073.821330,36005,36005013200
6384,+40.822944,-073.903828,36005,36005013300
3583,+40.827099,-073.902048,36005,36005013500
3042,+40.822015,-073.808717,36005,36005013800
3437,+40.823601,-073.912407,36005,36005014100
1003,+40.829200,-073.911872,36005,36005014300
5880,+40.821175,-073.823482,36005,36005014400
5816,+40.831776,-073.906757,36005,36005014500
