GEOID,COUNTYFP,INTPTLAT,INTPTLONG
06075010100,06075,37.8085195,-122.4095545                                                                                                                                           
06075010200,06075,37.8058607,-122.4229252                                                                                                                                        
06075010300,06075,37.8016201,-122.4156811                                                                                                                                                
06075010400,06075,37.8022725,-122.4075581                                                                                                                                                 
06075010500,06075,37.8026835,-122.39905                                                                                                                                          
06075010600,06075,37.7993784,-122.4063879                                                                                                                                                
06075010700,06075,37.798514,-122.4100466                                                                                                                                                 
06075010800,06075,37.7964984,-122.4142914                                                                                                                                                
06075010900,06075,37.798037,-122.4205599                                                                                                                                                 
06075011000,06075,37.7943766,-122.4197978                                                                                                                                                
06075011100,06075,37.7907434,-122.4190819                                                                                                                                                
06075011200,06075,37.7929713,-122.4127333                                                                                                                                                
06075011300,06075,37.7946971,-122.4093492                                                                                                                                                
06075011700,06075,37.7904975,-122.403475                                                                                                                                                 
06075011800,06075,37.7933506,-122.4061645                                                                                                                                                 
06075011901,06075,37.7904728,-122.4139142                                                                                                                                                 
06075011902,06075,37.7909959,-122.4098067                                                                                                                                                 
06075012000,06075,37.7879645,-122.4185273                                                                                                                                                
06075012100,06075,37.7888066,-122.4118881                                                                                                                                                
06075012201,06075,37.7858464,-122.4163535                                                                                                                                                 
06075012202,06075,37.7854122,-122.4196443                                                                                                                                                 
06075012301,06075,37.7859203,-122.4107461                                                                                                                                                 
06075012302,06075,37.7870223,-122.412097                                                                                                                                                  
06075012401,06075,37.783051,-122.4157891                                                                                                                                                  
06075012402,06075,37.7801467,-122.417769                                                                                                                                                 
06075012501,06075,37.7830137,-122.4109837                                                                                                                                                
06075012502,06075,37.783933,-122.4125954                                                                                                                                                  
06075012601,06075,37.8022683,-122.4391509                                                                                                                                                
06075012602,06075,37.8064743,-122.4356584                                                                                                                                         
06075012700,06075,37.8049771,-122.4447185                                                                                                                                        
06075012800,06075,37.7978099,-122.4417465                                                                                                                                                
06075012901,06075,37.8019597,-122.4272491                                                                                                                                                 
06075012902,06075,37.8006183,-122.4321104                                                                                                                                                
06075013000,06075,37.7972442,-122.4305172                                                                                                                                                
06075013101,06075,37.7937795,-122.4247496                                                                                                                                                
06075013102,06075,37.79262,-122.4274313                                                                                                                                                  
06075013200,06075,37.7936676,-122.4387455                                                                                                                                                
06075013300,06075,37.7887307,-122.4524293                                                                                                                                                
06075013400,06075,37.789849,-122.440799                                                                                                                                                  
06075013500,06075,37.7908976,-122.4325551                                                                                                                                                
06075015100,06075,37.7874425,-122.4234051                                                                                                                                                
06075015200,06075,37.7879139,-122.4302666                                                                                                                                                
06075015300,06075,37.7867618,-122.4393346                                                                                                                                                 
06075015400,06075,37.7843623,-122.4510341                                                                                                                                                
06075015500,06075,37.7850941,-122.4341319                                                                                                                                                
06075015600,06075,37.7782473,-122.4564269                                                                                                                                                
06075015700,06075,37.7789158,-122.4480072                                                                                                                                                
06075015801,06075,37.7813045,-122.4373585                                                                                                                                                
06075015802,06075,37.778079,-122.4385023                                                                                                                                                 
06075015900,06075,37.7833409,-122.4293428                                                                                                                                                
06075016000,06075,37.7823391,-122.4224915                                                                                                                                                
06075016100,06075,37.779983,-122.4286631                                                                                                                                                 
06075016200,06075,37.7771541,-122.4228807                                                                                                                                                
06075016300,06075,37.7760456,-122.4295509                                                                                                                                                
06075016400,06075,37.7750995,-122.436973                                                                                                                                                 
06075016500,06075,37.7741958,-122.4477883                                                                                                                                                
06075016600,06075,37.7704942,-122.4474539                                                                                                                                                
06075016700,06075,37.7703481,-122.4377358                                                                                                                                                
06075016801,06075,37.7713309,-122.4290133                                                                                                                                                
06075016802,06075,37.7735464,-122.42493                                                                                                                                                  
06075016900,06075,37.7670981,-122.432469                                                                                                                                                 
06075017000,06075,37.7648873,-122.4394973                                                                                                                                                
06075017101,06075,37.7657245,-122.4460837                                                                                                                                                
06075017102,06075,37.7654353,-122.4504754                                                                                                                                                
06075017601,06075,37.7794424,-122.4107252                                                                                                                                                
06075017700,06075,37.7680421,-122.4124901                                                                                                                                                
06075017801,06075,37.7820284,-122.4011589                                                                                                                                                
06075017802,06075,37.7760649,-122.4087033                                                                                                                                                
06075017902,06075,37.8620462,-122.4195821                                                                                                                                   
06075018000,06075,37.7753304,-122.4022764                                                                                                                                                
06075020100,06075,37.7686084,-122.4200023                                                                                                                                                
06075020200,06075,37.7671244,-122.4241777                                                                                                                                                
06075020300,06075,37.7649374,-122.4294339                                                                                                                                                 
06075020401,06075,37.7595167,-122.4434836                                                                                                                                                
06075020402,06075,37.7528391,-122.4444117                                                                                                                                                
06075020500,06075,37.7591282,-122.4370296                                                                                                                                                
06075020600,06075,37.7595626,-122.4303429                                                                                                                                                
06075020700,06075,37.7591679,-122.423553                                                                                                                                                 
06075020800,06075,37.7594331,-122.4191487                                                                                                                                                
06075020900,06075,37.7518211,-122.4184134                                                                                                                                                
06075021000,06075,37.7515758,-122.4228521                                                                                                                                                
06075021100,06075,37.7539709,-122.4298154                                                                                                                                                
06075021200,06075,37.7531762,-122.4381261                                                                                                                                                
06075021300,06075,37.7492648,-122.4384684                                                                                                                                                
06075021400,06075,37.7495758,-122.4294097                                                                                                                                                
06075021500,06075,37.7450518,-122.4266975                                                                                                                                                
06075021600,06075,37.745496,-122.4381399                                                                                                                                                 
06075021700,06075,37.7402828,-122.4392726                                                                                                                                               
06075021800,06075,37.7379539,-122.429097                                                                                                                                                 
06075022600,06075,37.7612744,-122.3841166                                                                                                                                       
06075022702,06075,37.7625436,-122.3956056                                                                                                                                                 
06075022704,06075,37.7609519,-122.4019893                                                                                                                                                 
06075022801,06075,37.7607269,-122.4125113                                                                                                                                                
06075022802,06075,37.758915,-122.4062336                                                                                                                                                 
06075022803,06075,37.7558368,-122.4120842                                                                                                                                                
06075022901,06075,37.751201,-122.4139445                                                                                                                                                 
06075022902,06075,37.751344,-122.4103787                                                                                                                                                 
06075022903,06075,37.7517647,-122.4062352                                                                                                                                                 
06075023001,06075,37.7351918,-122.4017602                                                                                                                                                
06075023003,06075,37.7326749,-122.3958349                                                                                                                                                
06075023102,06075,37.7344894,-122.38449                                                                                                                                                  
06075023103,06075,37.735632,-122.3759656                                                                                                                                                
06075023200,06075,37.7277635,-122.3861501                                                                                                                                                
06075023300,06075,37.725419,-122.39777                                                                                                                                                   
06075023400,06075,37.7215916,-122.3900907                                                                                                                                                 
06075025100,06075,37.7439393,-122.4076741                                                                                                                                                
06075025200,06075,37.7437123,-122.4142166                                                                                                                                                
06075025300,06075,37.7437016,-122.4201487                                                                                                                                                
06075025401,06075,37.7396295,-122.4224695                                                                                                                                          
06075025402,06075,37.7368829,-122.412786                                                                                                                                                 
06075025403,06075,37.7337705,-122.4206068                                                                                                                                                
06075025500,06075,37.7280629,-122.4372594                                                                                                                                               
06075025600,06075,37.7287135,-122.4224243                                                                                                                                                
06075025701,06075,37.731586,-122.4121401                                                                                                                                                 
06075025702,06075,37.7281305,-122.4057589                                                                                                                                                
06075025800,06075,37.72162,-122.4020018                                                                                                                                                  
06075025900,06075,37.7234533,-122.4105033                                                                                                                                         
06075026001,06075,37.7235502,-122.4322434                                                                                                                                                
06075026002,06075,37.7261195,-122.4262823                                                                                                                                                
06075026003,06075,37.7196216,-122.4287729                                                                                                                                                
06075026004,06075,37.7178918,-122.4357033                                                                                                                                                 
06075026100,06075,37.7196238,-122.44316                                                                                                                                                   
06075026200,06075,37.7113172,-122.4539535                                                                                                                                                
06075026301,06075,37.7138687,-122.4395362                                                                                                                                                
06075026302,06075,37.7116594,-122.4307925                                                                                                                                                
06075026303,06075,37.7096646,-122.4434663                                                                                                                                                
06075026401,06075,37.7135251,-122.4112834                                                                                                                                                
06075026402,06075,37.7164885,-122.4032976                                                                                                                                                 
06075026403,06075,37.7111916,-122.4069129                                                                                                                                                
06075026404,06075,37.7096508,-122.4152933                                                                                                                                                
06075030101,06075,37.7642376,-122.4597334                                                                                                                                                
06075030102,06075,37.7594483,-122.4579224                                                                                                                                        
06075030201,06075,37.7628136,-122.473784                                                                                                                                                 
06075030202,06075,37.7630868,-122.4673273                                                                                                                                                
06075030301,06075,37.7569413,-122.4692285                                                                                                                                                
06075030302,06075,37.7519449,-122.4716469                                                                                                                                                
06075030400,06075,37.7469577,-122.4675209                                                                                                                                                
06075030500,06075,37.7523832,-122.4517871                                                                                                                                         
06075030600,06075,37.7437535,-122.4571389                                                                                                                                                
06075030700,06075,37.7372232,-122.4503095                                                                                                                                         
06075030800,06075,37.7391909,-122.4678657                                                                                                                                                
06075030900,06075,37.7283132,-122.4682662                                                                                                                                               
06075031000,06075,37.72862,-122.4571583                                                                                                                                                  
06075031100,06075,37.7296355,-122.4461615                                                                                                                                               
06075031201,06075,37.7217815,-122.4573371                                                                                                                                                
06075031202,06075,37.7193286,-122.4523956                                                                                                                                                
06075031301,06075,37.7193261,-122.4678693                                                                                                                                                
06075031302,06075,37.7133961,-122.4670977                                                                                                                                                
06075031400,06075,37.714721,-122.4571441                                                                                                                                                 
06075032601,06075,37.7624894,-122.4807987                                                                                                                                                
06075032602,06075,37.7588987,-122.4825797                                                                                                                                                
06075032700,06075,37.7601691,-122.4911696                                                                                                                                                
06075032801,06075,37.746019,-122.4804356                                                                                                                                                 
06075032802,06075,37.7530955,-122.4812305                                                                                                                                         
06075032901,06075,37.746154,-122.4901873                                                                                                                                                 
06075032902,06075,37.7526804,-122.4906464                                                                                                                                                
06075033000,06075,37.738133,-122.4839844                                                                                                                                          
06075033100,06075,37.732202,-122.4872361                                                                                                                                                 
06075033201,06075,37.7262698,-122.4796649                                                                                                                                                
06075033203,06075,37.715927,-122.4782504                                                                                                                                                 
06075033204,06075,37.7196211,-122.4804065                                                                                                                                                
06075035100,06075,37.7576288,-122.4991518                                                                                                                                                
06075035201,06075,37.7566323,-122.5104356                                                                                                                                        
06075035202,06075,37.7613995,-122.5061469                                                                                                                                                
06075035300,06075,37.7425023,-122.4978449                                                                                                                                               
06075035400,06075,37.7421123,-122.5072288                                                                                                                                       
06075040100,06075,37.7851587,-122.461815                                                                                                                                                 
06075040200,06075,37.7843303,-122.4683869                                                                                                                                                
06075042601,06075,37.7831223,-122.481191                                                                                                                                                 
06075042602,06075,37.7833848,-122.4754789                                                                                                                                                
06075042700,06075,37.7822707,-122.4881761                                                                                                                                                
06075042800,06075,37.7880433,-122.4885865                                                                                                                                        
06075045100,06075,37.7775849,-122.4613475                                                                                                                                                
06075045200,06075,37.7771205,-122.468001                                                                                                                                                 
06075047600,06075,37.7767733,-122.475544                                                                                                                                                 
06075047701,06075,37.7782559,-122.4840627                                                                                                                                                
06075047702,06075,37.7744602,-122.4837889                                                                                                                                                
06075047801,06075,37.7758427,-122.4921123                                                                                                                                                
06075047802,06075,37.779204,-122.497393                                                                                                                                                  
06075047901,06075,37.7824919,-122.5098753                                                                                                                                       
06075047902,06075,37.7791834,-122.5039634                                                                                                                                                
