food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
77.0,0.0001297359,0.8060896,29.9,30.9,13121000100
94.8,0.00023219489,0.85020304,114.7,86.8,13121000200
92.0,0.094632074,0.72449803,41.0,45.1,13121000400
101.3,0.2919837,0.27899563,49.6,40.3,13121000500
119.0,0.56302166,0.38774365,54.9,46.4,13121000600
317.8,0.47621807,1.0019779,210.9,31.8,13121000700
38.9,0.22987552,0.1789604,60.4,57.9,13121001001
105.3,0.19410582,0.00032427534,53.1,41.6,13121001002
33.7,0.25602025,0.41342473,11.2,43.6,13121001100
74.7,0.7543838,0.64195144,47.3,37.8,13121001201
72.2,0.6204735,0.26675057,37.1,0.0,13121001202
51.3,0.51197946,0.7995946,31.0,25.4,13121001300
53.3,0.4358588,0.4210577,55.2,55.2,13121001400
38.3,0.09796767,0.36537004,37.0,18.8,13121001500
115.8,0.36587176,0.7915528,106.9,114.8,13121001600
70.5,0.18894267,0.9174931,59.8,17.6,13121001700
48.2,0.14463902,0.89441824,33.5,32.9,13121001800
63.0,0.41934595,7.6061544e-05,47.0,53.7,13121001900
55.2,0.33980915,0.15996984,12.8,69.0,13121002100
143.1,0.36938486,1.0070702,78.0,33.5,13121002300
179.6,0.00013219733,0.7657261,95.6,78.1,13121002400
26.1,0.11552676,0.52868694,19.9,10.8,13121002500
105.7,0.13228405,0.26620498,99.6,27.3,13121002600
28.4,0.1567232,0.2202947,40.9,23.2,13121002800
73.7,0.29452512,0.55737853,0.0,13.7,13121002900
90.4,0.00034476916,0.23666921,49.0,34.0,13121003000
56.1,0.09481751,0.5695602,90.5,32.2,13121003100
102.1,0.047710404,0.92234725,41.7,9.8,13121003200
98.7,0.13522595,0.32162958,19.0,18.4,13121003500
98.7,0.26520422,0.6167674,24.2,8.2,13121003600
85.1,0.23509967,0.95330846,27.1,20.2,13121003700
59.9,0.14549352,0.8134434,24.8,0.0,13121003800
115.2,0.18021883,0.82171905,20.4,22.3,13121003900
154.8,0.4022467,1.0234891,75.8,89.8,13121004000
87.8,0.22185895,1.3291671,53.9,25.6,13121004100
16.4,0.28371558,0.4117472,9.6,0.0,13121004200
117.4,0.00018758171,0.95154136,24.0,29.0,13121004300
142.7,0.1382835,0.2772619,24.3,16.3,13121004400
75.2,0.00034683693,0.46302122,28.1,96.5,13121004800
63.5,0.13025144,0.5024248,43.7,21.4,13121004900
58.1,0.1924368,0.9839222,64.3,47.7,13121005000
78.1,0.41765657,1.1205379,59.5,20.7,13121005200
72.0,0.5818781,0.20554486,36.9,13.8,13121005300
130.1,0.2782573,0.82183313,14.1,17.0,13121005501
264.0,0.042114045,2.0830154,26.8,8.8,13121005502
155.0,0.55665493,0.54472244,37.1,11.1,13121005700
105.3,0.00024119588,0.61923844,39.9,19.3,13121005800
47.8,1.0636977,1.9558407,54.8,43.4,13121006000
106.0,0.81476766,1.5516737,42.5,45.0,13121006100
110.6,0.47854033,1.1154954,69.0,26.6,13121006200
227.8,0.3495205,1.4249536,41.5,0.0,13121006300
181.7,0.24169189,1.3713505,81.4,45.8,13121006400
225.4,0.182287,1.3993746,28.7,35.5,13121006500
213.5,0.6166709,0.64039546,47.6,32.0,13121006601
172.1,0.00034583843,0.29330757,66.4,62.1,13121006602
200.4,0.5595622,2.982838,122.2,37.2,13121006700
149.4,0.31939286,1.2905103,36.3,17.4,13121006801
205.7,0.19374552,1.1136351,101.2,67.1,13121006802
63.5,0.4343448,0.5681505,33.6,66.0,13121006900
407.9,0.604796,3.448499,183.0,182.3,13121007001
247.9,0.44487518,1.7036854,56.9,0.0,13121007002
152.9,0.6489717,0.5137653,66.8,36.1,13121007100
533.0,1.3090585,4.9940376,188.0,42.2,13121007200
271.4,0.58234066,4.125587,46.5,14.9,13121007300
98.6,1.7726864,3.1704879,88.6,83.7,13121007400
113.8,0.00015526052,1.8813815,45.0,0.0,13121007500
306.8,0.00027849877,3.12117,80.1,115.7,13121007602
308.7,1.4994129,1.3709458,115.9,40.9,13121007603
245.0,1.180963,3.232325,62.7,66.2,13121007604
264.4,0.56572604,6.7585483,137.2,87.5,13121007703
161.7,1.0497143,5.6525044,36.7,89.6,13121007704
58.7,1.2058922,5.9432273,85.1,78.9,13121007705
226.3,0.8867457,8.700749,110.1,102.3,13121007706
442.8,1.6300447,7.4005837,168.1,267.4,13121007802
668.8,1.9738021,5.95351,114.8,113.0,13121007805
581.9,1.0063385,4.3758354,105.1,30.8,13121007806
472.2,0.62656564,2.7182565,80.7,65.1,13121007807
436.4,0.59237796,2.8384526,44.9,10.0,13121007808
402.5,0.48321152,3.4043741,48.9,48.9,13121007900
197.0,0.98585445,2.9139361,26.0,39.9,13121008000
170.5,0.64305645,2.1211374,93.9,108.4,13121008101
375.0,1.0194026,1.4966903,162.5,85.2,13121008102
442.9,0.4290896,1.9459023,248.5,117.5,13121008201
