,Health condition,Food,Physical health,Public transport,Education,Houses of worship,RSquared,MSE
0,Teeth loss prevalence,-0.2578,0.0,0.0,-0.0,-0.0,-0.0128,10.665180826950749
1,Poor sleep prevalence,-0.2585,0.0,0.0,-0.0,0.0,-0.0128,8.830579226850006
2,Health insurance access,-0.0438,-0.0,0.0,-0.0,-0.0,-0.0134,11.523955624713908
3,Smoking prevalence,-0.0,0.0,0.0,-0.0,0.0,-0.0149,6.1994140266299365
4,Poor mental health prevalence,-0.0,-0.0,0.0,-0.0,-0.0,-0.0149,5.907373737373738
5,Obesity prevalence,-0.0,0.0,0.0,0.0,0.0,-0.0149,4.57928145087236
6,Depression prevalence,0.0,0.0,-0.0,-0.0,-0.0,-0.0149,4.222343319559229
7,Mammograms,0.0,0.0,-0.0,-0.0,-0.0,-0.0149,2.3686839990817257
8,Asthma prevalence,-0.0,0.0,0.0,-0.0,-0.0,-0.0149,0.5396573691460054
9,Stroke prevalence,-0.0,0.0,0.0352,0.0153,0.0,-0.0157,0.5463719697058176
10,Chronic kidney disease,-0.0197,0.0,0.0661,0.0504,0.0,-0.0168,0.2735364864013222
11,COPD prevalence,-0.0,0.0,0.1094,0.0165,0.0,-0.0172,0.9768235268777686
12,Poor physical health,-0.0518,0.0,0.2825,0.0,0.0,-0.0227,3.8227113086030586
13,Coronary heart disease prevalence,-0.0,0.0,0.1503,0.1245,0.0,-0.0231,1.2626322781057424
14,No physical activity,-0.3773,0.0,0.2264,0.0,0.0,-0.0243,19.561101844011315
15,Binge drinking prevalence,0.2097,0.0,-0.2546,-0.6051,-0.09229702646197818,-0.0313,7.641105018586885
16,Colon cancer screenings,0.2493,0.0,-0.0,0.0,0.0,-0.0315,26.289650075021957
17,Diabetes prevalence,-0.2338,0.0,0.2696,0.2201,0.00382456725895359,-0.0331,6.535646039036983
18,Cancer prevalence,0.0609,0.0,0.0,0.3439,0.0,-0.0338,2.018613758847936
19,General poor health prevalence,-0.3942,0.0,0.4454,0.0,0.0,-0.0419,15.88606165918664
20,Cervical cancer screenings,0.3882,0.0,-0.0,0.0,0.0,-0.0471,40.50038483714481
21,Core women's health,0.3949,-0.0,-0.0064,0.0,0.0,-0.0479,13.195064825835251
22,Core men's health,0.4364,-0.0,-0.0,0.0,0.0,-0.0535,18.82985409772363
23,Routine checkups,0.0,0.0,0.0,0.6992,0.0,-0.0592,7.630799704009352
24,High blood pressure prevalence,-0.0,0.0,0.2872,0.6889,0.0,-0.0745,24.58145926999182
25,High cholesterol prevalence,0.0,0.0,0.0,0.9467,0.017215336634589757,-0.0892,17.051572915651317
26,Dental checkups,0.6731,-0.0,-0.0,0.0,0.0,-0.0929,59.530185068298195
27,Arthritis prevalence,0.0,0.0,0.1347,0.9107,0.05899283742410815,-0.1007,12.68681951777487
28,Medium blood pressure prevalence,0.0,0.0,0.0,1.1227,0.0,-0.1082,54.49295571776841
29,Cholesterol screenings,0.2116,-0.0,-0.0,0.7175,0.18936074011136803,-0.1178,18.519716754983158
