,Health condition,Food,Physical health,Public transport,Education,Houses of worship,RSquared,MSE
0,Teeth loss prevalence,-0.1952,0.2385,-0.2013,0.8071,-0.7056058006762026,0.0599,21.194859191827785
1,No physical activity,-0.0,0.0,-0.2967,1.0125,-0.4962532362712689,0.0561,40.342329239901254
2,Health insurance access,0.0,0.0,-0.0,0.588,-0.4057960306971022,0.0512,19.70618783212527
3,General poor health prevalence,-0.2406,0.3909,-0.5617,1.0449,-0.7359876130636472,0.0368,33.85955288922348
4,Smoking prevalence,-0.225,0.3269,-0.3214,0.6662,-0.4445138275957334,0.0339,7.998353840712265
5,Poor mental health prevalence,-0.2243,0.0401,0.0,0.3142,-0.31091984114452476,0.0314,4.435516383155965
6,Poor physical health,-0.2571,0.3015,-0.3014,0.4658,-0.3722701449443344,0.0177,7.525790928213293
7,Poor sleep prevalence,0.0501,0.0,-0.3128,0.8627,-0.12957213455640892,0.0153,10.45207146502248
8,Obesity prevalence,-0.5049,0.4574,-0.0734,0.3775,-0.25241396282689166,-0.0008,8.097443902775828
9,Asthma prevalence,-0.1633,0.0572,0.0,0.1271,-0.0939400932776793,-0.0086,0.8453535761685695
10,Diabetes prevalence,-0.0116,0.1917,-0.4511,0.481,-0.23809732502156045,-0.0099,13.55299827506762
11,COPD prevalence,-0.1349,0.1538,-0.0598,0.08,-0.14211594060481658,-0.0184,2.205357282663807
12,Stroke prevalence,-0.0823,0.1321,-0.1237,0.1106,-0.10424436170950231,-0.0253,1.120268898353905
13,Coronary heart disease prevalence,-0.0821,0.079,-0.0,0.0,-0.08435846618886401,-0.0299,2.832301389167156
14,Depression prevalence,-0.3818,0.1202,0.2491,-0.2467,-0.20385584995441938,-0.0343,3.254807404552601
15,Chronic kidney disease,-0.0,0.0,-0.0,0.0,-0.0,-0.0433,0.5784589086127547
16,High cholesterol prevalence,0.0,-0.0,-0.0,0.0,0.0,-0.0433,18.813968178829718
17,High blood pressure prevalence,-0.0,0.0,-0.0,0.0,-0.0,-0.0433,33.61989638395792
18,Medium blood pressure prevalence,0.0,-0.0,-0.0,-0.0,0.0,-0.0433,42.58155318869166
19,Arthritis prevalence,-0.0,0.0,-0.0,0.0,0.0,-0.0433,13.168623274161734
20,Routine checkups,0.0,-0.0,-0.0,0.0,6.360377771480978e-17,-0.0433,9.15005023011177
21,Cancer prevalence,-0.0,0.0,0.0,-0.0,0.0,-0.0433,1.5412060486522023
22,Mammograms,-0.0457,-0.0,-0.0,-0.0,0.15174307750049176,-0.0609,4.599416216160352
23,Binge drinking prevalence,-0.3377,0.2034,0.4565,-0.7069,-0.08256175251328764,-0.1191,17.954475089253336
24,Cholesterol screenings,0.0414,-0.0,-0.0649,-0.0355,0.4208457067434887,-0.1273,7.359467393275191
25,Core women's health,0.0,-0.0,0.2558,-0.4581,0.39926876292354607,-0.1549,14.533598431092823
26,Core men's health,-0.0,-0.0,0.2795,-0.6423,0.4568876604759663,-0.1981,21.119826250003015
27,Cervical cancer screenings,-0.1194,0.0711,0.3474,-0.6801,0.6597227279707146,-0.24,33.23466212345876
28,Colon cancer screenings,-0.1414,-0.0,0.6027,-1.2319,0.6169018779862052,-0.3276,34.21235952766009
29,Dental checkups,0.0,-0.0,0.2895,-1.4332,1.0509104019352473,-0.5334,83.42771177115485
