StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times
WA,Washington,King,53033,53033006700,6544,6.5,"( 5.5,  8.1)",13.9,"(13.4, 14.6)",22.9,"(22.2, 23.6)",18.0,"(17.4, 18.7)",57.4,"(55.9, 58.6)",5.0,"( 4.8,  5.2)",8.5,"( 8.2,  9.0)",85.9,"(83.5, 87.5)",2.4,"( 2.2,  2.6)",67.2,"(66.4, 68.0)",84.3,"(84.1, 84.5)",73.0,"(70.7, 74.8)",2.2,"( 1.9,  2.6)",42.1,"(36.5, 46.6)",35.7,"(30.9, 39.4)",7.2,"( 5.8,  9.2)",80.6,"(78.2, 82.5)",24.0,"(23.0, 25.3)",4.0,"( 3.7,  4.2)",6.9,"( 6.1,  8.0)",22.5,"(22.0, 23.1)",1.5,"( 1.4,  1.5)",10.3,"( 9.3, 11.8)",76.3,"(73.4, 78.5)",10.6,"( 9.7, 11.9)",19.0,"(18.1, 20.0)",6.1,"( 5.5,  6.8)",27.1,"(25.8, 28.3)",1.3,"( 1.2,  1.5)",3.4,"( 2.2,  6.4)",POINT (-122.3446457 47.63219593),106.66027069091795,0.3187912404537201,0.1460550427436828,105.8210220336914,58.70000076293945
WA,Washington,King,53033,53033006500,4157,6.4,"( 5.4,  7.8)",16.2,"(15.5, 16.9)",22.2,"(21.6, 22.7)",20.5,"(19.8, 21.3)",60.1,"(58.9, 61.4)",5.5,"( 5.2,  5.7)",8.8,"( 8.4,  9.1)",86.9,"(85.3, 88.1)",2.9,"( 2.7,  3.1)",67.9,"(67.2, 68.6)",85.5,"(85.4, 85.6)",73.1,"(70.6, 74.6)",2.8,"( 2.4,  3.2)",42.4,"(37.7, 46.3)",38.3,"(33.7, 41.8)",8.0,"( 6.5,  9.8)",81.4,"(79.0, 83.2)",24.7,"(23.8, 25.9)",4.8,"( 4.4,  5.1)",8.0,"( 7.1,  9.1)",25.4,"(24.9, 25.9)",1.6,"( 1.5,  1.7)",11.0,"( 9.9, 12.3)",77.0,"(74.2, 79.0)",11.0,"(10.0, 12.1)",20.6,"(19.7, 21.6)",7.0,"( 6.4,  7.8)",26.7,"(25.7, 28.2)",1.6,"( 1.4,  1.7)",3.3,"( 2.2,  5.3)",POINT (-122.3177614 47.63096136),116.8000030517578,0.2007764130830764,0.2305102944374084,26.740140914916992,10.600000381469728
WA,Washington,King,53033,53033011102,4419,10.3,"( 9.0, 11.7)",21.1,"(20.3, 22.0)",14.8,"(14.5, 15.1)",29.9,"(29.0, 30.8)",70.8,"(70.0, 71.7)",6.8,"( 6.5,  7.1)",8.6,"( 8.3,  8.9)",79.4,"(77.0, 81.7)",4.8,"( 4.4,  5.3)",73.4,"(72.9, 73.9)",86.3,"(85.9, 86.7)",63.2,"(60.5, 66.0)",4.0,"( 3.4,  4.7)",34.3,"(29.2, 38.6)",28.4,"(23.8, 32.8)",9.3,"( 8.0, 10.8)",67.6,"(64.7, 70.3)",19.9,"(19.1, 20.7)",9.2,"( 8.7,  9.8)",13.2,"(11.8, 14.9)",30.9,"(30.3, 31.5)",2.6,"( 2.5,  2.8)",17.4,"(15.8, 19.1)",73.5,"(70.6, 76.2)",10.7,"( 9.9, 11.5)",21.7,"(21.0, 22.4)",9.5,"( 8.7, 10.5)",32.0,"(31.1, 33.3)",2.9,"( 2.6,  3.2)",9.2,"( 5.3, 14.8)",POINT (-122.260415 47.53928636),203.61170959472656,5.861945464857854e-05,0.3977637887001037,88.91358947753906,58.900001525878906
WA,Washington,King,53033,53033008600,5055,10.7,"( 8.9, 13.4)",10.3,"( 9.8, 10.8)",21.3,"(20.5, 22.1)",16.6,"(15.9, 17.2)",50.0,"(48.6, 51.5)",2.5,"( 2.4,  2.6)",10.7,"(10.0, 11.6)",70.7,"(66.7, 74.1)",2.2,"( 2.0,  2.3)",64.9,"(63.6, 66.0)",72.8,"(71.4, 74.3)",59.4,"(57.0, 61.6)",2.6,"( 2.3,  3.1)",29.0,"(25.9, 32.1)",28.5,"(25.0, 31.9)",10.3,"( 8.3, 12.6)",63.5,"(58.5, 67.9)",26.7,"(24.8, 28.7)",4.5,"( 4.2,  4.7)",10.6,"( 9.2, 12.7)",17.6,"(17.0, 18.2)",1.5,"( 1.4,  1.5)",15.3,"(13.3, 17.7)",74.3,"(71.9, 76.3)",17.0,"(14.6, 19.4)",20.0,"(18.8, 21.1)",7.8,"( 6.9,  8.8)",33.1,"(31.7, 34.6)",1.4,"( 1.3,  1.5)",10.2,"( 7.6, 13.5)",POINT (-122.3167046 47.6071055),112.0404052734375,0.0001419174514012,0.0698637589812278,21.299999237060547,68.10308837890625
WA,Washington,King,53033,53033005100,3662,6.2,"( 5.1,  7.8)",17.5,"(16.7, 18.4)",20.5,"(19.9, 21.1)",21.6,"(20.8, 22.6)",61.5,"(60.1, 62.9)",5.7,"( 5.4,  6.0)",9.0,"( 8.6,  9.5)",87.0,"(85.1, 88.0)",3.0,"( 2.8,  3.4)",69.0,"(68.2, 69.8)",86.0,"(85.6, 86.4)",71.9,"(69.2, 74.0)",3.0,"( 2.5,  3.7)",40.8,"(35.1, 45.6)",37.2,"(32.1, 41.1)",8.0,"( 6.2, 10.2)",80.9,"(78.1, 83.0)",24.8,"(23.7, 26.0)",5.1,"( 4.8,  5.6)",8.6,"( 7.3, 10.2)",26.7,"(26.0, 27.3)",1.7,"( 1.6,  1.9)",11.6,"(10.2, 13.3)",76.7,"(73.3, 79.0)",10.9,"( 9.8, 12.1)",21.2,"(20.3, 22.3)",7.5,"( 6.6,  8.6)",26.9,"(25.5, 28.2)",1.7,"( 1.5,  1.9)",3.4,"( 2.2,  6.0)",POINT (-122.3322458 47.65849903),79.53964233398438,0.2711480557918548,0.2685240805149078,56.6280632019043,1.7999999523162842
WA,Washington,King,53033,53033009800,6198,6.9,"( 5.9,  8.1)",19.8,"(19.0, 20.6)",19.8,"(19.3, 20.2)",24.0,"(23.2, 24.9)",63.4,"(62.4, 64.4)",6.6,"( 6.3,  6.8)",9.1,"( 8.7,  9.5)",87.5,"(86.0, 88.7)",3.5,"( 3.2,  3.8)",70.3,"(69.6, 70.9)",86.9,"(86.7, 87.1)",70.1,"(67.2, 72.2)",3.5,"( 3.1,  4.0)",40.5,"(36.1, 44.5)",34.5,"(30.3, 38.1)",9.4,"( 7.8, 11.1)",78.3,"(75.8, 80.3)",25.1,"(24.1, 26.1)",5.9,"( 5.6,  6.3)",9.7,"( 8.7, 11.1)",28.7,"(28.1, 29.3)",1.9,"( 1.9,  2.1)",12.8,"(11.6, 14.2)",75.3,"(72.4, 77.7)",11.1,"(10.2, 12.1)",22.5,"(21.6, 23.4)",8.4,"( 7.7,  9.2)",28.6,"(27.2, 29.8)",2.0,"( 1.8,  2.2)",4.8,"( 3.1,  7.6)",POINT (-122.3830858 47.57196185),80.70159149169922,0.5333048701286316,0.2539771199226379,45.06761932373047,30.5886344909668
WA,Washington,King,53033,53033006900,4080,5.8,"( 4.8,  7.3)",18.1,"(17.2, 19.1)",20.7,"(20.2, 21.3)",21.9,"(21.0, 22.9)",62.6,"(61.1, 64.0)",6.3,"( 6.0,  6.5)",8.8,"( 8.4,  9.3)",87.7,"(86.0, 89.1)",3.0,"( 2.8,  3.4)",69.9,"(69.0, 70.6)",87.0,"(86.7, 87.3)",72.2,"(69.3, 74.4)",2.9,"( 2.4,  3.5)",42.2,"(35.7, 47.1)",36.7,"(31.5, 41.0)",7.6,"( 6.0,  9.8)",80.7,"(77.7, 83.1)",24.6,"(23.5, 26.0)",5.2,"( 4.7,  5.6)",8.0,"( 6.9,  9.5)",27.4,"(26.7, 28.1)",1.7,"( 1.6,  1.9)",10.9,"( 9.6, 12.5)",76.2,"(72.6, 78.8)",10.3,"( 9.3, 11.6)",20.8,"(19.8, 22.0)",7.3,"( 6.5,  8.2)",27.1,"(25.7, 28.6)",1.7,"( 1.5,  1.9)",3.6,"( 2.2,  6.4)",POINT (-122.3669891 47.63435179),59.30194854736328,0.537501335144043,0.1005919352173805,39.29999923706055,29.600000381469727
WA,Washington,King,53033,53033001500,2454,6.2,"( 5.1,  7.6)",24.0,"(22.7, 25.3)",17.9,"(17.4, 18.5)",28.3,"(26.9, 29.6)",69.0,"(67.7, 70.4)",8.1,"( 7.7,  8.5)",9.1,"( 8.6,  9.6)",87.5,"(85.5, 89.3)",4.6,"( 4.1,  5.1)",73.1,"(72.3, 73.8)",89.1,"(89.1, 89.1)",71.6,"(68.4, 73.8)",4.2,"( 3.5,  5.1)",41.0,"(35.5, 46.2)",35.8,"(30.8, 40.1)",9.1,"( 7.1, 11.3)",80.1,"(77.0, 82.4)",25.0,"(23.7, 26.4)",7.2,"( 6.6,  7.9)",10.6,"( 9.0, 12.5)",32.8,"(32.0, 33.7)",2.3,"( 2.1,  2.5)",13.2,"(11.6, 15.2)",74.8,"(71.1, 77.6)",10.7,"( 9.6, 12.0)",22.9,"(21.7, 24.3)",9.4,"( 8.3, 10.7)",27.5,"(25.6, 28.7)",2.5,"( 2.2,  2.8)",4.4,"( 2.6,  7.0)",POINT (-122.3940433 47.69571539),197.73648071289065,0.4153756201267242,0.1675378680229187,133.11045837402344,99.83057403564452
WA,Washington,King,53033,53033006000,5150,7.0,"( 5.8,  8.3)",18.2,"(17.4, 18.9)",20.4,"(19.9, 20.9)",22.5,"(21.8, 23.4)",63.9,"(62.7, 65.1)",6.1,"( 5.9,  6.4)",9.3,"( 8.9,  9.7)",84.2,"(82.5, 85.6)",3.5,"( 3.3,  3.9)",69.3,"(68.6, 70.0)",84.5,"(84.5, 84.6)",71.4,"(68.9, 73.4)",3.3,"( 2.9,  3.8)",40.6,"(35.8, 44.7)",34.5,"(30.4, 38.2)",8.6,"( 7.2, 10.4)",78.9,"(76.3, 81.0)",25.5,"(24.5, 26.5)",5.6,"( 5.2,  6.0)",9.2,"( 8.2, 10.4)",26.4,"(25.9, 27.0)",1.9,"( 1.8,  2.0)",12.5,"(11.3, 13.9)",75.3,"(72.6, 77.5)",11.9,"(10.8, 13.0)",20.9,"(20.0, 21.8)",8.0,"( 7.3,  8.7)",27.3,"(26.2, 28.8)",1.9,"( 1.8,  2.2)",4.6,"( 2.8,  8.1)",POINT (-122.3517136 47.64389896),123.93252563476562,0.0886728316545486,0.3994144201278686,93.31259155273438,114.5999984741211
WA,Washington,King,53033,53033002500,2802,6.2,"( 5.1,  7.6)",18.9,"(18.1, 19.9)",19.4,"(18.9, 19.9)",23.3,"(22.4, 24.4)",65.1,"(63.8, 66.4)",6.5,"( 6.2,  6.8)",8.9,"( 8.5,  9.3)",85.8,"(84.1, 87.2)",3.4,"( 3.1,  3.8)",70.6,"(69.8, 71.3)",86.6,"(86.3, 87.0)",70.6,"(67.9, 72.8)",3.1,"( 2.6,  3.8)",39.3,"(33.7, 44.0)",35.2,"(30.9, 39.0)",7.6,"( 6.0,  9.6)",79.2,"(76.4, 81.4)",24.0,"(23.0, 25.3)",5.7,"( 5.3,  6.2)",8.7,"( 7.5, 10.3)",28.1,"(27.4, 28.8)",1.9,"( 1.8,  2.1)",11.8,"(10.4, 13.6)",75.9,"(72.4, 78.4)",10.4,"( 9.5, 11.7)",20.6,"(19.6, 21.7)",7.7,"( 6.9,  8.7)",27.5,"(26.4, 29.2)",1.9,"( 1.7,  2.2)",4.2,"( 2.6,  7.0)",POINT (-122.3022439 47.68391786),86.51911163330078,0.1429168581962585,0.0816255584359169,19.66758728027344,45.5
