StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times
CA,California,San Francisco,6075,06075017601,7630,11.1,"( 9.6, 12.9)",17.4,"(16.6, 18.1)",19.7,"(19.2, 20.3)",27.4,"(26.5, 28.4)",69.3,"(68.3, 70.3)",4.6,"( 4.5,  4.7)",7.8,"( 7.5,  8.1)",79.3,"(77.1, 81.3)",4.5,"( 4.2,  4.8)",68.9,"(68.2, 69.7)",85.9,"(85.6, 86.2)",63.3,"(60.5, 65.9)",4.3,"( 3.8,  4.8)",27.2,"(23.1, 30.9)",28.1,"(23.6, 33.2)",12.3,"(10.5, 14.2)",60.4,"(57.7, 63.5)",14.0,"(13.4, 14.7)",10.5,"( 9.8, 11.1)",15.9,"(14.1, 17.7)",28.8,"(28.1, 29.4)",2.5,"( 2.4,  2.6)",21.0,"(19.2, 23.0)",77.6,"(74.7, 80.4)",11.6,"(10.8, 12.6)",18.9,"(18.1, 19.7)",10.4,"( 9.6, 11.3)",37.6,"(35.7, 38.8)",2.7,"( 2.5,  3.0)",10.3,"( 7.3, 13.9)",POINT (-122.4107073 37.77944763),4.15965461377852,0.00022060721443892937,0.00022060721443892937,4.10664608724674,4.009363123512941
CA,California,San Francisco,6075,06075016200,2541,7.9,"( 6.7,  9.4)",14.7,"(14.1, 15.3)",24.3,"(23.5, 25.1)",21.2,"(20.4, 22.0)",64.0,"(62.8, 65.1)",4.7,"( 4.6,  4.9)",7.6,"( 7.3,  8.0)",86.9,"(84.7, 88.4)",3.3,"( 3.1,  3.6)",67.0,"(66.1, 67.8)",86.0,"(85.6, 86.4)",71.2,"(68.4, 73.6)",3.0,"( 2.6,  3.5)",34.0,"(29.4, 38.7)",30.8,"(26.8, 34.5)",9.1,"( 7.2, 11.3)",72.9,"(69.4, 75.7)",15.6,"(14.8, 16.6)",6.4,"( 6.0,  6.7)",10.2,"( 9.0, 11.6)",24.5,"(23.9, 25.2)",1.9,"( 1.8,  2.0)",14.8,"(13.2, 16.7)",79.5,"(76.7, 81.7)",10.5,"( 9.5, 11.7)",17.2,"(16.3, 18.2)",7.6,"( 6.9,  8.4)",32.2,"(31.2, 35.0)",1.8,"( 1.7,  2.0)",6.0,"( 3.9,  9.0)",POINT (-122.4228953 37.77716215),4.541553522475847,0.1460285876126111,0.05103673872996214,3.1344158085699454,3.671861644112095
CA,California,San Francisco,6075,06075030202,4313,6.9,"( 5.7,  8.7)",12.9,"(12.4, 13.5)",22.9,"(22.2, 23.7)",18.0,"(17.4, 18.7)",62.9,"(61.6, 64.1)",4.4,"( 4.2,  4.5)",7.4,"( 7.1,  7.9)",84.6,"(82.5, 86.3)",2.5,"( 2.3,  2.7)",67.7,"(66.7, 68.6)",86.6,"(86.3, 86.8)",72.3,"(69.5, 74.6)",2.4,"( 2.0,  2.8)",34.5,"(29.4, 39.3)",33.3,"(29.2, 37.1)",7.5,"( 5.9,  9.5)",74.3,"(70.8, 76.9)",15.0,"(14.3, 16.1)",5.4,"( 5.1,  5.7)",8.4,"( 7.2,  9.9)",23.2,"(22.7, 23.8)",1.6,"( 1.5,  1.7)",13.3,"(11.9, 15.1)",78.7,"(75.6, 81.3)",9.7,"( 8.8, 10.9)",13.8,"(13.1, 14.6)",6.3,"( 5.7,  7.2)",31.6,"(30.2, 32.8)",1.4,"( 1.3,  1.6)",4.8,"( 2.9,  7.8)",POINT (-122.4673281 37.76308855),3.7751525586475094,0.2490177874636313,0.00015887689839714258,0.0,3.7779097749974024
CA,California,San Francisco,6075,06075016802,3264,8.5,"( 7.1, 10.5)",13.7,"(13.2, 14.4)",25.2,"(24.5, 26.0)",20.0,"(19.3, 20.9)",60.2,"(58.9, 61.4)",4.1,"( 3.9,  4.2)",8.3,"( 7.9,  8.7)",86.2,"(84.2, 87.7)",2.9,"( 2.7,  3.2)",65.8,"(64.8, 66.8)",84.1,"(83.2, 85.1)",70.1,"(67.1, 72.6)",3.1,"( 2.6,  3.7)",31.4,"(26.2, 36.0)",30.8,"(27.0, 34.3)",10.2,"( 8.3, 12.6)",70.1,"(67.0, 72.8)",16.8,"(15.9, 17.8)",5.9,"( 5.6,  6.3)",10.9,"( 9.5, 12.8)",23.1,"(22.5, 23.7)",1.8,"( 1.7,  1.9)",15.2,"(13.6, 17.1)",79.7,"(76.6, 82.0)",11.6,"(10.6, 12.9)",18.1,"(17.3, 19.0)",7.9,"( 7.2,  8.8)",33.3,"(31.9, 35.1)",1.7,"( 1.6,  1.9)",7.6,"( 5.2, 11.1)",POINT (-122.4249484 37.77355128),4.128463340302418,0.050962376540278805,0.09962899482779372,3.7528755625473305,2.6622111281763727
CA,California,San Francisco,6075,06075025500,8471,14.0,"(11.8, 16.2)",16.8,"(16.2, 17.5)",17.4,"(17.0, 17.9)",25.2,"(24.4, 26.0)",70.9,"(69.9, 71.8)",5.1,"( 4.9,  5.2)",7.2,"( 6.9,  7.5)",80.8,"(78.2, 83.1)",4.2,"( 3.9,  4.5)",70.1,"(69.3, 70.8)",86.4,"(86.1, 86.8)",65.1,"(62.2, 67.8)",3.8,"( 3.4,  4.3)",29.8,"(25.8, 33.8)",29.2,"(25.3, 33.0)",10.3,"( 9.0, 11.6)",65.5,"(62.0, 68.5)",12.9,"(12.4, 13.5)",10.4,"( 9.8, 11.0)",16.2,"(14.5, 17.9)",29.8,"(29.2, 30.4)",2.4,"( 2.3,  2.6)",21.9,"(20.2, 23.7)",76.2,"(73.3, 78.9)",10.3,"( 9.5, 11.0)",15.7,"(15.2, 16.3)",9.7,"( 8.9, 10.5)",34.3,"(33.0, 35.2)",2.5,"( 2.3,  2.7)",8.3,"( 5.9, 10.9)",POINT (-122.4372418 37.7280668),4.867839480852157,0.3671717056693718,0.18386487360101583,3.4849154806487466,3.4849154806487466
CA,California,San Francisco,6075,06075030600,2221,6.5,"( 5.5,  7.9)",20.6,"(19.7, 21.6)",18.4,"(17.9, 19.0)",26.7,"(25.7, 27.7)",73.0,"(72.0, 74.0)",7.2,"( 7.0,  7.5)",7.5,"( 7.1,  7.9)",86.6,"(84.9, 88.0)",4.5,"( 4.2,  5.0)",73.7,"(72.9, 74.4)",90.7,"(90.4, 91.0)",72.8,"(70.2, 74.6)",3.9,"( 3.3,  4.6)",35.8,"(30.8, 40.4)",33.5,"(29.6, 37.7)",7.8,"( 6.3,  9.5)",76.2,"(73.5, 78.6)",14.6,"(13.8, 15.4)",8.5,"( 8.0,  9.1)",11.0,"( 9.6, 13.0)",31.8,"(31.0, 32.6)",2.4,"( 2.3,  2.6)",15.3,"(13.7, 17.2)",77.8,"(74.7, 80.3)",8.9,"( 8.1,  9.9)",15.7,"(14.8, 16.5)",8.6,"( 7.7,  9.6)",30.4,"(29.0, 31.7)",2.5,"( 2.2,  2.8)",5.4,"( 3.4,  8.7)",POINT (-122.4571318 37.74376129),3.93885023566129,0.3393893562588851,0.028573899908705756,3.3323413579539767,3.246664517700733
CA,California,San Francisco,6075,06075010600,3894,13.2,"(10.5, 16.4)",18.8,"(17.8, 19.8)",16.8,"(16.2, 17.4)",28.7,"(27.4, 30.0)",73.4,"(72.2, 74.6)",5.3,"( 5.1,  5.5)",7.6,"( 7.1,  8.1)",75.6,"(72.0, 78.7)",5.5,"( 4.8,  6.1)",69.8,"(68.7, 70.8)",85.6,"(85.5, 85.7)",62.3,"(57.3, 66.2)",5.1,"( 4.2,  6.1)",28.4,"(22.8, 34.3)",27.0,"(21.0, 33.1)",12.8,"(10.2, 15.5)",58.9,"(54.1, 63.3)",14.0,"(13.0, 15.0)",11.9,"(10.8, 12.9)",18.3,"(15.3, 21.6)",31.7,"(30.8, 32.7)",2.8,"( 2.6,  3.0)",24.1,"(21.1, 27.3)",75.3,"(70.5, 79.2)",11.7,"(10.4, 13.1)",14.7,"(13.9, 15.5)",11.2,"( 9.7, 12.6)",35.2,"(33.3, 36.6)",3.1,"( 2.7,  3.6)",11.6,"( 6.5, 17.8)",POINT (-122.406373 37.7993782),4.152334972449641,0.23720070099716087,0.09950119431214867,4.280929102907895,4.026820076414739
CA,California,San Francisco,6075,06075061100,4307,23.2,"(20.5, 25.8)",29.8,"(28.6, 30.9)",7.4,"( 7.1,  7.7)",46.0,"(44.7, 47.0)",83.7,"(83.1, 84.4)",6.8,"( 6.5,  7.1)",7.9,"( 7.5,  8.3)",57.8,"(54.3, 61.8)",12.3,"(11.3, 13.2)",75.1,"(74.3, 75.9)",85.6,"(85.3, 85.9)",47.7,"(44.7, 50.9)",11.1,"( 9.8, 12.2)",19.5,"(15.8, 23.7)",19.0,"(15.6, 22.8)",18.8,"(17.0, 20.5)",35.3,"(32.3, 38.3)",11.3,"(10.7, 11.9)",25.9,"(24.6, 27.1)",38.3,"(34.7, 41.6)",42.9,"(41.9, 43.9)",5.5,"( 5.2,  5.9)",44.7,"(41.7, 47.4)",69.0,"(65.7, 72.8)",13.6,"(12.7, 14.4)",14.4,"(13.9, 14.9)",20.8,"(19.1, 22.2)",40.5,"(39.6, 42.1)",7.4,"( 6.7,  8.1)",27.6,"(21.4, 33.1)",POINT (-122.4040776 37.79560341),4.281464173255449,0.07216069529733053,5.63350801494639e-05,4.129787057145782,2.5894242352799948
CA,California,San Francisco,6075,06075013000,4044,5.6,"( 4.7,  7.7)",14.2,"(13.6, 14.9)",25.4,"(24.4, 26.4)",17.7,"(17.0, 18.5)",63.1,"(61.5, 64.5)",5.3,"( 5.0,  5.5)",7.9,"( 7.5,  8.4)",88.9,"(86.7, 90.2)",2.7,"( 2.5,  2.9)",67.6,"(66.6, 68.6)",87.5,"(86.8, 88.1)",77.4,"(74.9, 79.2)",2.5,"( 2.1,  3.0)",39.0,"(33.1, 44.7)",35.3,"(30.2, 39.9)",6.8,"( 5.5,  9.0)",79.1,"(75.8, 81.2)",17.1,"(16.1, 18.4)",4.5,"( 4.2,  4.8)",7.2,"( 6.3,  8.7)",22.9,"(22.3, 23.6)",1.6,"( 1.5,  1.7)",11.4,"(10.2, 13.2)",79.4,"(76.1, 81.9)",9.8,"( 8.9, 11.3)",14.6,"(13.8, 15.7)",6.1,"( 5.6,  6.9)",28.5,"(27.0, 30.4)",1.4,"( 1.3,  1.6)",3.9,"( 2.6,  7.8)",POINT (-122.4305055 37.79724987),4.07131770066449,0.2565087079557932,0.09979920720901476,3.151345954102181,4.360726718499956
CA,California,San Francisco,6075,06075022902,2617,14.1,"(11.4, 17.2)",13.6,"(13.0, 14.3)",23.6,"(22.9, 24.4)",20.0,"(19.1, 20.8)",62.4,"(61.1, 63.7)",4.2,"( 4.1,  4.3)",7.8,"( 7.4,  8.3)",86.2,"(84.0, 87.8)",3.1,"( 2.9,  3.4)",66.1,"(65.0, 67.1)",85.0,"(84.9, 85.1)",67.6,"(64.2, 70.5)",3.0,"( 2.6,  3.4)",28.4,"(23.7, 33.6)",28.6,"(24.4, 32.7)",9.9,"( 8.1, 11.9)",67.2,"(63.2, 71.1)",15.7,"(14.8, 16.6)",7.6,"( 7.1,  8.1)",14.0,"(12.1, 16.2)",24.3,"(23.7, 24.9)",2.1,"( 2.0,  2.2)",18.6,"(16.5, 20.7)",78.4,"(75.5, 81.2)",11.3,"(10.1, 12.4)",19.0,"(18.0, 19.9)",8.6,"( 7.8,  9.6)",33.2,"(31.6, 34.5)",1.8,"( 1.6,  2.0)",7.6,"( 5.3, 10.8)",POINT (-122.410379 37.7513427),3.376379722087069,0.21744171067227758,0.07884591179896741,0.0,3.442922520225024
