StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times
GA,Georgia,Fulton,13121,13121010204,4761,9.6,"( 7.5, 12.7)",24.8,"(23.4, 26.2)",16.3,"(15.7, 16.9)",30.6,"(29.2, 32.1)",78.5,"(77.2, 79.6)",9.2,"( 8.8,  9.7)",7.1,"( 6.7,  7.6)",91.2,"(89.2, 92.5)",5.7,"( 5.1,  6.5)",80.0,"(79.2, 80.8)",93.7,"(93.5, 93.9)",72.7,"(68.5, 75.1)",4.9,"( 3.8,  6.1)",38.7,"(32.8, 43.9)",36.7,"(30.9, 41.8)",8.7,"( 6.6, 11.3)",82.6,"(79.1, 84.9)",17.8,"(16.7, 19.0)",8.5,"( 7.6,  9.5)",11.1,"( 9.1, 13.7)",36.3,"(35.3, 37.4)",2.6,"( 2.4,  2.8)",15.6,"(13.5, 18.0)",81.4,"(78.2, 83.8)",10.0,"( 8.9, 11.4)",23.0,"(21.7, 24.3)",9.6,"( 8.3, 11.0)",26.7,"(25.5, 27.9)",2.6,"( 2.3,  3.1)",4.4,"( 2.6,  8.2)",POINT (-84.41716366 33.92519129),258.6,1.0510879,4.4763904,103.4,103.9
GA,Georgia,Fulton,13121,13121005501,2307,25.2,"(21.3, 29.6)",20.0,"(18.9, 20.9)",15.6,"(14.9, 16.2)",35.3,"(33.8, 36.6)",71.1,"(69.8, 72.4)",4.1,"( 3.9,  4.3)",10.8,"(10.1, 11.6)",85.1,"(82.9, 87.4)",4.9,"( 4.4,  5.3)",77.6,"(76.6, 78.5)",86.7,"(86.3, 87.2)",55.6,"(50.6, 60.4)",6.3,"( 5.3,  7.3)",19.2,"(14.5, 24.9)",21.1,"(16.8, 26.2)",21.0,"(17.5, 24.6)",50.0,"(45.5, 54.3)",19.0,"(17.8, 20.3)",12.7,"(11.8, 13.7)",23.9,"(20.7, 27.5)",25.7,"(24.9, 26.5)",3.3,"( 3.1,  3.5)",31.1,"(27.5, 34.5)",84.1,"(80.8, 87.0)",19.6,"(17.5, 21.7)",37.1,"(35.5, 38.7)",14.6,"(13.1, 16.3)",43.7,"(41.8, 46.1)",3.9,"( 3.4,  4.4)",23.5,"(14.5, 33.7)",POINT (-84.38372162 33.72987572),130.1,0.2782573,0.82183313,14.1,17.0
GA,Georgia,Fulton,13121,13121001202,3937,12.6,"(11.5, 14.2)",10.0,"( 9.6, 10.4)",25.4,"(24.7, 26.2)",16.9,"(16.4, 17.4)",55.1,"(54.0, 56.2)",3.1,"( 3.0,  3.2)",6.7,"( 6.5,  7.0)",88.2,"(86.9, 89.3)",1.9,"( 1.8,  2.1)",70.3,"(69.6, 71.0)",86.7,"(86.2, 87.2)",66.7,"(64.8, 68.5)",2.1,"( 1.9,  2.4)",35.7,"(31.3, 39.9)",35.1,"(31.8, 38.1)",9.7,"( 8.3, 11.5)",77.4,"(75.3, 79.0)",16.9,"(16.3, 17.8)",4.0,"( 3.8,  4.2)",7.8,"( 7.2,  8.7)",20.0,"(19.5, 20.4)",1.3,"( 1.2,  1.3)",13.5,"(12.6, 14.8)",83.8,"(82.1, 85.3)",11.9,"(11.1, 12.9)",22.1,"(21.3, 23.0)",6.1,"( 5.7,  6.6)",31.7,"(30.8, 33.0)",1.1,"( 1.0,  1.2)",4.6,"( 3.4,  6.4)",POINT (-84.38515368 33.77682317),72.2,0.6204735,0.26675057,37.1,0.0
GA,Georgia,Fulton,13121,13121011425,6906,10.8,"( 8.9, 13.5)",20.0,"(18.9, 21.3)",17.4,"(16.7, 18.0)",26.2,"(25.0, 27.6)",73.6,"(72.2, 74.8)",6.6,"( 6.3,  6.9)",7.1,"( 6.8,  7.6)",89.9,"(88.4, 91.2)",4.1,"( 3.7,  4.6)",77.6,"(76.8, 78.4)",92.0,"(91.9, 92.0)",67.6,"(64.3, 70.2)",4.0,"( 3.3,  5.0)",37.2,"(31.2, 42.7)",36.1,"(31.3, 40.5)",9.8,"( 7.6, 12.3)",80.5,"(77.4, 82.9)",17.3,"(16.4, 18.5)",7.7,"( 7.1,  8.4)",10.9,"( 9.2, 13.2)",32.3,"(31.4, 33.2)",2.1,"( 1.9,  2.2)",16.4,"(14.4, 18.8)",81.6,"(78.1, 84.1)",10.9,"( 9.7, 12.2)",23.0,"(21.7, 24.4)",9.0,"( 7.9, 10.4)",29.8,"(28.1, 31.7)",2.1,"( 1.8,  2.4)",4.8,"( 2.8,  7.7)",POINT (-84.24164477 34.01149372),289.4,0.96330154,3.946356,273.9,111.7
GA,Georgia,Fulton,13121,13121009403,4625,18.4,"(15.7, 21.9)",13.5,"(12.9, 14.1)",20.4,"(19.7, 21.0)",21.5,"(20.8, 22.4)",63.1,"(61.9, 64.3)",4.2,"( 4.0,  4.4)",8.0,"( 7.6,  8.5)",84.4,"(81.3, 86.7)",3.2,"( 3.0,  3.6)",72.9,"(72.0, 73.7)",85.6,"(85.2, 86.0)",65.1,"(62.6, 67.3)",3.5,"( 2.9,  4.1)",32.4,"(26.8, 37.4)",28.5,"(23.6, 33.2)",12.4,"(10.2, 15.2)",69.3,"(65.7, 72.1)",18.2,"(17.2, 19.4)",6.0,"( 5.7,  6.4)",12.5,"(10.9, 14.5)",21.7,"(21.2, 22.3)",1.9,"( 1.8,  2.0)",19.7,"(17.7, 22.1)",81.2,"(79.2, 83.0)",14.8,"(13.3, 16.4)",24.0,"(23.0, 25.0)",8.5,"( 7.7,  9.5)",33.7,"(32.7, 35.0)",1.9,"( 1.7,  2.1)",9.8,"( 5.9, 17.5)",POINT (-84.35991176 33.83156797),169.2,0.2996746,1.2851131,195.7,141.4
GA,Georgia,Fulton,13121,13121008800,4578,16.0,"(13.2, 19.6)",14.5,"(13.7, 15.3)",22.2,"(21.2, 23.1)",21.9,"(21.0, 23.0)",63.0,"(61.7, 64.3)",4.2,"( 4.1,  4.4)",7.9,"( 7.5,  8.4)",91.1,"(89.7, 92.4)",2.8,"( 2.5,  3.0)",72.5,"(71.2, 73.6)",87.4,"(86.9, 88.0)",67.7,"(64.6, 70.3)",3.4,"( 2.8,  4.1)",32.9,"(28.5, 37.5)",32.3,"(28.1, 36.4)",13.6,"(10.4, 17.3)",74.0,"(69.7, 77.3)",19.2,"(17.9, 20.6)",6.0,"( 5.7,  6.5)",11.6,"( 9.9, 13.8)",23.5,"(22.8, 24.3)",1.8,"( 1.7,  1.9)",17.8,"(15.5, 20.3)",83.2,"(80.8, 85.1)",13.8,"(12.2, 15.6)",26.6,"(25.2, 28.1)",8.6,"( 7.5, 10.2)",33.7,"(31.9, 35.8)",1.8,"( 1.6,  1.9)",8.1,"( 5.1, 12.1)",POINT (-84.45756616 33.80997648),536.0,0.3014501,0.8914147,168.9,157.2
GA,Georgia,Fulton,13121,13121009101,4248,13.6,"(11.5, 16.5)",14.7,"(14.1, 15.3)",21.3,"(20.5, 22.2)",20.9,"(20.1, 21.7)",64.9,"(63.7, 66.1)",4.5,"( 4.4,  4.7)",7.9,"( 7.6,  8.4)",88.3,"(86.2, 89.7)",3.0,"( 2.8,  3.2)",73.0,"(72.0, 73.9)",87.4,"(87.1, 87.8)",69.3,"(66.9, 71.6)",3.3,"( 2.9,  3.9)",34.5,"(29.4, 39.2)",33.0,"(28.6, 36.8)",11.0,"( 8.9, 13.8)",75.8,"(72.8, 78.5)",19.7,"(18.7, 20.9)",5.6,"( 5.3,  6.0)",10.2,"( 9.1, 11.9)",23.3,"(22.8, 23.9)",1.8,"( 1.7,  1.9)",16.4,"(14.7, 18.6)",82.2,"(79.9, 84.2)",13.8,"(12.5, 15.4)",24.1,"(23.0, 25.4)",8.1,"( 7.3,  9.0)",31.0,"(29.5, 32.6)",1.7,"( 1.5,  1.8)",6.6,"( 4.3,  9.9)",POINT (-84.39706924 33.8094178),28.1,0.25591648,0.9943314,76.6,48.6
GA,Georgia,Fulton,13121,13121010304,12164,18.6,"(15.7, 21.8)",19.6,"(18.9, 20.5)",16.0,"(15.5, 16.6)",35.0,"(33.8, 36.2)",73.1,"(72.1, 74.0)",5.0,"( 4.9,  5.2)",9.5,"( 9.0, 10.1)",91.5,"(90.1, 92.6)",4.0,"( 3.7,  4.3)",81.6,"(80.9, 82.3)",91.7,"(91.7, 91.7)",67.4,"(64.2, 70.0)",4.4,"( 3.8,  5.1)",27.6,"(23.9, 31.6)",28.6,"(25.0, 32.4)",14.6,"(12.4, 17.2)",66.5,"(63.0, 69.7)",15.5,"(14.7, 16.4)",11.3,"(10.6, 12.0)",17.0,"(14.9, 19.6)",27.2,"(26.6, 27.8)",2.8,"( 2.6,  2.9)",23.3,"(21.0, 26.0)",85.3,"(83.2, 86.9)",13.8,"(12.5, 15.1)",34.5,"(33.2, 35.8)",10.7,"( 9.7, 11.9)",40.5,"(39.0, 42.4)",3.2,"( 3.0,  3.6)",11.3,"( 8.2, 15.1)",POINT (-84.56523798 33.65528334),209.3,1.6282221,10.1656885,190.6,151.8
GA,Georgia,Fulton,13121,13121007400,3326,38.4,"(34.0, 42.9)",30.0,"(28.9, 31.0)",11.4,"(10.8, 11.9)",48.4,"(47.2, 49.5)",79.1,"(78.2, 80.0)",5.8,"( 5.6,  6.1)",12.2,"(11.4, 13.1)",81.4,"(78.8, 83.9)",10.3,"( 9.6, 11.2)",79.0,"(78.2, 79.9)",85.9,"(85.4, 86.4)",51.0,"(47.1, 54.9)",12.7,"(11.3, 14.2)",17.1,"(13.4, 21.4)",17.9,"(14.6, 21.5)",28.7,"(25.6, 31.6)",39.1,"(35.6, 42.2)",19.8,"(18.6, 21.0)",23.0,"(21.8, 24.0)",41.1,"(37.4, 44.7)",33.6,"(32.6, 34.5)",5.9,"( 5.6,  6.3)",46.2,"(42.8, 49.0)",81.4,"(78.3, 84.0)",23.4,"(21.6, 25.0)",44.2,"(42.9, 45.4)",24.3,"(22.3, 26.2)",45.3,"(43.9, 46.4)",7.8,"( 7.1,  8.6)",36.1,"(27.7, 44.8)",POINT (-84.40700331 33.67885791),98.6,1.7726864,3.1704879,88.6,83.7
GA,Georgia,Fulton,13121,13121011306,2723,26.6,"(23.5, 29.9)",22.0,"(21.3, 22.7)",14.6,"(14.1, 15.2)",38.8,"(37.8, 39.7)",73.1,"(72.1, 73.9)",4.5,"( 4.3,  4.7)",11.4,"(10.9, 11.9)",85.6,"(83.5, 87.5)",5.4,"( 5.1,  5.8)",80.2,"(79.4, 80.8)",87.4,"(87.4, 87.5)",59.7,"(56.3, 62.9)",6.9,"( 6.3,  7.7)",21.0,"(17.4, 25.0)",22.7,"(18.6, 27.1)",21.6,"(19.3, 23.6)",51.5,"(48.5, 54.7)",18.4,"(17.6, 19.2)",14.7,"(14.0, 15.4)",25.8,"(23.6, 28.0)",27.0,"(26.4, 27.6)",3.7,"( 3.5,  3.8)",33.1,"(30.6, 35.3)",84.5,"(82.4, 86.4)",20.0,"(18.7, 21.3)",39.4,"(38.2, 40.5)",15.6,"(14.6, 16.6)",44.7,"(42.4, 46.1)",4.5,"( 4.2,  4.8)",21.3,"(15.9, 27.8)",POINT (-84.50376041 33.6406958),0.0,1.298677,8.931948,203.9,165.1
