ZCTA5,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times
30024,"64,614",15.2,"(14.4, 16.0)",18.4,"(18.1, 18.7)",18.6,"(18.4, 18.8)",26.8,"(26.5, 27.2)",69.8,"(69.5, 70.1)",5.3,"( 5.2,  5.4)",7.3,"( 7.1,  7.4)",86.6,"(86.1, 87.0)",3.6,"( 3.5,  3.7)",75.9,"(75.6, 76.2)",92.4,"(92.1, 92.7)",65.9,"(65.1, 66.8)",4.1,"( 3.9,  4.4)",36.3,"(34.8, 37.8)",38.9,"(37.5, 40.3)",13.1,"(12.4, 13.8)",71.8,"(71.0, 72.7)",17.0,"(16.7, 17.4)",8.1,"( 7.9,  8.3)",12.3,"(11.8, 13.0)",30.8,"(30.6, 31.0)",2.0,"( 1.9,  2.0)",21.5,"(20.9, 22.2)",81.9,"(81.2, 82.6)",12.4,"(12.0, 12.8)",26.9,"(26.5, 27.3)",9.4,"( 9.1,  9.8)",35.9,"(35.5, 36.3)",2.0,"( 2.0,  2.1)",7.0,"( 6.2,  7.9)",POINT (-84.09063164 34.06238772),289.4,0.96330154,3.946356,273.9,111.7
30097,"41,715",14.7,"(13.8, 15.7)",17.9,"(17.6, 18.3)",16.4,"(16.3, 16.6)",26.9,"(26.5, 27.4)",71.8,"(71.5, 72.2)",5.3,"( 5.2,  5.4)",6.9,"( 6.8,  7.0)",85.3,"(84.7, 86.0)",3.8,"( 3.6,  3.9)",76.7,"(76.4, 76.9)",92.8,"(92.5, 93.1)",64.0,"(63.0, 65.0)",4.0,"( 3.7,  4.2)",35.6,"(33.8, 37.3)",36.7,"(35.0, 38.1)",11.7,"(11.0, 12.6)",72.1,"(71.1, 73.2)",15.7,"(15.4, 16.0)",8.6,"( 8.4,  8.9)",12.4,"(11.8, 13.1)",31.3,"(31.0, 31.5)",2.0,"( 2.0,  2.1)",20.9,"(20.1, 21.7)",81.2,"(80.2, 82.1)",11.6,"(11.2, 12.1)",23.9,"(23.5, 24.3)",9.2,"( 8.9,  9.6)",35.0,"(34.6, 35.5)",2.1,"( 2.0,  2.2)",6.9,"( 5.9,  8.2)",POINT (-84.14699136 34.02600275),289.4,0.96330154,3.946356,273.9,111.7
30076,"42,678",22.4,"(21.0, 23.8)",19.5,"(19.2, 19.9)",18.1,"(17.8, 18.3)",27.0,"(26.6, 27.5)",70.1,"(69.6, 70.5)",6.0,"( 5.9,  6.1)",8.1,"( 7.9,  8.2)",87.8,"(87.1, 88.4)",4.6,"( 4.4,  4.8)",74.4,"(74.1, 74.8)",90.5,"(90.0, 91.1)",65.4,"(64.0, 66.7)",5.1,"( 4.8,  5.4)",33.9,"(31.3, 36.4)",32.2,"(30.0, 34.3)",14.4,"(13.4, 15.3)",68.5,"(67.1, 69.8)",19.2,"(18.7, 19.6)",8.6,"( 8.3,  8.9)",17.0,"(15.9, 18.0)",29.6,"(29.4, 29.9)",2.4,"( 2.4,  2.5)",22.8,"(21.8, 23.7)",80.3,"(79.1, 81.4)",14.5,"(13.9, 15.1)",27.8,"(27.3, 28.3)",11.6,"(11.1, 12.1)",33.0,"(32.5, 33.5)",2.5,"( 2.4,  2.6)",8.4,"( 7.0, 10.2)",POINT (-84.315186 34.00958099),289.4,0.96330154,3.946356,273.9,111.7
30009,"13,722",14.9,"(13.7, 16.2)",20.4,"(19.9, 21.0)",18.2,"(17.9, 18.5)",26.9,"(26.3, 27.5)",72.4,"(71.8, 73.0)",6.8,"( 6.7,  7.0)",7.6,"( 7.4,  7.8)",88.9,"(88.3, 89.7)",4.7,"( 4.4,  5.0)",76.3,"(75.9, 76.6)",92.7,"(92.3, 93.2)",67.3,"(65.8, 68.6)",4.8,"( 4.4,  5.3)",34.5,"(31.6, 37.8)",31.4,"(28.1, 34.4)",11.8,"(10.8, 12.9)",74.5,"(72.8, 75.9)",18.4,"(17.9, 18.9)",7.9,"( 7.6,  8.2)",13.0,"(12.0, 14.1)",30.0,"(29.7, 30.4)",2.4,"( 2.3,  2.5)",19.0,"(17.9, 20.1)",79.9,"(78.3, 81.4)",12.5,"(11.9, 13.1)",24.5,"(24.0, 25.1)",10.0,"( 9.4, 10.6)",31.2,"(30.6, 31.8)",2.5,"( 2.3,  2.6)",9.0,"( 6.3, 12.9)",POINT (-84.281277 34.06727006),289.4,0.96330154,3.946356,273.9,111.7
30092,"31,704",19.4,"(18.4, 20.4)",17.9,"(17.5, 18.2)",18.8,"(18.6, 19.0)",28.1,"(27.7, 28.5)",67.8,"(67.4, 68.2)",5.1,"( 5.0,  5.2)",7.9,"( 7.7,  8.0)",86.1,"(85.5, 86.6)",3.7,"( 3.5,  3.8)",75.6,"(75.3, 75.9)",90.9,"(90.5, 91.3)",66.8,"(65.4, 67.9)",4.3,"( 4.1,  4.6)",36.8,"(34.1, 39.4)",37.9,"(35.4, 40.3)",14.1,"(13.4, 15.0)",67.1,"(65.9, 68.2)",17.7,"(17.3, 18.0)",8.3,"( 8.1,  8.5)",14.4,"(13.8, 15.2)",28.9,"(28.7, 29.2)",2.1,"( 2.1,  2.2)",23.9,"(23.1, 24.8)",82.0,"(80.8, 83.1)",13.9,"(13.4, 14.4)",30.3,"(29.9, 30.8)",10.2,"( 9.8, 10.6)",37.6,"(37.1, 38.1)",2.2,"( 2.1,  2.2)",8.0,"( 6.5,  9.9)",POINT (-84.23516941 33.97167427),289.4,0.96330154,3.946356,273.9,111.7
30005,"34,442",13.5,"(12.5, 14.6)",17.0,"(16.6, 17.4)",18.6,"(18.4, 18.9)",23.5,"(23.0, 24.0)",68.8,"(68.3, 69.3)",5.2,"( 5.1,  5.3)",7.2,"( 7.1,  7.4)",89.0,"(88.3, 89.5)",3.3,"( 3.1,  3.5)",75.4,"(75.1, 75.7)",93.0,"(92.7, 93.4)",64.7,"(63.3, 66.3)",3.6,"( 3.3,  4.0)",35.4,"(33.2, 37.8)",35.7,"(33.7, 37.7)",11.3,"(10.4, 12.4)",76.1,"(74.9, 77.2)",17.2,"(16.8, 17.7)",6.9,"( 6.7,  7.2)",11.2,"(10.4, 12.1)",29.1,"(28.7, 29.4)",1.8,"( 1.8,  1.9)",17.7,"(16.9, 18.6)",81.5,"(80.1, 82.9)",11.8,"(11.3, 12.4)",23.7,"(23.2, 24.2)",8.6,"( 8.2,  9.2)",32.5,"(31.9, 33.0)",1.8,"( 1.7,  1.9)",6.2,"( 5.0,  7.7)",POINT (-84.21592752 34.08624059),289.4,0.96330154,3.946356,273.9,111.7
30004,"53,033",14.6,"(13.6, 15.8)",18.4,"(18.0, 18.8)",19.2,"(19.0, 19.5)",24.6,"(24.1, 25.1)",70.3,"(69.8, 70.7)",5.8,"( 5.7,  5.9)",7.6,"( 7.4,  7.8)",89.3,"(88.7, 89.9)",3.7,"( 3.5,  3.8)",75.4,"(75.0, 75.8)",92.5,"(92.1, 92.9)",67.0,"(65.5, 68.2)",4.1,"( 3.7,  4.4)",36.1,"(34.0, 38.1)",35.6,"(33.8, 37.3)",12.0,"(11.1, 13.0)",75.2,"(74.0, 76.4)",18.3,"(17.9, 18.8)",7.0,"( 6.8,  7.3)",11.8,"(11.1, 12.7)",30.2,"(30.0, 30.5)",2.0,"( 1.9,  2.0)",18.2,"(17.5, 19.0)",81.0,"(79.8, 82.1)",12.5,"(11.9, 13.1)",25.3,"(24.8, 25.8)",9.2,"( 8.7,  9.7)",32.1,"(31.6, 32.7)",2.0,"( 1.9,  2.1)",6.6,"( 5.6,  7.8)",POINT (-84.2974445 34.15130862),289.4,0.96330154,3.946356,273.9,111.7
30075,"52,573",13.0,"(12.2, 13.8)",21.4,"(21.1, 21.8)",18.3,"(18.1, 18.5)",27.8,"(27.4, 28.2)",73.7,"(73.3, 74.0)",7.2,"( 7.1,  7.3)",7.6,"( 7.5,  7.7)",90.2,"(89.8, 90.6)",4.7,"( 4.5,  4.8)",77.5,"(77.3, 77.8)",93.9,"(93.6, 94.1)",69.3,"(68.2, 70.2)",4.7,"( 4.4,  5.0)",35.2,"(33.2, 37.1)",34.3,"(32.6, 36.1)",11.2,"(10.5, 12.0)",77.4,"(76.4, 78.3)",18.3,"(17.9, 18.6)",8.0,"( 7.8,  8.2)",12.2,"(11.6, 12.9)",32.0,"(31.8, 32.3)",2.3,"( 2.3,  2.4)",17.8,"(17.1, 18.6)",81.1,"(80.2, 82.0)",11.8,"(11.5, 12.3)",25.3,"(24.9, 25.7)",9.8,"( 9.5, 10.2)",30.4,"(29.9, 30.8)",2.4,"( 2.3,  2.5)",6.5,"( 5.3,  7.9)",POINT (-84.38742064 34.05252514),162.6,1.102478,4.8408237,231.6,172.0
30022,"64,359",13.7,"(13.1, 14.4)",18.5,"(18.2, 18.8)",18.4,"(18.2, 18.5)",25.1,"(24.8, 25.5)",70.3,"(70.0, 70.7)",5.7,"( 5.7,  5.8)",7.5,"( 7.3,  7.6)",89.2,"(88.8, 89.6)",3.8,"( 3.7,  3.9)",75.9,"(75.6, 76.1)",93.1,"(92.8, 93.4)",65.4,"(64.7, 66.3)",4.1,"( 3.9,  4.4)",35.1,"(33.5, 36.8)",33.8,"(32.3, 35.2)",11.7,"(11.0, 12.3)",76.3,"(75.5, 77.1)",18.1,"(17.8, 18.4)",7.5,"( 7.3,  7.7)",12.1,"(11.5, 12.7)",29.5,"(29.3, 29.7)",2.0,"( 2.0,  2.1)",18.1,"(17.5, 18.6)",81.2,"(80.3, 82.0)",12.3,"(12.0, 12.7)",24.4,"(24.0, 24.7)",9.4,"( 9.1,  9.8)",31.9,"(31.5, 32.3)",2.1,"( 2.0,  2.1)",6.4,"( 5.5,  7.3)",POINT (-84.24677105 34.02781659),289.4,0.96330154,3.946356,273.9,111.7
30344,"31,776",25.4,"(24.0, 27.2)",22.8,"(22.4, 23.2)",14.9,"(14.7, 15.1)",38.0,"(37.5, 38.5)",75.0,"(74.6, 75.4)",5.1,"( 5.0,  5.2)",10.3,"(10.1, 10.6)",86.9,"(86.0, 87.7)",5.8,"( 5.6,  6.0)",79.1,"(78.7, 79.4)",90.6,"(90.1, 91.1)",60.2,"(58.4, 61.6)",6.9,"( 6.5,  7.3)",23.6,"(21.5, 25.8)",24.1,"(22.2, 26.0)",19.4,"(18.2, 20.6)",56.4,"(54.6, 58.0)",18.0,"(17.6, 18.4)",14.5,"(14.0, 14.9)",24.6,"(23.4, 25.9)",28.9,"(28.7, 29.2)",3.7,"( 3.6,  3.8)",31.1,"(29.8, 32.3)",83.6,"(82.6, 84.7)",17.9,"(17.3, 18.6)",37.3,"(36.7, 37.8)",15.3,"(14.7, 15.9)",41.6,"(41.0, 42.3)",4.4,"( 4.2,  4.6)",19.0,"(16.3, 22.0)",POINT (-84.4653345 33.68225982),124.4,1.4382696,3.464802,122.7,78.9
