ZCTA5,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times
94108,"13,768",12.7,"(11.7, 13.7)",20.1,"(19.7, 20.6)",15.8,"(15.6, 16.0)",30.0,"(29.4, 30.5)",75.8,"(75.4, 76.2)",5.7,"( 5.6,  5.9)",7.6,"( 7.4,  7.8)",75.0,"(73.5, 76.4)",6.3,"( 6.0,  6.7)",71.4,"(71.1, 71.8)",89.8,"(89.3, 90.3)",60.8,"(59.0, 62.7)",5.6,"( 5.1,  6.0)",26.7,"(24.2, 29.5)",25.6,"(23.3, 28.1)",11.9,"(11.0, 12.7)",59.3,"(57.7, 61.0)",13.5,"(13.1, 13.8)",13.3,"(12.8, 13.8)",19.6,"(18.3, 20.9)",31.2,"(30.9, 31.5)",3.1,"( 3.0,  3.3)",25.8,"(24.6, 27.0)",73.6,"(71.7, 75.6)",11.4,"(10.9, 11.8)",13.9,"(13.6, 14.1)",11.8,"(11.1, 12.3)",34.8,"(34.3, 35.4)",3.7,"( 3.5,  4.0)",15.7,"(12.4, 18.9)",POINT (-122.4085753 37.79200744),47.9299,0.10828719,0.00024527893,37.29907,40.42915
94110,"69,333",12.0,"(11.4, 12.8)",14.5,"(14.3, 14.6)",23.2,"(23.0, 23.4)",20.6,"(20.4, 20.9)",61.7,"(61.4, 62.0)",4.5,"( 4.4,  4.5)",7.9,"( 7.8,  8.1)",87.0,"(86.6, 87.5)",3.2,"( 3.1,  3.2)",66.7,"(66.4, 67.0)",90.4,"(89.9, 90.7)",68.7,"(68.0, 69.5)",3.2,"( 3.1,  3.3)",30.9,"(29.9, 32.0)",30.5,"(29.4, 31.4)",9.9,"( 9.4, 10.4)",69.8,"(68.8, 70.7)",15.9,"(15.7, 16.2)",7.3,"( 7.2,  7.5)",13.3,"(12.8, 13.9)",24.2,"(24.1, 24.4)",2.1,"( 2.0,  2.1)",17.6,"(17.1, 18.1)",78.6,"(77.9, 79.3)",11.1,"(10.8, 11.4)",18.4,"(18.1, 18.6)",8.6,"( 8.4,  8.9)",32.5,"(32.2, 32.9)",1.9,"( 1.8,  1.9)",6.8,"( 6.2,  7.5)",POINT (-122.41533 37.74996907),58.330529,0.178051205,0.11999666,38.645458000000005,41.4608
94134,"40,798",16.0,"(15.3, 16.7)",18.2,"(18.0, 18.5)",14.8,"(14.7, 15.0)",28.5,"(28.2, 28.8)",73.0,"(72.8, 73.3)",5.0,"( 4.9,  5.1)",7.6,"( 7.5,  7.7)",76.2,"(75.2, 77.2)",4.8,"( 4.7,  5.0)",71.1,"(70.9, 71.4)",89.7,"(89.3, 90.0)",61.7,"(60.7, 62.8)",4.6,"( 4.5,  4.8)",27.7,"(26.3, 29.2)",27.1,"(25.8, 28.5)",12.4,"(11.9, 12.9)",59.0,"(57.9, 60.0)",12.3,"(12.1, 12.5)",12.4,"(12.2, 12.7)",19.5,"(18.8, 20.1)",30.8,"(30.6, 31.0)",2.8,"( 2.7,  2.8)",26.4,"(25.7, 27.1)",75.2,"(74.0, 76.2)",11.4,"(11.2, 11.7)",15.8,"(15.7, 16.0)",11.2,"(10.9, 11.5)",37.5,"(37.1, 37.9)",3.1,"( 3.0,  3.2)",11.6,"(10.6, 12.6)",POINT (-122.4117932 37.71934056),194.395235,0.198446705,0.104342097,41.504357,74.5136
94122,"56,023",8.7,"( 8.1,  9.2)",16.1,"(15.9, 16.3)",18.5,"(18.3, 18.7)",23.2,"(22.9, 23.5)",70.1,"(69.8, 70.5)",5.3,"( 5.2,  5.3)",7.1,"( 7.0,  7.2)",81.2,"(80.6, 82.0)",3.7,"( 3.6,  3.8)",70.6,"(70.3, 70.8)",91.3,"(91.0, 91.7)",68.6,"(67.6, 69.5)",3.3,"( 3.2,  3.5)",33.3,"(31.8, 35.0)",31.5,"(30.1, 32.9)",8.8,"( 8.3,  9.3)",70.5,"(69.5, 71.5)",13.4,"(13.2, 13.6)",8.2,"( 8.0,  8.4)",11.5,"(11.0, 12.0)",27.7,"(27.5, 27.9)",2.1,"( 2.0,  2.1)",17.4,"(16.8, 18.0)",76.9,"(75.9, 77.9)",9.7,"( 9.4, 10.0)",13.2,"(13.0, 13.4)",7.9,"( 7.7,  8.2)",33.0,"(32.6, 33.4)",2.1,"( 2.1,  2.2)",6.9,"( 5.9,  7.9)",POINT (-122.4851275 37.75879608),76.755385,0.27822785,0.09432193999999999,44.8997375,39.1029855
94109,"55,984",9.5,"( 9.0, 10.0)",16.5,"(16.3, 16.7)",21.2,"(21.0, 21.4)",23.1,"(22.9, 23.3)",68.3,"(68.0, 68.6)",5.5,"( 5.4,  5.6)",7.8,"( 7.7,  7.9)",83.6,"(83.1, 84.1)",4.0,"( 3.9,  4.1)",69.0,"(68.7, 69.3)",90.2,"(89.8, 90.6)",70.7,"(69.9, 71.4)",3.6,"( 3.5,  3.8)",33.8,"(32.5, 35.2)",31.2,"(29.9, 32.5)",9.4,"( 8.9,  9.9)",70.6,"(69.6, 71.4)",15.4,"(15.2, 15.7)",7.6,"( 7.5,  7.8)",12.2,"(11.7, 12.6)",26.0,"(25.9, 26.2)",2.2,"( 2.2,  2.3)",17.1,"(16.7, 17.6)",77.4,"(76.6, 78.3)",10.9,"(10.6, 11.2)",15.5,"(15.3, 15.8)",8.5,"( 8.3,  8.7)",31.8,"(31.5, 32.2)",2.3,"( 2.2,  2.3)",6.9,"( 6.1,  7.9)",POINT (-122.4220985 37.7942243),44.989017,0.14662032,0.06518005,44.378593,48.890266
94115,"33,021",8.0,"( 7.5,  8.5)",17.4,"(17.2, 17.7)",21.4,"(21.2, 21.6)",23.8,"(23.5, 24.0)",69.2,"(68.8, 69.5)",5.8,"( 5.7,  5.8)",8.3,"( 8.1,  8.4)",86.1,"(85.6, 86.5)",4.0,"( 3.9,  4.1)",70.2,"(69.9, 70.5)",91.4,"(91.0, 91.7)",73.2,"(72.4, 73.9)",3.7,"( 3.5,  3.9)",33.1,"(31.5, 34.6)",30.1,"(28.8, 31.3)",8.8,"( 8.3,  9.4)",71.9,"(71.0, 72.8)",15.9,"(15.7, 16.2)",7.7,"( 7.5,  7.8)",11.6,"(11.1, 12.1)",25.6,"(25.5, 25.8)",2.3,"( 2.3,  2.4)",16.3,"(15.8, 16.8)",78.6,"(77.7, 79.4)",10.7,"(10.4, 11.0)",16.6,"(16.3, 16.8)",8.4,"( 8.1,  8.7)",31.9,"(31.5, 32.3)",2.4,"( 2.3,  2.5)",8.7,"( 7.3, 10.2)",POINT (-122.4372532 37.78596963),42.553627,0.1562362,0.10464867,33.29422,35.068043
94129,"3,183",6.5,"( 5.3,  8.5)",9.9,"( 9.4, 10.6)",30.0,"(28.7, 31.3)",13.4,"(12.7, 14.3)",47.7,"(45.9, 49.3)",3.2,"( 3.1,  3.4)",7.9,"( 7.5,  8.5)",89.2,"(87.5, 90.5)",1.5,"( 1.4,  1.7)",63.1,"(61.8, 64.3)",89.8,"(87.7, 91.0)",73.7,"(70.0, 76.0)",2.0,"( 1.7,  2.5)",38.0,"(31.6, 44.0)",36.7,"(30.9, 42.0)",8.3,"( 6.3, 11.0)",77.1,"(73.1, 80.0)",17.6,"(16.6, 19.0)",3.1,"( 2.9,  3.4)",6.9,"( 5.9,  8.6)",18.0,"(17.4, 18.8)",1.1,"( 1.1,  1.2)",11.2,"( 9.7, 13.2)",80.0,"(76.4, 82.8)",10.8,"( 9.7, 12.4)",15.4,"(14.4, 16.7)",5.7,"( 5.0,  6.6)",30.9,"(29.3, 32.8)",0.9,"( 0.9,  1.1)",4.1,"( 2.5,  7.7)",POINT (-122.4667497 37.79737203),240.17874,0.059068173,0.08921977,177.91356,81.030556
94104,406,11.9,"( 9.2, 14.6)",21.4,"(20.4, 22.6)",14.8,"(14.3, 15.3)",31.9,"(30.6, 33.4)",75.7,"(74.6, 76.7)",6.2,"( 6.0,  6.4)",7.2,"( 6.8,  7.7)",76.1,"(72.1, 79.8)",6.2,"( 5.6,  6.9)",72.4,"(71.5, 73.4)",92.0,"(90.7, 93.2)",63.6,"(60.0, 67.3)",5.5,"( 4.5,  6.5)",29.0,"(23.8, 34.2)",29.6,"(23.3, 35.6)",11.9,"( 9.7, 14.5)",61.3,"(56.9, 65.5)",12.7,"(11.9, 13.6)",13.0,"(11.9, 14.2)",18.5,"(15.6, 21.7)",34.1,"(33.2, 35.1)",3.1,"( 2.9,  3.3)",24.1,"(21.2, 27.2)",72.9,"(68.5, 77.0)",10.4,"( 9.3, 11.6)",15.6,"(14.8, 16.4)",11.7,"(10.3, 13.2)",35.2,"(33.7, 36.6)",3.5,"( 3.1,  4.0)",11.3,"( 6.8, 16.6)",POINT (-122.4021298 37.7914094),49.65654,0.17066945,0.00021867802,37.29907,49.65654
94133,"26,237",12.5,"(11.4, 13.6)",20.6,"(20.2, 21.1)",16.3,"(16.0, 16.5)",30.1,"(29.6, 30.6)",75.1,"(74.7, 75.6)",6.0,"( 5.9,  6.1)",7.8,"( 7.6,  8.0)",77.2,"(76.0, 78.5)",6.2,"( 5.9,  6.5)",71.3,"(71.0, 71.7)",90.1,"(89.5, 90.7)",63.6,"(61.9, 65.2)",5.6,"( 5.2,  6.0)",28.9,"(26.7, 31.1)",26.6,"(24.6, 29.0)",12.2,"(11.3, 13.2)",61.5,"(59.9, 63.3)",14.1,"(13.8, 14.5)",12.7,"(12.2, 13.2)",19.2,"(17.9, 20.4)",31.9,"(31.6, 32.2)",3.1,"( 3.0,  3.2)",25.0,"(23.8, 26.1)",74.9,"(73.3, 76.6)",11.5,"(11.1, 12.1)",14.6,"(14.3, 14.9)",11.8,"(11.2, 12.4)",34.1,"(33.5, 34.7)",3.6,"( 3.4,  3.8)",13.0,"(10.3, 15.7)",POINT (-122.4108828 37.80279141),62.58229,0.099149324,0.046652306,61.164684,50.311584
94114,"31,124",6.1,"( 5.8,  6.6)",15.5,"(15.2, 15.7)",25.2,"(24.9, 25.5)",20.6,"(20.3, 21.0)",62.9,"(62.5, 63.4)",5.4,"( 5.3,  5.4)",7.4,"( 7.3,  7.5)",89.7,"(89.3, 90.1)",3.1,"( 3.1,  3.3)",68.0,"(67.7, 68.3)",93.1,"(92.8, 93.3)",74.7,"(73.7, 75.5)",2.8,"( 2.7,  3.0)",37.0,"(35.1, 38.7)",34.9,"(33.4, 36.4)",7.9,"( 7.3,  8.6)",77.9,"(77.0, 78.8)",15.7,"(15.4, 16.0)",5.7,"( 5.6,  5.9)",8.7,"( 8.3,  9.2)",26.0,"(25.7, 26.2)",1.8,"( 1.7,  1.8)",12.5,"(12.0, 13.0)",79.6,"(78.6, 80.6)",9.3,"( 9.0,  9.7)",16.6,"(16.3, 17.0)",7.1,"( 6.8,  7.3)",30.3,"(29.8, 30.8)",1.7,"( 1.6,  1.7)",4.1,"( 3.6,  5.0)",POINT (-122.4320803 37.75873612),86.04482999999999,0.20922863,0.11011604,48.119775000000004,53.3643675
