,Health condition,Food,Physical health,Public transport,Education,Houses of worship,RSquared,MSE
0,Medium blood pressure prevalence,0.0,-3.5583,-1.8331,-0.0,-0.7032985165665571,0.5774,24.641918831469734
1,Routine checkups,0.0,-1.2722,-0.892,0.0,-0.0,0.5465,3.993513585538216
2,Cancer prevalence,-0.0,-0.32,-0.3241,-0.0,-0.0,0.4823,0.6956763271995411
3,Arthritis prevalence,0.0,-0.7643,-0.8124,-0.0,-0.552996539047445,0.4484,6.08726772555181
4,High cholesterol prevalence,0.0,-1.3693,-0.8551,-0.0,-0.4124077626814025,0.4181,11.080475754958654
5,Coronary heart disease prevalence,0.0,-0.1282,-0.2317,-0.0,-0.41219490993473856,0.4074,1.085400629373546
6,Mammograms,-0.204,0.3611,0.0,0.0,0.7355076618649511,0.3833,2.028609562795834
7,Stroke prevalence,0.0,-0.066,-0.1296,-0.0,-0.22426445211337417,0.3271,0.43131121638719877
8,Chronic kidney disease,0.0,-0.0664,-0.0832,-0.0,-0.13099995998787475,0.3077,0.2386220407178086
9,High blood pressure prevalence,0.0,-0.5618,-0.6493,-0.0,-0.6094246730456018,0.2546,18.466767346495057
10,Diabetes prevalence,0.0,-0.3364,-0.3163,-0.0,-0.5841656288041851,0.2489,6.585554591257097
11,Binge drinking prevalence,-0.0,1.1928,0.0,0.0,0.0,0.2077,11.982474498805585
12,COPD prevalence,0.0,-0.0,-0.0,-0.0,-0.18598060557595883,0.1521,1.0815368047306837
13,Depression prevalence,-0.0,0.3305,0.0825,0.0,-0.0,0.1402,2.244702950658232
14,Poor physical health,0.0,-0.0,-0.0,0.0,-0.25558367037484725,0.0931,4.212003153495842
15,Teeth loss prevalence,0.0,0.0,0.0,0.0,-0.3299554013782,0.0647,15.59147312414796
16,General poor health prevalence,0.0,-0.0,-0.0,0.0,-0.3841473596082677,0.0595,19.268936167992408
17,Core women's health,-0.0,0.0,0.0,-0.0,0.15377455381183253,0.0235,12.841252946603348
18,No physical activity,0.0,-0.0,-0.0,0.0,-0.019287254317364184,0.0025,25.290235941542488
19,Poor mental health prevalence,0.0,0.0,0.0,0.0,-0.0,0.0,4.507654320987654
20,Poor sleep prevalence,0.0,0.0,0.0,0.0,-0.0,0.0,7.694814814814817
21,Obesity prevalence,0.0,0.0,0.0,0.0,-0.0,0.0,5.512620027434843
22,Health insurance access,0.0,0.0,0.0,0.0,-0.0,0.0,12.306200274348422
23,Dental checkups,-0.0,-0.0,-0.0,-0.0,0.0,0.0,58.6328669410151
24,Core men's health,-0.0,-0.0,-0.0,-0.0,0.0,0.0,17.340987654320983
25,Colon cancer screenings,-0.0,-0.0,-0.0,-0.0,0.0,0.0,26.8999451303155
26,Cholesterol screenings,-0.0,-0.0,-0.0,-0.0,0.0,0.0,7.141481481481476
27,Cervical cancer screenings,-0.0,0.0,0.0,-0.0,0.0,0.0,20.76702331961592
28,Asthma prevalence,-0.0,0.0,0.0,0.0,-0.0,0.0,0.6239506172839505
29,Smoking prevalence,0.0,0.0,0.0,0.0,-0.0,0.0,6.1207407407407395
