TractFIPS,LowIncomeTracts
01001020100,0
01001020200,1
01001020300,0
01001020400,0
01001020500,0
01001020600,1
01001020700,1
01001020801,0
01001020802,0
01001020900,0
01001021000,1
01001021100,1
01003010100,1
01003010200,1
01003010300,0
01003010400,0
01003010500,0
01003010600,1
01003010701,0
01003010703,0
01003010704,0
01003010705,0
01003010800,0
01003010903,0
01003010904,0
01003010905,0
01003010906,1
01003011000,1
01003011101,0
01003011102,0
01003011201,0
01003011202,0
01003011300,0
01003011401,0
01003011403,0
01003011405,0
01003011406,0
01003011407,0
01003011408,0
01003011501,0
01003011502,1
01003011601,0
01003011602,1
01005950100,1
01005950200,1
01005950300,1
01005950400,1
01005950500,0
01005950600,1
01005950700,1
01005950800,1
01005950900,1
01007010001,0
01007010002,0
01007010003,0
01007010004,1
01009050101,1
01009050102,0
01009050200,0
01009050300,1
01009050400,0
01009050500,0
01009050601,0
01009050602,0
01009050700,1
01011952100,1
01011952200,1
01011952500,0
01013952700,1
01013952800,0
01013952900,1
01013953000,1
01013953100,1
01013953200,1
01013953300,0
01013953400,1
01013953500,1
01015000200,1
01015000300,1
01015000400,1
01015000500,1
01015000600,1
01015000700,1
01015000800,1
01015000900,1
01015001000,0
01015001100,0
01015001201,1
01015001202,0
01015001300,1
01015001400,0
01015001500,1
01015001600,1
01015001700,0
01015001800,0
01015002000,0
01015002101,1
01015002102,0
01015002103,1
01015002200,0
01015002300,1
01015002400,0
01015002501,0
01015002502,0
01015002600,0
01015981901,0
01015981902,0
01017953800,1
01017953900,0
01017954000,0
01017954200,0
01017954300,0
01017954400,1
01017954500,1
01017954600,1
01017954700,0
01019955701,0
01019955702,1
01019955800,0
01019955900,1
01019956000,0
01019956100,0
01021060101,1
01021060102,1
01021060200,1
01021060300,0
01021060401,0
01021060402,1
01021060500,1
01021060600,0
01021060700,1
01023956700,1
01023956800,1
01023956900,0
01023957000,1
01025957500,1
01025957601,1
01025957602,0
01025957700,1
01025957800,1
01025957901,1
01025957902,1
01025958001,1
01025958002,1
01027958900,0
01027959000,1
01027959100,0
01027959200,1
01029959500,1
01029959600,1
01029959700,0
01029959800,0
01031010100,1
01031010200,0
01031010300,0
01031010400,0
01031010500,1
01031010600,1
01031010700,0
01031010800,0
01031010900,1
01031011000,0
01031011100,1
01031011201,0
01031011202,0
01031011300,1
01033020100,1
01033020200,1
01033020300,1
01033020400,0
01033020500,0
01033020600,1
01033020701,0
01033020703,0
01033020704,0
01033020801,0
01033020802,0
01033020901,1
01033020902,0
01033021000,0
01035960200,1
01035960300,0
01035960400,1
01035960500,1
01035960600,1
01037961000,1
01037961100,0
01037961200,1
01039961600,0
01039961700,1
01039961800,0
01039961900,0
01039962000,1
01039962100,1
01039962300,0
01039962400,0
01039962500,1
01039962600,1
01039962700,1
01039962800,1
01039962900,0
01039963000,1
01041963400,0
01041963500,1
01041963600,1
01041963700,0
01041963800,1
01041963900,0
01043964100,1
01043964200,0
01043964300,0
01043964400,1
01043964500,0
01043964600,0
01043964700,0
01043964800,1
01043964900,0
01043965000,0
01043965100,0
01043965200,0
01043965300,0
01043965401,1
01043965402,0
01043965500,0
01043965600,0
01043965700,1
01045020000,0
01045020100,0
01045020200,0
01045020300,0
01045020400,0
01045020500,1
01045020700,1
01045020801,0
01045020802,0
01045021101,0
01045021102,1
01045021200,0
01045021300,0
01045021400,1
01047956100,0
01047956201,1
01047956202,0
01047956300,1
01047956400,1
01047956500,1
01047956600,1
01047956701,0
01047956702,1
01047956800,1
01047956900,1
01047957000,1
01047957100,1
01047957200,1
01047957300,1
01049960100,0
01049960200,1
01049960300,1
01049960400,0
01049960500,0
01049960600,1
01049960700,1
01049960800,1
01049960900,1
01049961000,1
01049961100,1
01049961200,0
01049961300,1
01049961400,1
01051030100,0
01051030200,0
01051030300,0
01051030400,0
01051030500,0
01051030600,1
01051030701,0
01051030702,0
01051030800,0
01051030901,0
01051030902,0
01051031000,1
01051031100,0
01051031200,1
01051031300,1
01053969800,1
01053969900,1
01053970100,0
01053970200,1
01053970300,1
01053970400,0
01053970500,1
01053970600,1
01053970700,1
01055000200,1
01055000300,1
01055000400,0
01055000500,1
01055000600,1
01055000700,1
01055000800,1
01055000900,1
01055001000,1
01055001100,0
01055001200,0
01055001300,1
01055001600,1
01055001700,1
01055010100,0
01055010200,1
01055010300,0
01055010401,1
01055010402,0
01055010501,0
01055010502,0
01055010601,0
01055010602,0
01055010700,0
01055010800,0
01055010900,0
01055011001,0
01055011002,0
01055011100,1
01055011200,1
01057020000,1
01057020100,0
01057020200,0
01057020300,1
01057020400,1
01059972900,0
01059973000,1
01059973100,0
01059973200,1
01059973300,1
01059973400,1
01059973500,1
01059973600,1
01059973700,1
01061050100,1
01061050200,0
01061050300,1
01061050400,0
01061050500,1
01061050600,0
01063060000,1
01063060100,1
01063060200,1
01065040000,0
01065040100,1
01065040200,1
01065040300,1
01065040400,1
01065040500,1
01067030100,0
01067030200,0
01067030300,0
01067030400,0
01067030500,0
01067030600,0
01069040100,0
01069040201,0
01069040202,0
01069040301,0
01069040302,1
01069040400,0
01069040500,0
01069040600,1
01069040700,1
01069040800,0
01069040900,0
01069041000,1
01069041100,1
01069041200,1
01069041400,1
01069041500,1
01069041600,0
01069041700,1
01069041800,0
01069041900,0
01069042000,0
01069042100,0
01071950100,1
01071950200,1
01071950300,1
01071950400,1
01071950500,1
01071950600,0
01071950700,1
01071950800,1
01071950900,0
01071951000,1
01071951100,1
01073000100,1
01073000300,1
01073000400,1
01073000500,1
01073000700,1
01073000800,1
01073001100,1
01073001200,1
01073001400,1
01073001500,1
01073001600,1
01073001902,1
01073002000,1
01073002100,1
01073002200,1
01073002303,1
01073002305,0
01073002306,0
01073002400,1
01073002700,1
01073002900,1
01073003001,1
01073003002,1
01073003100,1
01073003200,1
01073003300,1
01073003400,1
01073003500,1
01073003600,1
01073003700,1
01073003802,1
01073003803,1
01073003900,1
01073004000,1
01073004200,1
01073004500,1
01073004701,0
01073004702,0
01073004800,0
01073004901,1
01073004902,1
01073005000,1
01073005101,1
01073005103,1
01073005104,1
01073005200,1
01073005302,0
01073005500,1
01073005600,0
01073005701,1
01073005702,1
01073005800,1
01073005903,1
01073005905,1
01073005907,0
01073005908,1
01073005909,1
01073005910,0
01073010001,1
01073010002,1
01073010100,1
01073010200,1
01073010301,1
01073010302,1
01073010401,1
01073010402,1
01073010500,1
01073010602,1
01073010603,0
01073010701,0
01073010702,0
01073010703,0
01073010704,0
01073010705,0
01073010706,0
01073010801,0
01073010802,0
01073010803,0
01073010804,0
01073010805,0
01073010900,1
01073011001,0
01073011002,1
01073011104,0
01073011107,0
01073011108,0
01073011109,0
01073011110,0
01073011111,0
01073011205,0
01073011206,0
01073011207,1
01073011208,0
01073011209,1
01073011210,1
01073011301,1
01073011302,0
01073011400,0
01073011500,0
01073011600,0
01073011703,0
01073011704,0
01073011705,0
01073011706,1
01073011802,1
01073011803,1
01073011804,1
01073011901,1
01073011904,1
01073012001,0
01073012002,0
01073012103,0
01073012104,1
01073012200,0
01073012302,0
01073012304,0
01073012305,0
01073012401,0
01073012402,1
01073012403,1
01073012500,1
01073012602,1
01073012701,0
01073012703,0
01073012704,0
01073012802,0
01073012803,0
01073012905,0
01073012906,0
01073012907,0
01073012908,1
01073012910,0
01073012911,0
01073012912,1
01073012913,0
01073012914,0
01073012915,0
01073013002,1
01073013100,1
01073013200,1
01073013300,1
01073013400,1
01073013601,1
01073013801,1
01073013901,1
01073013902,0
01073014001,0
01073014002,0
01073014102,0
01073014104,0
01073014105,1
01073014203,0
01073014204,0
01073014301,1
01073014302,0
01073014404,0
01073014405,0
01073014406,0
01073014408,0
01073014409,0
01073014410,0
01073014412,0
01073014413,0
01075030000,1
01075030100,1
01075030200,0
01077010100,1
01077010200,1
01077010300,1
01077010400,1
01077010600,1
01077010700,1
01077010800,1
01077010900,1
01077011000,1
01077011101,0
01077011102,0
01077011200,0
01077011300,1
01077011400,0
01077011501,0
01077011502,0
01077011602,0
01077011603,0
01077011604,0
01077011700,0
01077011801,0
01077011802,0
01079979100,0
01079979200,1
01079979300,0
01079979400,1
01079979500,1
01079979600,0
01079979700,1
01079979800,0
01079979900,1
01081040200,1
01081040300,1
01081040400,1
01081040500,0
01081040602,1
01081040603,1
01081040604,1
01081040700,1
01081040800,1
01081040901,1
01081040902,1
01081041000,0
01081041100,1
01081041200,0
01081041300,1
01081041400,1
01081041600,1
01081041700,1
01081041800,1
01081041900,0
01081042002,0
01081042003,0
01081042004,0
01081042005,0
01081042006,0
01081042101,1
01081042102,0
01083020101,0
01083020102,0
01083020201,1
01083020202,0
01083020300,1
01083020401,1
01083020402,1
01083020500,1
01083020600,1
01083020700,1
01083020801,0
01083020802,0
01083020900,0
01083021000,1
01083021100,0
01083021200,0
01085780800,1
01085781000,1
01085781100,1
01085781200,1
01087231400,1
01087231500,1
01087231601,0
01087231602,1
01087231603,0
01087231700,1
01087231800,1
01087231900,1
01087232000,1
01087232100,1
01087232200,1
01087232300,1
01089000201,1
01089000202,1
01089000301,1
01089000302,1
01089000403,1
01089000501,1
01089000502,1
01089000503,1
01089000601,1
01089000602,1
01089000701,1
01089000702,1
01089000901,0
01089000902,0
01089001000,0
01089001200,1
01089001301,1
01089001302,1
01089001401,0
01089001402,1
01089001500,1
01089001700,0
01089001801,0
01089001901,0
01089001902,0
01089001903,0
01089002000,0
01089002100,1
01089002200,1
01089002300,1
01089002400,1
01089002501,1
01089002502,1
01089002600,0
01089002701,0
01089002721,0
01089002722,0
01089002801,1
01089002802,0
01089002911,0
01089002912,0
01089002921,0
01089002922,0
01089003000,1
01089003100,1
01089010100,0
01089010200,0
01089010301,1
01089010302,1
01089010401,1
01089010402,0
01089010501,0
01089010502,0
01089010612,0
01089010621,0
01089010622,1
01089010623,0
01089010624,0
01089010701,0
01089010702,0
01089010800,0
01089010901,0
01089010902,1
01089011011,0
01089011012,0
01089011013,0
01089011014,0
01089011021,1
01089011022,0
01089011100,0
01089011200,0
01089011300,0
01089011400,1
01091972900,1
01091973000,1
01091973100,1
01091973200,1
01091973300,1
01091973400,0
01093964000,1
01093964100,1
01093964200,0
01093964300,1
01093964400,1
01093964500,1
01093964600,1
01093964700,0
01095030100,1
01095030201,0
01095030202,0
01095030300,0
01095030401,1
01095030402,0
01095030500,0
01095030600,1
01095030701,1
01095030702,0
01095030801,1
01095030802,1
01095030902,0
01095030903,1
