id,Geographic Area Name,Household median income,Margin of error,ZCTA
8600000US00601,ZCTA5 00601,14398,1300,601
8600000US00602,ZCTA5 00602,16771,1141,602
8600000US00603,ZCTA5 00603,15786,1024,603
8600000US00606,ZCTA5 00606,14980,3558,606
8600000US00610,ZCTA5 00610,20167,1612,610
8600000US00612,ZCTA5 00612,19402,1114,612
8600000US00616,ZCTA5 00616,18903,2523,616
8600000US00617,ZCTA5 00617,17702,1846,617
8600000US00622,ZCTA5 00622,15640,2542,622
8600000US00623,ZCTA5 00623,17699,1371,623
8600000US00624,ZCTA5 00624,17161,1160,624
8600000US00627,ZCTA5 00627,18571,1593,627
8600000US00631,ZCTA5 00631,11476,2513,631
8600000US00637,ZCTA5 00637,18430,2452,637
8600000US00638,ZCTA5 00638,17634,1921,638
8600000US00641,ZCTA5 00641,15402,1449,641
8600000US00646,ZCTA5 00646,29757,3753,646
8600000US00647,ZCTA5 00647,13996,2170,647
8600000US00650,ZCTA5 00650,19368,2349,650
8600000US00652,ZCTA5 00652,22771,2315,652
8600000US00653,ZCTA5 00653,10977,1761,653
8600000US00656,ZCTA5 00656,17865,2082,656
8600000US00659,ZCTA5 00659,18998,1487,659
8600000US00660,ZCTA5 00660,19848,1567,660
8600000US00662,ZCTA5 00662,17216,1409,662
8600000US00664,ZCTA5 00664,15740,3173,664
8600000US00667,ZCTA5 00667,14472,951,667
8600000US00669,ZCTA5 00669,17199,1420,669
8600000US00670,ZCTA5 00670,14712,3386,670
8600000US00674,ZCTA5 00674,18790,1378,674
8600000US00676,ZCTA5 00676,16014,1263,676
8600000US00677,ZCTA5 00677,20027,4669,677
8600000US00678,ZCTA5 00678,17204,2135,678
8600000US00680,ZCTA5 00680,14825,1182,680
8600000US00682,ZCTA5 00682,14841,1946,682
8600000US00683,ZCTA5 00683,16441,1282,683
8600000US00685,ZCTA5 00685,15861,1411,685
8600000US00687,ZCTA5 00687,21191,1404,687
8600000US00688,ZCTA5 00688,17305,2107,688
8600000US00690,ZCTA5 00690,17246,5103,690
8600000US00692,ZCTA5 00692,21194,1418,692
8600000US00693,ZCTA5 00693,19970,1288,693
8600000US00694,ZCTA5 00694,-,**,694
8600000US00698,ZCTA5 00698,14811,1192,698
8600000US00703,ZCTA5 00703,20188,2010,703
8600000US00704,ZCTA5 00704,16734,2429,704
8600000US00705,ZCTA5 00705,20271,1609,705
8600000US00707,ZCTA5 00707,20419,2975,707
8600000US00714,ZCTA5 00714,16263,2560,714
8600000US00715,ZCTA5 00715,13288,4443,715
8600000US00716,ZCTA5 00716,17616,1419,716
8600000US00717,ZCTA5 00717,11838,900,717
8600000US00718,ZCTA5 00718,19220,2576,718
8600000US00719,ZCTA5 00719,18804,2544,719
8600000US00720,ZCTA5 00720,16072,1986,720
8600000US00723,ZCTA5 00723,17197,1628,723
