GEOID,COUNTYFP,INTPTLAT,INTPTLONG
13121000100,13121,33.7997992,-84.3549254                                                                                                                                         
13121000200,13121,33.7916329,-84.3641988                                                                                                                                                
13121000400,13121,33.7883241,-84.3785105                                                                                                                                         
13121000500,13121,33.7961563,-84.3853669                                                                                                                                         
13121000600,13121,33.7853862,-84.4056539                                                                                                                                          
13121000700,13121,33.7799603,-84.4233105                                                                                                                                                
13121001001,13121,33.7828223,-84.3902405                                                                                                                                                 
13121001002,13121,33.7763538,-84.3995123                                                                                                                                                
13121001100,13121,33.7841633,-84.3830169                                                                                                                                                 
13121001201,13121,33.7763742,-84.3803049                                                                                                                                                 
13121001202,13121,33.776784,-84.3851556                                                                                                                                                  
13121001300,13121,33.7761933,-84.3715699                                                                                                                                                
13121001400,13121,33.7770784,-84.3622634                                                                                                                                                 
13121001500,13121,33.7764812,-84.3539881                                                                                                                                                
13121001600,13121,33.7664826,-84.3570224                                                                                                                                           
13121001700,13121,33.7659024,-84.3671952                                                                                                                                                
13121001800,13121,33.7663445,-84.3780718                                                                                                                                                 
13121001900,13121,33.7661809,-84.3873376                                                                                                                                                
13121002100,13121,33.7655158,-84.3948076                                                                                                                                                   
13121002300,13121,33.7672497,-84.4186374                                                                                                                                                
13121002400,13121,33.7586698,-84.4248089                                                                                                                                                
13121002500,13121,33.7590744,-84.4126613                                                                                                                                                 
13121002600,13121,33.7587937,-84.4026285                                                                                                                                                 
13121002800,13121,33.758087,-84.379399                                                                                                                                                   
13121002900,13121,33.7580053,-84.3693491                                                                                                                                                 
13121003000,13121,33.758758,-84.3572779                                                                                                                                           
13121003100,13121,33.7520808,-84.3530446                                                                                                                                                 
13121003200,13121,33.7498233,-84.3650959                                                                                                                                                
13121003500,13121,33.7509444,-84.3916567                                                                                                                                                
13121003600,13121,33.7518731,-84.4029233                                                                                                                                                 
13121003700,13121,33.7489883,-84.4101331                                                                                                                                                  
13121003800,13121,33.7508286,-84.412023                                                                                                                                                  
13121003900,13121,33.7500701,-84.4221427                                                                                                                                                 
13121004000,13121,33.7499716,-84.4362262                                                                                                                                                
13121004100,13121,33.740885,-84.4280836                                                                                                                                                 
13121004200,13121,33.7390423,-84.4181855                                                                                                                                                
13121004300,13121,33.7453619,-84.4091076                                                                                                                                                 
13121004400,13121,33.7407585,-84.401777                                                                                                                                                  
13121004800,13121,33.7443311,-84.3839375                                                                                                                                                 
