GEOID,COUNTYFP,INTPTLAT,INTPTLONG
48039660100,48039,29.5504341,-95.2321366                                                                                                                                         
48039660200,48039,29.5123348,-95.2371355                                                                                                                                               
48039660300,48039,29.5438937,-95.2606738                                                                                                                                         
48039660400,48039,29.5758262,-95.2714282                                                                                                                                               
48039660500,48039,29.5777912,-95.3179567                                                                                                                                        
48039660601,48039,29.5719826,-95.3692611                                                                                                                                        
48039660602,48039,29.5287908,-95.4097958                                                                                                                                       
48039660701,48039,29.5494544,-95.3581133                                                                                                                                               
48039660702,48039,29.5046914,-95.360749                                                                                                                                        
48039660801,48039,29.555415,-95.3080146                                                                                                                                          
48039660802,48039,29.5397208,-95.3052193                                                                                                                                                
48039660900,48039,29.5052895,-95.2859576                                                                                                                                      
48039661000,48039,29.4662739,-95.2975539                                                                                                                                              
48039661100,48039,29.4410019,-95.2284388                                                                                                                                               
48039661200,48039,29.4154031,-95.237669                                                                                                                                                 
48039661300,48039,29.4282483,-95.2581637                                                                                                                                                
48039661400,48039,29.4090857,-95.2599056                                                                                                                                                
48039661501,48039,29.4317325,-95.3142415                                                                                                                                        
48039661502,48039,29.385914,-95.3100312                                                                                                                                       
48039661601,48039,29.3911211,-95.2134101                                                                                                                                       
48039661602,48039,29.3518643,-95.2516063                                                                                                                                              
48039661700,48039,29.2214927,-95.1830979                                                                                                                                  
48039661800,48039,29.3734447,-95.3859696                                                                                                                                    
48039661900,48039,29.3464118,-95.493318                                                                                                                                    
48039662000,48039,29.2270117,-95.6827862                                                                                                                                  
48039662100,48039,29.1980581,-95.5107018                                                                                                                                   
48039662200,48039,29.2652414,-95.4103622                                                                                                                                      
48039662300,48039,29.1754543,-95.4229453                                                                                                                                                
48039662400,48039,29.2073263,-95.3470312                                                                                                                                     
48039662500,48039,29.1173842,-95.5416384                                                                                                                                     
48039662600,48039,29.102693,-95.6429463                                                                                                                                       
48039662700,48039,29.1401555,-95.7882384                                                                                                                                    
48039662800,48039,29.0131836,-95.6795863                                                                                                                                    
48039662900,48039,29.0598335,-95.6180413                                                                                                                                     
48039663000,48039,29.0079891,-95.5383577                                                                                                                                      
48039663100,48039,29.077443,-95.472529                                                                                                                                       
48039663200,48039,29.0520353,-95.4481267                                                                                                                                        
48039663300,48039,29.036776,-95.4426536                                                                                                                                                 
48039663400,48039,29.0216802,-95.4496518                                                                                                                                       
48039663500,48039,29.0276124,-95.4267665                                                                                                                                         
48039663600,48039,29.0506164,-95.4234435                                                                                                                                        
48039663700,48039,29.0575389,-95.4124519                                                                                                                                         
48039663800,48039,29.0326503,-95.4106438                                                                                                                                        
48039663900,48039,29.0113331,-95.4023215                                                                                                                                         
48039664000,48039,29.0555529,-95.3768564                                                                                                                                      
48039664100,48039,29.0811226,-95.3269221                                                                                                                                   
48039664200,48039,29.0074101,-95.3524882                                                                                                                                  
48039664300,48039,28.9690189,-95.3578897                                                                                                                                         
48039664400,48039,28.9114345,-95.3830523                                                                                                                                    
48039664501,48039,28.921521,-95.4896582                                                                                                                                   
48039990000,48039,28.9122556,-95.292401                                                                                                                                             
48071710100,48071,29.8734975,-94.8683004                                                                                                                                    
48071710200,48071,29.7607678,-94.843449                                                                                                                                   
48071710300,48071,29.8293089,-94.6200367                                                                                                                                  
