GEOID,COUNTYFP,INTPTLAT,INTPTLONG
53033000100,53033,47.7247297,-122.2845705                                                                                                                                       
53033000200,53033,47.7266401,-122.3099963                                                                                                                                               
53033000300,53033,47.7305259,-122.3329277                                                                                                                                               
53033000401,53033,47.728871,-122.3509939                                                                                                                                          
53033000402,53033,47.7168585,-122.3523664                                                                                                                                               
53033000500,53033,47.7224094,-122.3710555                                                                                                                                       
53033000600,53033,47.7193841,-122.3315095                                                                                                                                        
53033000700,53033,47.7156893,-122.3018631                                                                                                                                                 
53033000800,53033,47.7112491,-122.286082                                                                                                                                                
53033000900,53033,47.7080031,-122.2748976                                                                                                                                      
53033001000,53033,47.7064068,-122.2960647                                                                                                                                                
53033001100,53033,47.706547,-122.3068073                                                                                                                                                
53033001200,53033,47.7071214,-122.3228194                                                                                                                                               
53033001300,53033,47.7022815,-122.3421789                                                                                                                                               
53033001400,53033,47.7078795,-122.3674088                                                                                                                                       
53033001500,53033,47.6946324,-122.3949744                                                                                                                                       
53033001600,53033,47.7004764,-122.3799022                                                                                                                                       
53033001701,53033,47.6963619,-122.3544843                                                                                                                                                
53033001702,53033,47.6965212,-122.3639488                                                                                                                                               
53033001800,53033,47.6940453,-122.3419781                                                                                                                                                
53033001900,53033,47.6965349,-122.326216                                                                                                                                                
53033002000,53033,47.695331,-122.3108025                                                                                                                                         
53033002100,53033,47.6953673,-122.2980453                                                                                                                                               
53033002200,53033,47.6941159,-122.2754574                                                                                                                                      
53033002400,53033,47.6866808,-122.2878263                                                                                                                                                
53033002500,53033,47.6838969,-122.3022793                                                                                                                                                 
53033002600,53033,47.6822031,-122.3113993                                                                                                                                         
53033002700,53033,47.6868671,-122.3311548                                                                                                                                               
53033002800,53033,47.685114,-122.349945                                                                                                                                                  
53033002900,53033,47.6850872,-122.3606466                                                                                                                                                
53033003000,53033,47.6850958,-122.3740444                                                                                                                                               
53033003100,53033,47.6877574,-122.3964308                                                                                                                                        
53033003200,53033,47.6753292,-122.4022855                                                                                                                                      
53033003300,53033,47.6759715,-122.3768118                                                                                                                                                 
53033003400,53033,47.6740646,-122.3617463                                                                                                                                                
53033003500,53033,47.6725466,-122.3520881                                                                                                                                               
53033003600,53033,47.6771912,-122.3242054                                                                                                                                               
53033003800,53033,47.6794093,-122.2955292                                                                                                                                                
53033003900,53033,47.6794117,-122.2823414                                                                                                                                                
53033004000,53033,47.681718,-122.252368                                                                                                                                        
53033004100,53033,47.6693098,-122.2581752                                                                                                                                       
53033004200,53033,47.6702045,-122.2841013                                                                                                                                               
53033004301,53033,47.6694019,-122.3002215                                                                                                                                                
53033004302,53033,47.6647418,-122.3035951                                                                                                                                                
53033004400,53033,47.670341,-122.3119324                                                                                                                                                 
53033004500,53033,47.6685824,-122.3229111                                                                                                                                                
53033004600,53033,47.683092,-122.3378674                                                                                                                                       
53033004700,53033,47.6660659,-122.3749544                                                                                                                                       
53033004800,53033,47.6608472,-122.3601847                                                                                                                                        
53033004900,53033,47.6571964,-122.3518455                                                                                                                                        
53033005000,53033,47.6608696,-122.3418076                                                                                                                                                
53033005100,53033,47.6585183,-122.3322481                                                                                                                                                 
53033005200,53033,47.6595705,-122.3235185                                                                                                                                         
53033005301,53033,47.661505,-122.3131216                                                                                                                                                  
53033005302,53033,47.6540399,-122.3012544                                                                                                                                       
53033005400,53033,47.6486281,-122.3381362                                                                                                                                       
53033005600,53033,47.6405468,-122.4071053                                                                                                                                      
53033005700,53033,47.6581015,-122.4137704                                                                                                                                      
53033005801,53033,47.6548926,-122.3850376                                                                                                                                       
53033005802,53033,47.6353633,-122.3802928                                                                                                                                      
53033005900,53033,47.6492259,-122.3685688                                                                                                                                       
53033006000,53033,47.6432313,-122.3527936                                                                                                                                       
53033006100,53033,47.6444403,-122.3222647                                                                                                                                       
53033006200,53033,47.6391316,-122.3012264                                                                                                                                       
53033006300,53033,47.6350162,-122.2767793                                                                                                                                       
53033006400,53033,47.6285398,-122.3048258                                                                                                                                                
53033006500,53033,47.6309633,-122.3177579                                                                                                                                               
53033006600,53033,47.62852,-122.3330398                                                                                                                                         
53033006700,53033,47.6318633,-122.3442667                                                                                                                                       
53033006800,53033,47.6360306,-122.3564653                                                                                                                                                
53033006900,53033,47.6343628,-122.3669714                                                                                                                                                
53033007000,53033,47.6282328,-122.3568062                                                                                                                                                
53033007100,53033,47.6224443,-122.3574017                                                                                                                                                
53033007200,53033,47.6194531,-122.3431169                                                                                                                                                
53033007300,53033,47.6199892,-122.3335158                                                                                                                                                
53033007401,53033,47.6229244,-122.3246584                                                                                                                                                  
53033007402,53033,47.6187608,-122.3244188                                                                                                                                                
53033007500,53033,47.6183915,-122.316886                                                                                                                                                 
53033007600,53033,47.6218678,-122.3075858                                                                                                                                                
53033007700,53033,47.6191203,-122.2973516                                                                                                                                               
53033007800,53033,47.6141558,-122.2810958                                                                                                                                      
53033007900,53033,47.6143865,-122.3076722                                                                                                                                                 
53033008001,53033,47.6150718,-122.3552018                                                                                                                                        
53033008002,53033,47.6120871,-122.3452591                                                                                                                                                
53033008100,53033,47.6058683,-122.3393353                                                                                                                                         
53033008200,53033,47.6103728,-122.331941                                                                                                                                                 
53033008300,53033,47.6118178,-122.3280041                                                                                                                                                
53033008400,53033,47.6134675,-122.3239419                                                                                                                                                
53033008500,53033,47.6051118,-122.324947                                                                                                                                                 
53033008600,53033,47.6071031,-122.3166894                                                                                                                                                
53033008700,53033,47.6059236,-122.3077909                                                                                                                                                
53033008800,53033,47.6073299,-122.2976324                                                                                                                                                
53033008900,53033,47.6010291,-122.285229                                                                                                                                        
53033009000,53033,47.5982642,-122.3090976                                                                                                                                                
53033009100,53033,47.5984232,-122.3217544                                                                                                                                                
53033009200,53033,47.6004657,-122.3348315                                                                                                                                         
53033009300,53033,47.5771253,-122.330936                                                                                                                                        
53033009400,53033,47.5881924,-122.3098671                                                                                                                                               
53033009500,53033,47.5783426,-122.2831943                                                                                                                                      
53033009600,53033,47.5899898,-122.3882351                                                                                                                                      
53033009701,53033,47.5731929,-122.4101745                                                                                                                                      
53033009702,53033,47.571927,-122.3960103                                                                                                                                                
53033009800,53033,47.5719546,-122.383094                                                                                                                                                
53033009900,53033,47.5794536,-122.3550326                                                                                                                                      
53033010001,53033,47.5673069,-122.3043618                                                                                                                                        
53033010002,53033,47.57658,-122.3095723                                                                                                                                                  
53033010100,53033,47.5673382,-122.2727022                                                                                                                                      
53033010200,53033,47.5564564,-122.2517138                                                                                                                                      
53033010300,53033,47.5541373,-122.2825842                                                                                                                                               
53033010401,53033,47.5532095,-122.2955875                                                                                                                                               
53033010402,53033,47.5537876,-122.3102256                                                                                                                                               
53033010500,53033,47.5574406,-122.3855495                                                                                                                                               
53033010600,53033,47.5476485,-122.3918719                                                                                                                                       
53033010701,53033,47.5451419,-122.3675265                                                                                                                                         
53033010702,53033,47.5467903,-122.3730351                                                                                                                                                
53033010800,53033,47.5440342,-122.3498743                                                                                                                                       
53033010900,53033,47.5425052,-122.3199752                                                                                                                                       
53033011001,53033,47.5383823,-122.2861564                                                                                                                                               
53033011002,53033,47.540414,-122.2989097                                                                                                                                                
53033011101,53033,47.5394764,-122.2773063                                                                                                                                               
53033011102,53033,47.5424632,-122.2604403                                                                                                                                      
53033011200,53033,47.5296655,-122.3262393                                                                                                                                       
53033011300,53033,47.527369,-122.3448435                                                                                                                                         
53033011401,53033,47.5297061,-122.362028                                                                                                                                                
53033011402,53033,47.5206654,-122.3646254                                                                                                                                               
53033011500,53033,47.5301833,-122.375533                                                                                                                                                
53033011600,53033,47.5282704,-122.3897768                                                                                                                                       
53033011700,53033,47.5201561,-122.2828634                                                                                                                                               
53033011800,53033,47.5168113,-122.2639039                                                                                                                                      
53033011900,53033,47.5072824,-122.2517998                                                                                                                                       
53033012000,53033,47.5129291,-122.3806808                                                                                                                                               
53033012100,53033,47.507595,-122.3873799                                                                                                                                       
53033990100,53033,47.5114467,-122.4154275                                                                                                                                            
