food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
133.87311,0.16733268,0.24344304,21.903265,23.438238,39061000200
97.08782,0.32533592,0.00020184278,67.15137,65.54962,39061000700
60.10926,0.14894018,0.07109581,57.703922,27.485643,39061000900
35.99928,0.098933585,0.069241546,31.529137,0.0,39061001000
74.881546,0.00026345265,0.10974746,37.495987,16.031336,39061001100
20.902933,0.00023325764,0.12201485,85.665924,0.0,39061001600
69.045204,0.09494447,0.09494447,24.569767,36.670013,39061001700
157.76646,0.057533696,0.29994932,0.0,49.00017,39061001800
233.71558,0.15398997,0.39635652,73.0,52.753624,39061001900
242.02797,0.32157823,0.3326293,16.8,20.6,39061002000
99.883484,0.19862524,0.3052294,55.22891,30.3,39061002200
121.19604,0.20827307,0.2892923,100.17677,40.8,39061002300
124.03112,0.18872698,0.19182362,77.93125,80.46418,39061002500
139.33224,0.30682203,0.21855329,8.5,23.438597,39061002600
167.43086,0.22971205,0.28061274,69.071014,53.1903,39061002700
222.30457,0.42753157,0.27117655,126.794655,94.17596,39061002800
127.51796,0.29570442,0.47772828,77.09015,94.5134,39061002900
98.54886,0.00016794364,0.2041086,0.0,76.59791,39061003000
130.36139,0.24580126,0.32549343,47.902393,63.902393,39061003200
52.022537,0.14089347,0.38652048,46.377785,33.55615,39061003300
254.06322,7.424965e-05,0.11621258,0.0,5.2,39061003600
219.62712,0.1956768,0.28744778,14.5,0.0,39061003700
355.71735,0.3815946,0.15033218,36.222897,37.57583,39061003800
352.5512,0.16708416,0.11133876,27.5,24.3,39061003900
300.8254,0.12988012,0.7057111,70.61037,92.41388,39061004000
350.16498,0.00021752687,0.36483327,26.9,15.3,39061004100
286.23636,0.304495,0.33314157,65.74415,48.492935,39061004200
420.3931,6.563716e-05,2.107931,405.80438,117.540855,39061004500
120.5483,0.34812364,0.17196238,44.3,76.05861,39061004602
134.26268,0.36662754,0.00016962025,62.2,76.429535,39061004603
93.648,0.42519078,0.179313,119.26374,129.9167,39061004604
362.2886,0.112950526,0.3509049,117.50987,73.17342,39061004701
428.6323,0.7097051,0.26052365,168.50177,124.16532,39061004702
224.4956,0.32894883,0.88358176,37.4,109.16779,39061004800
