food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
201.8,1.4804448,9.708067,66.5,135.8,48039660100
380.2,1.2258967,12.020266,269.9,172.3,48039660200
201.8,1.4804448,9.708067,66.5,135.8,48039660300
388.8,1.0184413,6.8460584,102.8,102.8,48039660400
600.0,2.8217628,5.3114796,282.8,289.3,48039660500
813.1,0.78768873,3.6523232,342.7,292.8,48039660601
184.9,1.1236408,4.0144944,101.8,174.2,48039660602
822.1,0.0001657261,4.4378037,424.9,375.0,48039660701
822.1,0.0001657261,4.4378037,424.9,375.0,48039660702
629.6,2.4914055,7.201693,374.4,331.3,48039660801
629.6,2.4914055,7.201693,374.4,331.3,48039660802
629.6,2.4914055,7.201693,374.4,331.3,48039660900
822.1,0.0001657261,4.4378037,424.9,375.0,48039661000
224.4,1.3726265,17.843796,369.4,274.8,48039661100
224.4,1.3726265,17.843796,369.4,274.8,48039661200
224.4,1.3726265,17.843796,369.4,274.8,48039661300
224.4,1.3726265,17.843796,369.4,274.8,48039661400
822.1,0.0001657261,4.4378037,424.9,375.0,48039661501
224.4,1.3726265,17.843796,369.4,274.8,48039661502
224.4,1.3726265,17.843796,369.4,274.8,48039661601
224.4,1.3726265,17.843796,369.4,274.8,48039661602
224.4,1.3726265,17.843796,369.4,274.8,48039661700
184.9,1.1236408,4.0144944,101.8,174.2,48039661800
286.3,2.109493,8.430683,206.6,33.2,48039661900
272.9,2.3404326,8.416689,193.2,19.8,48039662000
272.9,2.3404326,8.416689,193.2,19.8,48039662100
184.9,1.1236408,4.0144944,101.8,174.2,48039662200
184.9,1.1236408,4.0144944,101.8,174.2,48039662300
224.4,1.3726265,17.843796,369.4,274.8,48039662400
272.9,2.3404326,8.416689,193.2,19.8,48039662500
272.9,2.3404326,8.416689,193.2,19.8,48039662600
272.9,2.3404326,8.416689,193.2,19.8,48039662700
272.9,2.3404326,8.416689,193.2,19.8,48039662800
272.9,2.3404326,8.416689,193.2,19.8,48039662900
272.9,2.3404326,8.416689,193.2,19.8,48039663000
286.3,2.109493,8.430683,206.6,33.2,48039663100
190.7,1.0831857,4.052112,107.6,180.0,48039663200
190.7,1.0831857,4.052112,107.6,180.0,48039663300
153.2,0.9737633,4.53876,70.1,142.5,48039663400
184.9,1.1236408,4.0144944,101.8,174.2,48039663500
184.9,1.1236408,4.0144944,101.8,174.2,48039663600
184.9,1.1236408,4.0144944,101.8,174.2,48039663700
184.9,1.1236408,4.0144944,101.8,174.2,48039663800
224.4,1.3726265,17.843796,369.4,274.8,48039663900
224.4,1.3726265,17.843796,369.4,274.8,48039664000
224.4,1.3726265,17.843796,369.4,274.8,48039664100
224.4,1.3726265,17.843796,369.4,274.8,48039664200
224.4,1.3726265,17.843796,369.4,274.8,48039664300
224.4,1.3726265,17.843796,369.4,274.8,48039664400
286.3,2.109493,8.430683,206.6,33.2,48039664501
224.4,1.3726265,17.843796,369.4,274.8,48039990000
860.8,0.00023087802,10.311053,59.7,95.8,48071710100
134.6,0.20093417,17.266912,138.3,111.2,48071710200
271.5,0.017484237,21.02185,223.8,253.3,48071710300
337.3,0.91730577,22.420343,229.5,287.0,48071710401
337.3,0.91730577,22.420343,229.5,287.0,48071710500
337.3,0.91730577,22.420343,229.5,287.0,48071710600
337.3,0.91730577,22.420343,229.5,287.0,48071990000
142.6,0.46156585,3.5256054,93.0,131.9,48157670101
147.6,0.80047804,4.591135,64.5,136.9,48157670102
85.8,0.22004125,4.691456,61.3,96.5,48157670200
198.3,0.99377954,5.6312633,67.4,78.5,48157670300
217.3,0.6031324,5.3884125,172.7,164.0,48157670400
265.7,1.1762118,4.699497,164.5,107.5,48157670500
336.1,2.2220457,6.796372,162.8,154.1,48157670601
360.9,1.8502958,7.623447,169.6,121.4,48157670602
189.9,0.9212222,4.318886,106.8,179.2,48157670700
139.3,0.42115706,5.1038103,88.1,150.0,48157670800
272.9,2.3404326,8.416689,193.2,19.8,48157670901
199.2,0.31179726,5.8716307,36.8,191.0,48157670902
272.9,2.3404326,8.416689,193.2,19.8,48157671001
272.9,2.3404326,8.416689,193.2,19.8,48157671002
336.1,2.2220457,6.796372,162.8,154.1,48157671100
301.3,1.3569604,5.6931677,160.2,151.5,48157671200
241.6,0.70124775,3.3579826,82.3,219.3,48157671300
266.5,0.6949531,3.4335604,74.4,216.7,48157671400
266.5,0.6949531,3.4335604,74.4,216.7,48157671501
253.1,2.3657446,7.983047,173.4,0.0,48157671502
100.6,1.3257867,3.1051517,134.0,129.2,48157671601
266.5,0.6949531,3.4335604,74.4,216.7,48157671602
116.6,1.8090929,3.2162383,94.8,94.8,48157671700
266.5,0.6949531,3.4335604,74.4,216.7,48157671800
18.2,1.1381075,3.0352855,74.9,66.8,48157671900
221.5,0.22635111,4.046517,166.5,1.3,48157672001
100.6,1.3257867,3.1051517,134.0,129.2,48157672002
285.0,0.9483595,4.8969426,230.0,1.1,48157672100
285.8,0.960039,4.9081154,230.8,1.9,48157672200
285.8,0.960039,4.9081154,230.8,1.9,48157672301
285.8,0.960039,4.9081154,230.8,1.9,48157672302
318.0,0.7699621,4.586733,263.0,1.0,48157672400
274.0,1.3810194,4.753588,44.8,69.5,48157672500
507.0,0.000114632676,7.4203396,406.4,301.4,48157672601
507.0,0.000114632676,7.4203396,406.4,301.4,48157672602
285.8,0.960039,4.9081154,230.8,1.9,48157672701
285.8,0.960039,4.9081154,230.8,1.9,48157672702
285.8,0.960039,4.9081154,230.8,1.9,48157672800
553.8,0.00031290183,8.185215,453.2,348.2,48157672900
753.4,0.017455261,10.884993,652.8,547.8,48157673001
740.1,0.01739855,10.781423,639.5,534.5,48157673002
753.4,0.017455261,10.884993,652.8,547.8,48157673003
753.4,0.017455261,10.884993,652.8,547.8,48157673101
753.4,0.017455261,10.884993,652.8,547.8,48157673102
753.4,0.017455261,10.884993,652.8,547.8,48157673200
753.4,0.017455261,10.884993,652.8,547.8,48157673300
721.6,0.00010303987,10.608462,621.0,516.0,48157673400
663.9,0.7047643,9.891426,563.3,458.3,48157673500
285.8,0.960039,4.9081154,230.8,1.9,48157673600
285.8,0.960039,4.9081154,230.8,1.9,48157673700
285.8,0.960039,4.9081154,230.8,1.9,48157673800
285.8,0.960039,4.9081154,230.8,1.9,48157673901
285.8,0.960039,4.9081154,230.8,1.9,48157673902
265.5,0.68098193,4.6294146,210.5,20.8,48157674000
266.5,0.6949531,3.4335604,74.4,216.7,48157674100
100.6,1.3257867,3.1051517,134.0,129.2,48157674200
272.9,2.3404326,8.416689,193.2,19.8,48157674300
272.9,2.3404326,8.416689,193.2,19.8,48157674400
272.9,2.3404326,8.416689,193.2,19.8,48157674501
286.3,2.109493,8.430683,206.6,33.2,48157674502
285.8,0.960039,4.9081154,230.8,1.9,48157674601
272.9,2.3404326,8.416689,193.2,19.8,48157674602
285.8,0.960039,4.9081154,230.8,1.9,48157674603
285.8,0.960039,4.9081154,230.8,1.9,48157674604
285.8,0.960039,4.9081154,230.8,1.9,48157674700
285.8,0.960039,4.9081154,230.8,1.9,48157674800
663.9,0.7047643,9.891426,563.3,458.3,48157674900
663.9,0.7047643,9.891426,563.3,458.3,48157675000
285.8,0.960039,4.9081154,230.8,1.9,48157675100
285.8,0.960039,4.9081154,230.8,1.9,48157675200
663.9,0.7047643,9.891426,563.3,458.3,48157675300
704.4,0.0003523399,10.394056,603.8,498.8,48157675400
272.9,2.3404326,8.416689,193.2,19.8,48157675500
272.9,2.3404326,8.416689,193.2,19.8,48157675600
285.8,0.960039,4.9081154,230.8,1.9,48157675700
721.6,0.00010303987,10.608462,621.0,516.0,48157675800
380.2,1.2258967,12.020266,269.9,172.3,48167720100
224.4,1.3726265,17.843796,369.4,274.8,48167720200
224.4,1.3726265,17.843796,369.4,274.8,48167720301
224.4,1.3726265,17.843796,369.4,274.8,48167720302
224.4,1.3726265,17.843796,369.4,274.8,48167720400
228.0,1.4265772,18.305809,373.0,278.4,48167720501
228.0,1.4265772,18.305809,373.0,278.4,48167720502
224.4,1.3726265,17.843796,369.4,274.8,48167720503
224.4,1.3726265,17.843796,369.4,274.8,48167720600
285.2,0.20946565,20.930271,177.4,234.9,48167720700
285.2,0.20946565,20.930271,177.4,234.9,48167720800
273.9,0.021426773,21.049622,166.1,223.6,48167720900
319.1,0.5765984,22.392889,211.3,268.8,48167721000
319.7,0.5645525,22.387518,211.9,269.4,48167721100
319.7,0.5645525,22.387518,211.9,269.4,48167721201
319.1,0.5765984,22.392889,211.3,268.8,48167721202
254.6,0.3309212,21.265703,146.8,204.3,48167721300
324.1,0.68219554,22.426554,216.3,273.8,48167721400
324.1,0.68219554,22.426554,216.3,273.8,48167721500
337.8,0.9092154,22.421478,230.0,287.5,48167721600
324.1,0.68219554,22.426554,216.3,273.8,48167721700
324.1,0.68219554,22.426554,216.3,273.8,48167721800
319.1,0.5765984,22.392889,211.3,268.8,48167721900
324.1,0.68219554,22.426554,216.3,273.8,48167722001
319.1,0.5765984,22.392889,211.3,268.8,48167722002
324.1,0.68219554,22.426554,216.3,273.8,48167722100
324.1,0.68219554,22.426554,216.3,273.8,48167722200
319.1,0.5765984,22.392889,211.3,268.8,48167722300
319.7,0.5645525,22.387518,211.9,269.4,48167722600
319.7,0.5645525,22.387518,211.9,269.4,48167722700
319.7,0.5645525,22.387518,211.9,269.4,48167722800
319.7,0.5645525,22.387518,211.9,269.4,48167722900
319.7,0.5645525,22.387518,211.9,269.4,48167723000
280.3,0.20998251,21.91405,172.5,230.0,48167723100
285.2,0.20946565,20.930271,177.4,234.9,48167723200
285.2,0.20946565,20.930271,177.4,234.9,48167723300
224.4,1.3726265,17.843796,369.4,274.8,48167723400
285.2,0.20946565,20.930271,177.4,234.9,48167723501
224.4,1.3726265,17.843796,369.4,274.8,48167723502
285.2,0.20946565,20.930271,177.4,234.9,48167723600
305.4,0.2986312,22.227896,197.6,255.1,48167723700
319.7,0.5645525,22.387518,211.9,269.4,48167723800
337.3,0.91730577,22.420343,229.5,287.0,48167723900
324.1,0.68219554,22.426554,216.3,273.8,48167724000
324.1,0.68219554,22.426554,216.3,273.8,48167724101
324.1,0.68219554,22.426554,216.3,273.8,48167724200
324.1,0.68219554,22.426554,216.3,273.8,48167724300
324.1,0.68219554,22.426554,216.3,273.8,48167724400
