food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
80.774414,0.28913665,0.8113973,162.37805,136.62326,53033000100
92.6,0.40740156,0.2018681,71.0,45.1,53033000200
148.67056,0.3514338,0.22899505,49.063957,53.1,53033000300
106.63895,0.047142483,0.27052978,86.01798,71.27749,53033000401
144.96867,0.40977606,0.2805724,16.786512,27.686512,53033000402
246.6336,0.7502705,0.42635688,165.34856,142.3,53033000500
111.83305,0.16066307,0.4101406,52.9,30.543365,53033000600
80.7,0.27097517,0.38605303,64.74086,47.01227,53033000700
153.20547,0.5630799,0.3019052,62.270615,79.6,53033000800
214.73418,0.387178,0.33753252,116.13338,88.63338,53033000900
173.31223,5.260634e-05,0.4348648,51.696575,93.956024,53033001000
104.45211,0.14173485,0.24855386,20.2,60.78608,53033001100
80.31212,0.00026176704,0.00026176704,17.699446,90.29426,53033001200
20.112513,0.4087835,0.19777305,65.26882,21.1,53033001300
105.21351,0.5620989,0.4448713,142.82669,146.96123,53033001400
197.73648,0.41537562,0.16753787,133.11046,99.830574,53033001500
133.34581,0.2233335,0.30566847,91.647995,102.1,53033001600
90.59037,0.30302295,0.10028636,119.18847,86.84765,53033001701
71.79084,0.30027312,0.2799113,109.48235,21.3,53033001702
121.83992,0.30978352,0.21340002,11.349756,43.99723,53033001800
193.7539,0.25476542,0.19404633,82.03775,35.32376,53033001900
165.99495,0.22470532,0.179389,79.79314,33.189632,53033002000
200.83055,0.460381,0.55908656,61.29208,81.78452,53033002100
272.09827,0.17989035,0.00012327761,136.5557,124.050514,53033002200
60.301285,0.20404336,0.25159645,55.802883,26.2,53033002400
86.51911,0.14291686,0.08162556,19.667587,45.5,53033002500
57.502,0.39677808,0.079547435,71.974304,68.26838,53033002600
119.75392,0.32726556,0.04403392,83.461266,21.721632,53033002700
62.11786,0.42764533,0.47024,77.51912,36.7,53033002800
75.45473,0.21917605,0.40109426,36.7,41.45959,53033002900
79.51708,0.007793144,0.28630918,28.7,12.6,53033003000
170.12738,0.51762545,0.13644044,50.301353,34.64472,53033003100
156.83318,0.3421435,0.2115283,74.18824,34.7,53033003200
22.880135,0.20714375,0.00011877351,27.238588,41.692547,53033003300
133.93402,0.5296348,0.34054175,49.5,2.3,53033003400
126.02045,0.13108963,0.21697734,55.427193,59.787354,53033003500
49.36247,0.110856235,2.7744385e-05,36.245556,57.51891,53033003600
94.30683,0.12681684,0.4057223,49.8,64.922844,53033003800
59.414795,0.00015054949,0.4009597,59.741867,36.62852,53033003900
223.24687,0.00020395401,0.78484803,88.77436,171.28665,53033004000
236.77257,0.65789634,0.7619315,112.3,184.81233,53033004100
20.720465,0.3178902,0.20207775,55.2,62.32816,53033004200
115.85962,0.16288824,0.16288824,90.559616,104.680046,53033004301
127.97134,0.3459421,0.18966353,111.92426,63.701134,53033004302
57.276733,0.12685302,0.0002088828,23.729694,57.276733,53033004400
119.5635,0.24873728,0.2027134,22.7,95.50224,53033004500
61.478264,0.32934904,0.335898,61.26674,38.1,53033004600
0.0,0.18724622,0.16347401,86.30715,82.06807,53033004700
76.0,0.032007456,0.31879357,32.8,134.53128,53033004800
62.338783,0.25415313,0.17473347,65.82335,51.855614,53033004900
67.4,0.50030136,0.00015200424,21.5,48.26037,53033005000
79.53964,0.27114806,0.26852408,56.628063,1.8,53033005100
117.27585,0.48771212,0.10010498,29.1,29.1,53033005200
57.553993,0.3408449,0.00019219048,11.604851,22.689602,53033005301
70.5823,9.6305295e-05,0.17770475,168.7198,109.817055,53033005302
112.71394,5.5283166e-05,0.1285412,52.361954,65.53554,53033005400
55.591137,0.12381776,0.21153548,31.132214,26.207226,53033005600
151.92719,0.5780615,0.23913844,230.58066,154.34808,53033005700
120.03159,0.18721631,0.00033281482,52.64881,77.31197,53033005801
82.975685,0.51247627,0.20187779,149.31308,85.86357,53033005802
123.91665,0.13182507,0.29186645,23.9,73.76117,53033005900
123.932526,0.08867283,0.39941442,93.31259,114.6,53033006000
153.50354,0.21097201,0.1731064,76.381874,0.0,53033006100
200.20555,0.20072591,0.089839,13.743085,80.426025,53033006200
44.519615,0.10330696,0.00021687867,17.844904,190.84604,53033006300
108.9,0.49565908,0.1858225,31.625748,8.4,53033006400
116.8,0.20077641,0.2305103,26.74014,10.6,53033006500
153.51602,0.0002488841,0.0002488841,19.71896,94.43657,53033006600
106.66027,0.31879124,0.14605504,105.82102,58.7,53033006700
0.0,0.13493593,0.13486272,62.43101,0.0,53033006800
59.30195,0.53750134,0.100591935,39.3,29.6,53033006900
58.50175,0.20182168,8.938199e-05,49.282784,43.654034,53033007000
41.442867,0.2883286,0.09888685,74.57919,19.549372,53033007100
40.64875,0.18761502,0.12961948,64.45676,26.066463,53033007200
58.915718,0.12660019,0.159585,54.37587,54.873463,53033007300
31.9,0.14816429,0.15788612,17.8,26.9,53033007401
45.741917,0.09630263,0.12484698,36.015663,86.789024,53033007402
60.934113,0.16154425,0.12982781,82.59062,22.2,53033007500
61.620155,0.098237574,0.17655341,14.072638,0.0,53033007600
56.68327,0.29343417,0.16258751,57.9,36.908363,53033007700
162.41708,0.06636647,0.14126755,61.100124,54.2,53033007800
31.0,0.17294952,0.15296237,16.3,30.9,53033007900
94.60012,0.099803954,0.19517568,86.35084,38.165443,53033008001
47.214066,0.23530419,0.16181089,82.4965,38.866737,53033008002
100.9873,0.105265036,0.13034078,102.39178,112.15846,53033008100
141.7692,0.00027399117,0.059748378,120.66888,108.46103,53033008200
57.571075,0.10230113,0.13002682,33.972496,37.415173,53033008300
22.629015,0.078648046,0.14313446,20.4,26.762747,53033008400
120.954865,0.15527089,0.092310905,86.77301,14.265057,53033008500
112.040405,0.00014191745,0.06986376,21.3,68.10309,53033008600
109.5219,0.22778805,0.09937475,42.36206,16.109228,53033008700
64.4,0.057735965,0.057735965,40.020733,6.38263,53033008800
0.0,0.11095708,0.0001431652,157.18185,167.22775,53033008900
79.89156,0.18736272,0.10091265,39.67455,0.0,53033009000
