Health condition,Food,Physical health,Public transport,Education,Houses of worship,Poverty Rate,RSquared,MSE
Health insurance access,0.0,0.0,0.0,0.0357,0.0,4.108709695473159,0.8219,6.442440069029472
Arthritis prevalence,1.2901,0.0,0.0,-0.0,-0.0,0.9088724676159232,0.1682,28.427537686982774
Binge drinking prevalence,-0.6646,0.0754,-0.3684,0.3481,0.1354443400855743,-1.6728077082832504,0.3943,8.987532760205944
High blood pressure prevalence,1.3567,0.0475,0.5129,-0.5269,-0.9988967089593984,2.915301100023071,0.3161,58.65291909166758
Medium blood pressure prevalence,0.8743,0.0,0.0,-0.0,-0.0,-0.0,0.0474,45.697606791393454
Cancer prevalence,0.4022,-0.0,0.0,-0.0,0.0,-0.47219297665785825,0.4118,1.3374905586627719
Asthma prevalence,0.063,0.0,0.0,0.0,-0.0,1.7025148432554067,0.8044,0.9351864874305359
Cervical cancer screenings,0.0,-0.0,0.0,-0.0,-0.4687802799611404,-3.53416411113378,0.7972,8.307370915565386
Coronary heart disease prevalence,0.3491,-0.0,0.0,-0.0,-0.0,0.8422785162650184,0.3733,3.503342053190197
Routine checkups,0.4694,-0.0851,0.3085,-0.2886,-0.25954871208245,0.0,-0.0362,10.041323895027134
Cholesterol screenings,0.4892,-0.0,0.2658,-0.0,-0.6851288932952441,-2.934258689141307,0.3959,16.879405600985113
Colon cancer screenings,-0.0,-0.0,0.0,-0.019,-0.0,-6.099777731855866,0.819,9.253166351717605
COPD prevalence,0.4857,0.0,0.0,0.0,-0.0,2.032485882816633,0.6634,5.260154734766075
Core men's health,-0.0034,-0.0,-0.0,0.0,0.32084739945814067,-5.505640357933808,0.7831,9.858526839601154
Core women's health,-0.0811,-0.0,0.0,0.1552,0.0,-3.942932387100339,0.6868,6.843919945455371
Smoking prevalence,0.2511,0.2737,-0.0,0.2902,-0.0,5.617345738630088,0.7298,15.912276439476877
Dental checkups,-0.0,-0.0,-0.0,-0.0,0.0,-10.440917827470688,0.8603,30.089215350121215
Depression prevalence,0.0165,0.1175,-0.1324,0.2722,0.2763793388330982,1.11520932499839,0.2548,4.297715534959003
Diabetes prevalence,0.6356,0.0,0.0442,-0.0,-0.7253841018091007,2.588625641305002,0.4175,18.937853658699865
General poor health prevalence,0.8034,0.0,0.0,0.0,-0.024695238390848463,7.100911405216952,0.8201,29.523556930971946
High cholesterol prevalence,1.1552,0.0,0.0,0.0,-0.0,-0.0,0.203,13.41715430993874
Chronic kidney disease,0.2011,0.0,0.08,-0.1057,-0.12391241731393937,0.581171411096912,0.4468,0.9783841019051811
No physical activity,0.6329,0.0,0.0,0.0,-0.0,7.389990145898136,0.8028,27.984403293419003
Mammograms,-0.1261,-0.1033,0.0,-0.1931,-0.1618249159008191,-0.0,-0.0209,4.688162744744067
Poor mental health prevalence,0.0,0.0395,-0.0,0.1599,0.19612615931668564,4.353872578206205,0.8148,3.9032058829415752
Obesity prevalence,0.3293,0.0,0.0,0.0,-0.819414261491844,4.5912447162863055,0.7028,25.931842197573232
Poor physical health,0.4814,0.0,0.0,0.0,-0.0,3.5720237799923673,0.7919,9.205959635724744
Poor sleep prevalence,0.0,0.0,0.0,-0.0,-0.41536932347208505,3.970229486154461,0.6891,11.311661908318772
Stroke prevalence,0.2928,0.018,0.1185,-0.1527,-0.21104300828687506,0.8659143043476677,0.445,2.312604563757061
Teeth loss prevalence,0.3611,0.0,0.0,0.0,-0.0,9.824585311706967,0.8652,25.76411639664518
