Health condition,Food,Physical health,Poverty Rate,RSquared,MSE
Health insurance access,0.0,0.0,0.7662901221754551,0.7446,0.258029625985052
Arthritis prevalence,0.2419,-0.0,0.1760038688567973,0.2224,0.8427920996892738
Binge drinking prevalence,-0.1039,0.0,-0.4512355871743367,0.4509,0.6726805485710122
High blood pressure prevalence,0.1021,-0.0,0.36697052313116546,0.3577,0.7642946012562555
Medium blood pressure prevalence,0.122,0.0,-0.0,0.067,0.9419538099562788
Cancer prevalence,0.3754,-0.0514,-0.41665518226543746,0.2664,0.6107142854728917
Asthma prevalence,0.0227,0.0,0.8215732845076804,0.8121,0.22393408754422842
Cervical cancer screenings,0.0,-0.0,-0.7261531427987358,0.722,0.3914379199861834
Coronary heart disease prevalence,0.1842,-0.0,0.4082899536432458,0.3771,0.7131114113906121
Routine checkups,0.0216,-0.0,0.0,-0.035,0.9907717000031444
Cholesterol screenings,0.0654,-0.0,-0.5049294246792742,0.3347,0.6420594115664017
Colon cancer screenings,-0.0,-0.0,-0.8675901741609894,0.7748,0.18102510523343104
COPD prevalence,0.1396,0.0,0.6143793406722977,0.6066,0.49875611824649974
Core men's health,-0.0,-0.0,-0.790736878749843,0.7745,0.2350119244821825
Core women's health,-0.0,-0.0,-0.7400299519945794,0.7189,0.2951782904484996
Smoking prevalence,0.028,0.0371,0.761956283814809,0.6894,0.3172168573926539
Dental checkups,-0.0,-0.0,-0.8204056137836017,0.8222,0.2022947975257041
Depression prevalence,0.0,0.0,0.3276944667061075,0.1483,0.7848742652990109
Diabetes prevalence,0.033,-0.0,0.4341167023801178,0.4171,0.6966703635150123
General poor health prevalence,0.0292,0.0,0.7105191012187051,0.7702,0.3611518410926055
High cholesterol prevalence,0.2677,0.0,-0.0,0.1889,0.8654505272018306
Chronic kidney disease,0.0942,-0.0,0.4946986555138245,0.4711,0.6447217233269882
No physical activity,0.0388,0.0,0.746396464123784,0.7689,0.3149931510257789
Mammograms,-0.0345,-0.0351,-0.0,-0.0641,0.9724903183749716
Poor mental health prevalence,0.0188,0.0438,0.9038388777540719,0.7813,0.16922022178142487
Obesity prevalence,0.0,0.0,0.5805136637994415,0.684,0.5131758731431871
Poor physical health,0.0826,0.0,0.7086853524032668,0.7353,0.38218923821418377
Poor sleep prevalence,0.0,0.0,0.6552337121274305,0.6856,0.3899056316906272
Stroke prevalence,0.0887,-0.0,0.48974821776444805,0.4619,0.6512319418994161
Teeth loss prevalence,0.0286,0.0,0.8516904734079321,0.8291,0.19541114102519755
