Health condition,Food,Physical health,Poverty Rate,RSquared,MSE
Health insurance access,0.0,0.0,3.887968060269654,0.7446,6.642453077988386
Arthritis prevalence,1.3987,-0.0,1.0174784897093219,0.2224,28.166085959513683
Binge drinking prevalence,-0.3911,0.0,-1.6975770742207337,0.4509,9.520531312278957
High blood pressure prevalence,0.9158,-0.0,3.290364039507542,0.3577,61.44496909186619
Medium blood pressure prevalence,0.8503,0.0,-0.0,0.067,45.75618401197244
Cancer prevalence,0.5424,-0.0742,-0.6019193402354096,0.2664,1.274562389266933
Asthma prevalence,0.0466,0.0,1.6861098199648132,0.8121,0.9431902564581912
Cervical cancer screenings,0.0,-0.0,-3.4492976129470545,0.722,8.832177491852441
Coronary heart disease prevalence,0.4053,-0.0,0.8984004145623119,0.3771,3.4527082765810686
Routine checkups,0.0722,-0.0,0.0,-0.035,11.121095496249202
Cholesterol screenings,0.3466,-0.0,-2.6780055278433927,0.3347,18.060792162488465
Colon cancer screenings,-0.0,-0.0,-6.1887020891169575,0.7748,9.211040957010088
COPD prevalence,0.4547,0.0,2.001495876993467,0.6066,5.293274651662512
Core men's health,-0.0,-0.0,-5.251307887005303,0.7745,10.364798765533859
Core women's health,-0.0,-0.0,-3.6531395937280724,0.7189,7.1931373534182015
Smoking prevalence,0.2015,0.2669,5.476177810219531,0.6894,16.38518052352418
Dental checkups,-0.0,-0.0,-10.093148208059977,0.8222,30.618278436429502
Depression prevalence,0.0,0.0,0.8186121746201943,0.1483,4.897994259954309
Diabetes prevalence,0.1794,-0.0,2.3636039413674834,0.4171,20.652077979193077
General poor health prevalence,0.2697,0.0,6.573702924070406,0.7702,30.91423223472483
High cholesterol prevalence,1.0574,0.0,-0.0,0.1889,13.49824058920564
Chronic kidney disease,0.1192,-0.0,0.6261297496543203,0.4711,1.0328078301513555
No physical activity,0.3709,0.0,7.128032861289147,0.7689,28.727732657449184
Mammograms,-0.0788,-0.08,-0.0,-0.0641,5.06460268078336
Poor mental health prevalence,0.0921,0.214,4.417851216877915,0.7813,4.042894375039759
Obesity prevalence,0.0,0.0,4.289220385842859,0.684,28.015479500383435
Poor physical health,0.4077,0.0,3.498272360361539,0.7353,9.3127678792117
Poor sleep prevalence,0.0,0.0,3.66098428377463,0.6856,12.172023132514138
Stroke prevalence,0.1718,-0.0,0.9482276767094329,0.4619,2.4412666593456986
Teeth loss prevalence,0.3292,0.0,9.792668659048532,0.8291,25.83377435796083
