Health condition,Food,Physical health,Public transport,Education,Houses of worship,Poverty Rate,RSquared,MSE
Health insurance access,0.0,-0.0,0.0,-0.0,0.0,1.9822337067152274,0.3571,6.589577533708892
Arthritis prevalence,0.5929,0.0424,0.1809,0.0709,0.33318550123986973,-0.6432072629426429,-0.0275,11.734794114719982
Binge drinking prevalence,-0.4705,0.1632,-0.2048,0.0077,-0.22848971473603039,-0.4191122040502074,0.086,7.284648411891003
High blood pressure prevalence,0.4261,-0.0,0.0,0.0,0.07813473204782082,-0.0,0.0577,25.24450221159635
Medium blood pressure prevalence,1.0071,-0.126,0.3482,-0.166,0.45354589689447217,-1.9078361350895867,-0.0065,45.288916375637974
Cancer prevalence,0.301,0.0697,-0.0246,-0.0026,0.15766958272119222,-0.7305248538779149,0.0923,1.3301533912211767
Asthma prevalence,0.0,0.0,0.0036,0.018,0.0,0.5670845951324603,0.4288,0.18019346950505405
Cervical cancer screenings,-0.0557,0.0,-0.0,0.0,0.0,-5.629460312760445,0.5078,8.076083926838319
Coronary heart disease prevalence,0.0458,-0.007,0.01,0.0107,0.04871895700199753,0.010158799982794878,0.017,1.310876784663249
Routine checkups,0.6836,-0.0793,0.1409,0.0197,0.16305770653716845,-0.8920266019963403,0.1025,6.325365868097947
Cholesterol screenings,0.4647,-0.0,0.0032,-0.0,0.16155487831184803,-3.6075825580861998,0.5133,5.269423418270293
Colon cancer screenings,-0.0,0.0,-0.0,0.0,-0.0,-3.4585701161716123,0.4659,11.65470635676658
COPD prevalence,0.0601,-0.0191,0.0284,0.0099,0.07313006302288656,0.1313705095650756,0.0922,0.9037217071653812
Core men's health,-0.0,0.0375,-0.0,-0.0,-0.0,-3.3572643136593725,0.5423,6.329495009488343
Core women's health,-0.0,0.0,-0.0,-0.0,-0.0,-2.549955398543032,0.4634,5.3456126361142875
Smoking prevalence,0.0,-0.0,0.0,0.0,0.0,1.282843264362713,0.3221,3.8831196121998355
Dental checkups,-0.0,0.0444,-0.0,-0.0,-0.0,-5.79964628558705,0.5346,22.102341929575555
Depression prevalence,-0.1261,0.1326,-0.0518,0.0232,-0.008411624712303032,0.22896476942309474,0.0231,3.9066947746696554
Diabetes prevalence,0.0747,-0.0587,0.0333,0.0087,0.07824035256849717,0.0950822519179684,0.0389,6.658510493449644
General poor health prevalence,0.1331,-0.2034,0.0949,0.0,0.2923027272937897,1.3805508734147056,0.2636,12.173728341063935
High cholesterol prevalence,0.8781,0.0,0.1069,0.0,0.3298201452612153,-1.2530745370892087,0.0089,14.416305271147376
Chronic kidney disease,0.0243,-0.0088,0.0038,0.0033,0.026265639412535742,0.017995691296677836,0.0495,0.2792761556958321
No physical activity,0.136,-0.1367,0.0906,0.0,0.1733862579449567,2.2016620526310686,0.3415,12.843125480978745
Mammograms,-0.0082,-0.0,-0.0,0.0,-0.0,-0.414726914156609,0.0849,2.0442812109652277
Poor mental health prevalence,-0.0,0.0,0.0,0.0,-0.0,2.071695329580557,0.61,0.9874544596794421
Obesity prevalence,0.0,-0.0,0.0,0.0,0.00040402132831087183,0.0,-0.0015,4.578938904113641
Poor physical health,0.1344,-0.0793,0.0803,0.0176,0.19699008506085863,0.5683958578179712,0.225,3.07593069802326
Poor sleep prevalence,0.0,-0.033,0.0,0.0,0.0,1.7524026529763037,0.35,5.059655584825442
Stroke prevalence,0.023,-0.0115,0.0046,0.0028,0.024642484770660486,0.0247296086575105,0.0323,0.5391371995235615
Teeth loss prevalence,0.055,-0.0462,0.1123,0.0,0.0,2.7296890993175227,0.5802,3.09036402805325
