Health condition,Food,Physical health,Poverty Rate,RSquared,MSE
Health insurance access,-0.0,-0.0,0.3841155111421495,0.2814,0.6396577817165268
Arthritis prevalence,0.1271,0.0,-0.0901632332505183,0.1244,0.8806779330885706
Binge drinking prevalence,-0.0204,0.0,-0.0,-0.0102,0.9885240322280429
High blood pressure prevalence,0.0,-0.0,-0.0,-0.0065,1.0
Medium blood pressure prevalence,0.0,0.0,-0.0,-0.0045,0.9999999999999998
Cancer prevalence,0.2543,0.0361,-0.5389634601336667,0.3516,0.5893474164197621
Asthma prevalence,0.0,0.0,0.762289491998682,0.6379,0.3382010934722732
Cervical cancer screenings,-0.036,0.018,-0.8978407964514823,0.7109,0.19357595637461042
Coronary heart disease prevalence,0.0,-0.0,0.0,-0.0047,1.0
Routine checkups,0.3172,-0.0327,-0.3694527823463473,0.2651,0.7212759238680168
Cholesterol screenings,0.1419,-0.0134,-0.823546232046778,0.7728,0.2613229463659368
Colon cancer screenings,-0.0,0.0,-0.5134279802598397,0.4911,0.48717640829537473
COPD prevalence,0.0,-0.0,0.0,-0.0124,1.0
Core men's health,-0.0,0.0,-0.6186727834076998,0.5513,0.3632346874810263
Core women's health,0.0,0.0,-0.6603515860934118,0.539,0.3977468691117011
Smoking prevalence,-0.0,-0.0,0.2834388318101394,0.2327,0.7287586358856998
Dental checkups,0.0,0.0,-0.5868066881391246,0.5238,0.4030450665958994
Depression prevalence,-0.0,0.0,0.007364954562264396,0.0028,0.9963527862662328
Diabetes prevalence,0.0,-0.0,0.0,-0.0141,1.0
General poor health prevalence,0.0,-0.0,0.0,-0.0244,0.9999999999999998
High cholesterol prevalence,0.0961,0.0,-0.14847259793969264,0.1666,0.8513481755404333
Chronic kidney disease,0.0,-0.0,0.0,-0.0119,1.0
No physical activity,0.0,-0.0,0.2896379868028158,0.2252,0.7357345657135996
Mammograms,-0.0,0.0,-0.17119286947992074,0.095,0.8967200594856791
Poor mental health prevalence,-0.0085,0.0228,0.9004980552842287,0.8331,0.16180393440257643
Obesity prevalence,0.0,-0.0,0.050465454317294815,0.0124,0.9844836078194513
Poor physical health,0.0,-0.0,0.0,-0.0226,1.0
Poor sleep prevalence,-0.0,-0.0,0.37264026324227584,0.2871,0.6384879320933133
Stroke prevalence,0.0,-0.0,0.0,-0.0108,1.0
Teeth loss prevalence,0.0,-0.0,0.7165828796992215,0.66,0.303255220545142
