Health condition,Food,Physical health,Public transport,Education,Houses of worship,Poverty Rate,RSquared,MSE
Health insurance access,0.4745,0.4011,-0.1115,-0.1968,-0.3042717893954052,2.8242915331254546,0.3194,10.850582440209326
Arthritis prevalence,0.0139,-0.1057,0.0984,0.1394,-0.17399165180911713,0.7385948851664975,-0.0033,11.869084116110892
Binge drinking prevalence,-0.4074,-0.4578,-0.3081,0.3088,0.38721578814385615,-1.3383260855195338,0.1257,15.279752042014717
High blood pressure prevalence,0.2804,0.0137,0.1285,0.2095,-0.5145769027737214,2.103531580177698,0.063,26.002038821340886
Medium blood pressure prevalence,0.0,0.2646,0.2555,-0.2675,-0.4297865560546966,0.4576198246950339,-0.0231,40.70010933957249
Cancer prevalence,-0.0418,-0.0385,0.0424,0.0249,0.008664685765069268,-0.13600645199458247,0.0102,1.4684216255208256
Asthma prevalence,0.0,-0.0087,0.0,0.0,0.0,0.5978656719276662,0.3862,0.4536562554904431
Cervical cancer screenings,-0.2777,-0.6249,0.0701,0.4807,0.46559024824526174,-3.551030146845972,0.3546,19.279271221129804
Coronary heart disease prevalence,-0.0334,-0.0695,-0.0519,0.1069,-0.09937739411237399,0.6440663045149284,0.0728,2.2028474314432893
Routine checkups,0.0,0.0,0.1467,-0.0,-0.015077639878674434,-0.0,-0.0119,9.032797487552306
Cholesterol screenings,0.0,0.0,0.0367,0.0,-0.0,-1.4963485728354433,0.3221,4.461301154539516
Colon cancer screenings,-0.772,-0.7503,0.027,0.2335,0.8208054639201334,-4.02601618770469,0.3785,16.644900157550687
COPD prevalence,0.0173,-0.0501,-0.0197,0.0955,-0.13290220687410523,0.8870570154963203,0.2972,1.2209397408120586
Core men's health,-0.436,-0.4439,0.027,0.1982,0.6501677775725107,-3.5284845921618198,0.3979,7.879760704289176
Core women's health,-0.0974,-0.2492,-0.0,0.1487,0.4539476573019963,-2.9747759576244217,0.6698,5.685399443247349
Smoking prevalence,0.008,0.0,0.0,0.0,-0.0,2.105178693103095,0.4782,3.2223245190319267
Dental checkups,-0.9677,-0.7671,0.1566,0.1854,1.110621190710246,-7.122030631306,0.486,29.42158507836904
Depression prevalence,-0.0813,-0.1664,-0.0872,0.0438,0.08359816347736525,0.12231002191431341,0.0755,3.3181719996638996
Diabetes prevalence,0.2198,0.1417,0.0226,0.0322,-0.43368636987698544,1.7152604340776487,0.1856,9.636193711707238
General poor health prevalence,0.2821,0.1206,0.0,-0.0,-0.4622389300157743,4.046089765632726,0.3551,16.86325493745653
High cholesterol prevalence,0.0631,0.0802,0.097,0.0,-0.1913303806237914,0.2598671571795368,-0.01,18.35659779671397
Chronic kidney disease,0.0054,-0.0117,0.0005,0.0302,-0.05904463244701596,0.3609894730656883,0.1567,0.3880670704439247
No physical activity,0.5074,0.3976,0.0,-0.071,-0.5908114716673518,4.3384515230380725,0.3625,20.623829745461755
Mammograms,0.0,-0.1564,0.0449,0.0,0.0,-0.7764321651971602,0.1319,3.850313249793439
Poor mental health prevalence,0.0,-0.0,-0.0,-0.0,0.0,1.6499521628739364,0.64,1.341761253706134
Obesity prevalence,0.0,-0.0,0.0,0.0,0.0,1.3259307058101573,0.1106,6.033160275243459
Poor physical health,0.0,0.0,0.0,0.0,-0.04990217875829599,1.8932689673622178,0.3753,3.5726464217221823
Poor sleep prevalence,0.6571,0.4431,0.1319,-0.0998,-0.5032569019742628,2.3252943781672957,0.4484,4.566743190114655
Stroke prevalence,0.0251,-0.0098,-0.0061,0.058,-0.09988656108738944,0.5109922312273356,0.1661,0.7752637062039452
Teeth loss prevalence,0.0287,0.0,-0.0,-0.0,-0.09362617197814503,3.6571902388355313,0.4574,7.2778810090200485
