ZCTA5,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation,food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,id,Geographic Area Name,Household median income,Margin of error
77577,"1,368",24.1,"(21.0, 27.1)",26.0,"(24.9, 27.2)",17.4,"(16.9, 17.9)",36.1,"(34.8, 37.4)",73.3,"(72.3, 74.5)",6.9,"( 6.6,  7.2)",9.0,"( 8.5,  9.7)",82.3,"(80.4, 84.2)",6.3,"( 5.7,  7.0)",71.9,"(70.9, 72.9)",89.2,"(87.9, 90.4)",60.7,"(57.2, 63.7)",8.1,"( 7.0,  9.5)",24.9,"(20.5, 30.1)",22.5,"(19.2, 26.6)",22.0,"(19.8, 24.1)",55.5,"(52.5, 58.4)",23.6,"(22.3, 24.8)",12.6,"(11.7, 13.6)",22.3,"(19.4, 25.3)",34.5,"(33.6, 35.5)",3.0,"( 2.8,  3.2)",30.9,"(28.8, 33.1)",71.3,"(67.6, 74.3)",15.8,"(14.6, 17.1)",40.3,"(39.0, 41.5)",14.6,"(13.2, 16.1)",37.7,"(36.6, 38.6)",3.5,"( 3.1,  3.9)",13.9,"(10.1, 18.1)",POINT (-95.27892049 29.27982234),224.4,1.3726265,17.843796,369.4,274.8,8600000US77577,ZCTA5 77577,75714,28967
77015,"53,621",42.1,"(40.8, 43.4)",19.5,"(19.3, 19.7)",18.2,"(18.0, 18.5)",32.0,"(31.8, 32.3)",66.6,"(66.3, 66.9)",4.3,"( 4.2,  4.3)",9.1,"( 8.9,  9.3)",80.0,"(79.3, 80.8)",5.5,"( 5.4,  5.6)",69.0,"(68.7, 69.4)",84.2,"(83.6, 84.8)",49.3,"(48.4, 50.3)",6.6,"( 6.4,  6.8)",21.0,"(19.9, 22.2)",19.1,"(18.1, 20.1)",20.8,"(20.1, 21.4)",50.3,"(49.2, 51.4)",18.3,"(18.0, 18.6)",13.1,"(12.9, 13.4)",29.4,"(28.4, 30.4)",33.3,"(33.1, 33.6)",3.2,"( 3.1,  3.2)",33.3,"(32.5, 34.0)",74.9,"(74.0, 75.7)",16.8,"(16.4, 17.2)",38.1,"(37.7, 38.4)",15.6,"(15.2, 16.0)",40.3,"(39.9, 40.6)",3.4,"( 3.3,  3.5)",20.0,"(18.5, 21.6)",POINT (-95.17336152 29.76434703),800.45,0.32789160500000003,9.772293,65.45,53.85,8600000US77015,ZCTA5 77015,50118,2879
77541,"17,412",35.5,"(33.6, 37.6)",24.1,"(23.8, 24.5)",15.8,"(15.5, 16.1)",37.0,"(36.5, 37.5)",73.5,"(73.1, 74.0)",5.8,"( 5.7,  5.9)",9.2,"( 8.9,  9.4)",79.2,"(78.2, 80.1)",6.8,"( 6.6,  7.1)",70.4,"(69.9, 70.9)",86.3,"(85.4, 87.1)",54.1,"(52.8, 55.5)",8.2,"( 7.8,  8.6)",21.9,"(20.2, 23.8)",19.0,"(17.4, 20.6)",23.2,"(22.3, 24.3)",45.8,"(44.2, 47.4)",22.0,"(21.5, 22.5)",15.3,"(14.9, 15.6)",28.8,"(27.3, 30.3)",34.2,"(33.8, 34.5)",3.5,"( 3.4,  3.6)",38.4,"(37.1, 39.6)",72.0,"(70.6, 73.5)",17.2,"(16.7, 17.8)",44.4,"(43.9, 44.8)",16.6,"(16.0, 17.2)",39.9,"(39.3, 40.4)",3.9,"( 3.8,  4.1)",19.2,"(17.1, 21.4)",POINT (-95.2772244 29.04696587),224.4,1.3726265,17.843796,369.4,274.8,8600000US77541,ZCTA5 77541,50180,7066
77047,"21,077",28.4,"(26.3, 30.6)",20.8,"(20.3, 21.3)",17.6,"(17.2, 17.9)",37.0,"(36.3, 37.7)",70.9,"(70.3, 71.5)",4.6,"( 4.4,  4.7)",9.8,"( 9.5, 10.2)",84.5,"(83.0, 85.6)",4.9,"( 4.6,  5.2)",75.8,"(75.3, 76.2)",89.1,"(88.3, 89.8)",57.3,"(54.8, 59.5)",5.6,"( 5.1,  6.1)",20.9,"(17.7, 24.2)",19.0,"(16.0, 22.6)",18.4,"(16.9, 19.9)",55.4,"(53.2, 57.8)",16.1,"(15.6, 16.6)",13.4,"(12.8, 13.9)",22.6,"(21.0, 24.3)",31.4,"(31.0, 31.9)",3.3,"( 3.2,  3.5)",27.7,"(26.1, 29.2)",79.0,"(77.1, 80.8)",14.9,"(14.2, 15.7)",39.3,"(38.5, 40.0)",12.7,"(12.1, 13.5)",43.6,"(42.7, 44.4)",4.0,"( 3.7,  4.3)",18.9,"(13.9, 24.3)",POINT (-95.3865954 29.6084493),533.2,0.5144564,2.274179,82.4,89.9,8600000US77047,ZCTA5 77047,65105,7295
77430,"2,283",22.0,"(19.5, 24.7)",25.5,"(24.6, 26.4)",17.1,"(16.7, 17.5)",36.3,"(35.3, 37.3)",75.0,"(74.1, 75.9)",7.2,"( 7.0,  7.5)",8.7,"( 8.3,  9.1)",82.7,"(81.0, 84.0)",6.2,"( 5.8,  6.7)",73.4,"(72.6, 74.1)",90.3,"(89.4, 91.2)",58.7,"(55.8, 61.2)",7.7,"( 6.8,  8.6)",25.2,"(22.0, 29.1)",22.7,"(20.1, 25.6)",19.5,"(17.4, 21.5)",56.7,"(53.9, 59.3)",21.7,"(20.8, 22.6)",12.3,"(11.6, 12.9)",20.6,"(18.5, 22.7)",37.4,"(36.6, 38.1)",2.9,"( 2.8,  3.1)",28.9,"(26.9, 30.8)",71.6,"(68.6, 74.2)",14.5,"(13.5, 15.5)",37.5,"(36.5, 38.5)",13.8,"(12.7, 14.9)",36.5,"(35.6, 37.4)",3.4,"( 3.2,  3.7)",14.2,"(11.2, 17.9)",POINT (-95.65368895 29.26718381),272.9,2.3404326,8.416689,193.2,19.8,8600000US77430,ZCTA5 77430,81188,22751
77088,"49,660",37.6,"(36.2, 38.8)",23.3,"(23.0, 23.6)",16.0,"(15.8, 16.2)",39.6,"(39.2, 39.9)",72.3,"(71.9, 72.5)",4.7,"( 4.7,  4.8)",10.2,"(10.0, 10.4)",80.8,"(80.2, 81.4)",6.4,"( 6.3,  6.6)",73.7,"(73.4, 74.1)",87.0,"(86.5, 87.5)",50.4,"(49.5, 51.4)",7.8,"( 7.5,  8.1)",19.3,"(18.3, 20.4)",17.5,"(16.5, 18.5)",22.5,"(21.7, 23.1)",49.0,"(48.0, 50.0)",17.3,"(17.0, 17.7)",16.5,"(16.2, 16.9)",31.0,"(29.9, 32.1)",34.9,"(34.7, 35.2)",3.9,"( 3.8,  4.0)",34.8,"(34.0, 35.5)",77.4,"(76.5, 78.2)",17.1,"(16.6, 17.5)",41.1,"(40.8, 41.5)",16.8,"(16.4, 17.3)",43.4,"(43.1, 43.8)",4.8,"( 4.6,  5.0)",23.4,"(21.6, 25.4)",POINT (-95.45356169 29.88180657),330.9,0.581515,1.9429764,54.8,93.8,8600000US77088,ZCTA5 77088,45445,4020
77484,"11,068",26.3,"(24.5, 28.0)",24.4,"(23.8, 24.9)",18.5,"(18.2, 18.9)",34.9,"(34.2, 35.5)",73.2,"(72.7, 73.7)",6.4,"( 6.3,  6.6)",9.0,"( 8.8,  9.3)",82.0,"(80.9, 83.0)",6.4,"( 6.1,  6.7)",72.1,"(71.6, 72.7)",88.3,"(87.6, 89.0)",57.7,"(55.9, 59.5)",7.8,"( 7.2,  8.4)",23.9,"(21.5, 26.6)",21.5,"(19.3, 23.6)",20.1,"(19.0, 21.3)",55.1,"(53.5, 56.8)",21.3,"(20.7, 22.0)",12.2,"(11.7, 12.6)",22.8,"(21.5, 24.4)",35.9,"(35.5, 36.3)",3.1,"( 3.0,  3.2)",29.9,"(28.8, 31.1)",73.6,"(71.7, 75.4)",15.6,"(14.9, 16.3)",36.9,"(36.1, 37.6)",14.3,"(13.7, 15.1)",36.9,"(36.3, 37.6)",3.6,"( 3.4,  3.8)",16.5,"(14.1, 19.3)",POINT (-95.93114451 30.07634339),716.75,0.000294254,9.019368,114.6,404.1,8600000US77484,ZCTA5 77484,75886,6117
77087,"36,399",49.2,"(47.3, 51.2)",20.3,"(20.0, 20.6)",16.7,"(16.5, 17.0)",34.4,"(34.0, 34.8)",68.8,"(68.4, 69.2)",4.2,"( 4.2,  4.3)",9.1,"( 8.9,  9.4)",77.5,"(76.5, 78.6)",6.6,"( 6.4,  6.7)",68.7,"(68.3, 69.2)",83.2,"(82.4, 84.1)",44.3,"(43.1, 45.7)",7.0,"( 6.7,  7.3)",17.0,"(15.8, 18.2)",15.6,"(14.6, 16.8)",21.0,"(20.1, 21.9)",43.7,"(42.2, 45.2)",17.7,"(17.3, 18.1)",16.3,"(16.0, 16.7)",35.1,"(33.6, 36.5)",34.9,"(34.5, 35.2)",3.9,"( 3.8,  4.0)",37.8,"(36.7, 38.9)",75.2,"(74.1, 76.4)",17.2,"(16.6, 17.7)",40.4,"(39.9, 40.8)",17.7,"(17.1, 18.3)",40.9,"(40.4, 41.4)",4.0,"( 3.9,  4.2)",25.1,"(23.1, 27.2)",POINT (-95.30343992 29.68607999),135.1,0.46830244499999996,2.34717485,49.85,40.65,8600000US77087,ZCTA5 77087,45763,4645
77380,"23,136",17.4,"(16.0, 18.9)",21.5,"(21.0, 22.1)",18.8,"(18.5, 19.0)",29.4,"(28.8, 30.0)",73.7,"(73.1, 74.2)",6.1,"( 6.0,  6.3)",8.1,"( 7.9,  8.4)",83.5,"(82.4, 84.4)",4.6,"( 4.4,  4.8)",72.4,"(71.9, 72.8)",89.6,"(88.8, 90.2)",64.5,"(62.8, 66.1)",5.4,"( 5.0,  5.9)",29.8,"(27.3, 32.4)",26.9,"(24.4, 29.2)",13.8,"(12.9, 14.9)",66.2,"(64.7, 67.7)",21.1,"(20.5, 21.7)",9.0,"( 8.6,  9.3)",15.4,"(14.4, 16.6)",33.5,"(33.1, 33.9)",2.4,"( 2.3,  2.4)",23.1,"(22.2, 24.2)",76.1,"(74.4, 77.7)",13.3,"(12.7, 14.0)",33.7,"(33.0, 34.4)",10.4,"( 9.9, 11.1)",33.7,"(33.0, 34.3)",2.5,"( 2.4,  2.7)",9.3,"( 7.3, 11.7)",POINT (-95.46865244 30.13643022),229.2,0.84897846,2.9685237,330.0,142.0,8600000US77380,ZCTA5 77380,73013,5360
77583,"28,531",28.1,"(26.2, 30.2)",17.5,"(17.0, 17.9)",19.2,"(18.9, 19.6)",32.6,"(31.9, 33.2)",67.6,"(67.2, 68.1)",4.4,"( 4.3,  4.5)",7.6,"( 7.4,  7.9)",84.9,"(84.3, 85.4)",4.3,"( 4.1,  4.5)",70.6,"(70.1, 71.1)",89.0,"(88.3, 89.7)",58.0,"(55.8, 59.9)",4.8,"( 4.4,  5.2)",24.4,"(22.3, 26.7)",23.3,"(22.1, 24.6)",18.7,"(17.3, 20.0)",55.5,"(53.5, 57.4)",17.1,"(16.6, 17.6)",11.5,"(11.0, 11.9)",19.9,"(18.4, 21.4)",30.7,"(30.4, 31.0)",2.4,"( 2.3,  2.5)",29.1,"(27.8, 30.5)",75.2,"(74.1, 76.2)",13.0,"(12.4, 13.5)",40.2,"(39.5, 40.9)",11.2,"(10.6, 11.8)",39.9,"(39.2, 40.5)",2.7,"( 2.5,  2.9)",12.3,"(10.4, 14.3)",POINT (-95.46221095 29.38129816),184.9,1.1236408,5.1038103,101.8,150.0,8600000US77583,ZCTA5 77583,89406,16358
