Health condition,Food,Physical health,Public transport,Education,Houses of worship,Household Median Income,RSquared,MSE
Health insurance access,0.0762,0.2398,0.0,0.133,-0.2515583299569859,-0.8887016243066167,0.7561,0.1755034056448414
Arthritis prevalence,0.0,0.0,0.0,0.0,0.0,-7.77389544002732e-17,-0.2712,1.032480699966558
Binge drinking prevalence,-0.1375,-0.2133,-0.0,-0.0572,0.0,0.5484072093633293,0.275,0.5023194973359865
High blood pressure prevalence,0.1447,0.1071,0.0,0.0,-0.0,-0.607128094611529,-0.1171,0.5884348815600464
Medium blood pressure prevalence,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1773,1.0372236894428657
Cancer prevalence,0.0,0.0,0.0,0.0824,0.0,0.03945885491276064,-0.0292,0.9154253193602068
Asthma prevalence,0.007,0.0,0.0,-0.0,-0.0,-0.8138644679872232,0.6277,0.25069902510760717
Cervical cancer screenings,-0.0,-0.0,0.211,-0.129,0.014445147016849838,0.3181969207831218,0.0247,0.8432994387158733
Coronary heart disease prevalence,0.0,0.0,0.0,-0.0,-0.0,-0.2844999592120758,-0.4971,0.8508062818467645
Routine checkups,0.1663,0.1205,0.1527,-0.0,0.0,-0.3352791791846315,0.0953,0.6006743541482006
Cholesterol screenings,0.0276,0.0,0.1498,0.009,0.036921604302378036,0.2955601423861375,0.0881,0.7453749572264327
Colon cancer screenings,-0.0,-0.0,0.0,0.0,0.07967533815257118,0.6648474580516779,0.3336,0.42531086169473936
COPD prevalence,0.0,0.0,0.0,0.0,-0.0,-0.5215551522495939,-0.2088,0.6136355988140683
Core men's health,-0.0,-0.0,0.0,0.0756,0.021590488284776787,0.7392177865277864,0.6085,0.25543092284438274
Core women's health,0.0,0.0,0.0,0.0938,0.01951244644785197,0.7237984306567186,0.5515,0.2765182471182101
Smoking prevalence,0.1122,0.1827,0.0402,0.0,-0.161843135891013,-0.8247329196290114,0.5857,0.23734182808003174
Dental checkups,-0.1325,-0.1518,-0.0,-0.0,0.15365726135127608,0.8658535688857769,0.7301,0.16365855516504815
Depression prevalence,-0.3302,0.0,-0.0,-0.0,-0.057880638515029934,-0.12688029762634334,-0.2227,0.8322145204765156
Diabetes prevalence,0.1572,0.0,0.0,0.0,-0.0,-0.6667566028549221,-0.2104,0.5475300861494297
General poor health prevalence,0.1268,0.0238,0.0,-0.0,-0.0010902959622490604,-0.8221866922495374,0.3268,0.33003389645538733
High cholesterol prevalence,0.0,0.0,0.0,0.102,0.0,0.0,-0.0645,0.929850337213011
Chronic kidney disease,0.0,0.0,0.0,-0.0,-0.0,-0.5087452200129168,-0.3755,0.6308008073053203
No physical activity,0.1356,0.1644,0.0,0.0571,-0.13413904686690425,-0.8418175238413048,0.5664,0.2601663372407547
Mammograms,-0.0,-0.0,-0.0,-0.204,-0.0,-0.19104862187267324,0.3681,0.6630083743478127
Poor mental health prevalence,0.0,0.0,-0.0,-0.0,-0.04420768004936413,-0.7599877734112984,0.5148,0.28024886448985126
Obesity prevalence,0.1414,0.0988,0.1734,-0.0309,-0.1617559212689931,-0.7191366698776317,0.2947,0.34393043081816355
Poor physical health,0.0819,0.0355,0.0,0.0,-0.0,-0.7460189691100026,0.2117,0.41366241525958924
Poor sleep prevalence,0.2038,0.0,0.2391,-0.0,-0.18870953849915925,-0.7694511206131335,0.6161,0.22690367589571409
Stroke prevalence,0.044,0.0,0.0,-0.0,-0.0,-0.6365732841959723,-0.4319,0.5697466994077243
Teeth loss prevalence,0.0495,0.0,0.0,-0.0,-0.1819189354485819,-0.7433878519683711,0.618,0.268075205341057
