Health condition,Food,Physical health,Household Median Income,RSquared,MSE
Health insurance access,-0.0,0.0,-0.7600708643583514,0.7933,0.22905685345538734
Arthritis prevalence,0.3222,-0.0,-0.3951913683316541,-1.0944,0.8868530131046981
Binge drinking prevalence,-0.0,-0.0,0.5340861143820976,0.3638,0.5742726354729859
High blood pressure prevalence,0.0099,0.0,-0.45628505684539,0.385,0.6602606164751808
Medium blood pressure prevalence,0.171,-0.0,-0.0,-0.5082,0.9525532185513746
Cancer prevalence,0.3833,-0.0,0.1849522455560729,-0.1903,0.774282115522345
Asthma prevalence,-0.0,0.0,-0.7277602168100644,0.7975,0.22830395894803013
Cervical cancer screenings,0.0519,-0.0,0.5760049114519193,0.519,0.5023182963527122
Coronary heart disease prevalence,0.2409,-0.0,-0.5836433365325465,-0.106,0.6931827591276888
Routine checkups,0.0,-0.0,-0.0,-0.0877,1.0051485011196615
Cholesterol screenings,0.1095,-0.0,0.3555871774185896,0.3075,0.7134491813024937
Colon cancer screenings,0.0,-0.0,0.7623486482813184,0.7994,0.25535558061831587
COPD prevalence,0.1544,0.0,-0.7527587858150279,0.3761,0.47836904195018665
Core men's health,0.0,-0.0,0.7656572699937707,0.8354,0.17877408314862483
Core women's health,0.0,-0.0,0.762296243462315,0.8279,0.1554409085690958
Smoking prevalence,0.0,0.0699,-0.7951740754011084,0.6944,0.2962784961300001
Dental checkups,0.0,-0.0,0.7947793717172428,0.8119,0.19115586187877942
Depression prevalence,-0.0,0.2039,-0.3542866392779417,0.1174,0.8164079787424332
Diabetes prevalence,0.0,-0.0,-0.5010890639361335,0.5274,0.5610587131318295
General poor health prevalence,0.0,0.0,-0.7218090444715196,0.7864,0.288844295964205
High cholesterol prevalence,0.2599,0.0,-0.0,-0.4463,0.9460405781072769
Chronic kidney disease,0.0,-0.0,-0.5078138892918649,0.5489,0.545803532842399
No physical activity,0.0,0.0,-0.7663982563578721,0.8086,0.22765002223018077
Mammograms,-0.0209,-0.0,-0.0,-0.0382,0.9962470919426439
Poor mental health prevalence,-0.0,0.0,-0.7259335759931025,0.7472,0.2887963464030948
Obesity prevalence,-0.0,0.0,-0.6318208856800613,0.6798,0.382245918087727
Poor physical health,0.0,0.0,-0.7000759868653665,0.7302,0.34515113482568915
Poor sleep prevalence,-0.0,-0.0,-0.7365809733302013,0.8051,0.23136470426574623
Stroke prevalence,0.0,-0.0,-0.5162501800719498,0.5541,0.549634480256701
Teeth loss prevalence,-0.0,0.0,-0.7608193353383195,0.7987,0.211537937514711
