Health condition,Food,Physical health,Public transport,Education,Houses of worship,Household Median Income,RSquared,MSE
Health insurance access,-0.0,0.0,-0.0466,-0.0,-0.0,-0.7179303840874682,0.7658,0.2361078909346353
Arthritis prevalence,0.1433,0.0,-0.0192,-0.0,-0.0,-0.190323261430918,-0.507,0.8959289505818313
Binge drinking prevalence,-0.0,-0.0,0.0,0.0,0.0,0.4845637268157725,0.3678,0.5900978373008173
High blood pressure prevalence,0.0,0.0,-0.0,-0.0,-0.0,-0.37749029505281506,0.3589,0.6919125387768282
Medium blood pressure prevalence,0.1003,0.0,-0.0,-0.0,-0.0,-0.0,-0.422,0.9694317932265295
Cancer prevalence,0.3089,-0.0,-0.0,-0.0,-0.0,0.10027838481554582,-0.2381,0.8186083520948515
Asthma prevalence,-0.0,0.0,-0.0,0.0,-0.0,-0.7065395876909077,0.7882,0.23581438726917092
Cervical cancer screenings,0.0248,-0.0,-0.0,-0.0,-0.0,0.5451150952019365,0.5121,0.51654215692546
Coronary heart disease prevalence,0.0667,0.0,-0.0056,-0.0,-0.0,-0.3851040988858264,0.1974,0.7337049001971377
Routine checkups,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0877,1.0051485011196617
Cholesterol screenings,0.0815,-0.0,-0.0,-0.0,-0.0,0.32371439842411187,0.2952,0.7296124461425952
Colon cancer screenings,0.0,-0.0,0.0301,0.0,0.0,0.734504618397043,0.7864,0.2586384669143956
COPD prevalence,0.0597,0.0,-0.1163,-0.0,-0.0,-0.636646492236226,0.4502,0.47086357632164305
Core men's health,0.0,0.0,0.0,0.0,0.018748552315717138,0.7538335999000783,0.8346,0.17757001849525367
Core women's health,0.0,-0.0,0.0,0.0,0.0328487483846347,0.7260326923302346,0.8222,0.15705690023597701
Smoking prevalence,0.0,0.0,-0.0616,0.0,0.0,-0.6991223115833539,0.6407,0.31954663357120355
Dental checkups,0.0,-0.0,0.0,0.0,0.0,0.7488666379552247,0.7962,0.20350306615884267
Depression prevalence,-0.0,0.1168,-0.0,0.0,0.10713469696213142,-0.2749217195638689,0.2054,0.7892493708688575
Diabetes prevalence,0.0,-0.0,-0.0,-0.0,-0.0,-0.45462628169697766,0.5048,0.5807315775794719
General poor health prevalence,0.0,0.0,-0.0777,-0.0,-0.0,-0.7150867768619221,0.746,0.28498269453318636
High cholesterol prevalence,0.1944,0.0,-0.0,-0.0,-0.0,-0.0,-0.3596,0.9489661411914683
Chronic kidney disease,0.0,-0.0,-0.0,-0.0,-0.0,-0.4607275570321891,0.5251,0.5662791282724162
No physical activity,0.0,0.0,-0.078,-0.0,-0.0,-0.776141093995089,0.7776,0.22026163135429153
Mammograms,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0188,1.0017673254913566
Poor mental health prevalence,-0.0,0.0,-0.0,0.0,0.0,-0.636309516159913,0.7125,0.3196463145983524
Obesity prevalence,0.0,0.0,-0.0154,-0.0,-0.0,-0.6432850461942559,0.6725,0.3775316253467461
Poor physical health,0.0,0.0,-0.1017,-0.0,-0.0,-0.7105900275595904,0.6835,0.33114146626712815
Poor sleep prevalence,-0.0,0.0,-0.0,-0.0,-0.0,-0.6974160737475418,0.7873,0.24492250762156278
Stroke prevalence,0.0,-0.0,-0.0,-0.0,-0.0,-0.4727746061107655,0.5333,0.5670861535535601
Teeth loss prevalence,-0.0,0.0,-0.0,-0.0,-0.0,-0.7133107100069396,0.7772,0.22688542481754922
