Health condition,Food,Physical health,Household Median Income,RSquared,MSE
Health insurance access,0.2099,-0.1304,-0.9672144182105687,-0.8307,0.9183247937267872
Arthritis prevalence,0.0,0.0,0.0,-0.0505,1.006900385293872
Binge drinking prevalence,-0.2886,0.0,0.040699115522973395,0.2986,0.7276898471030018
High blood pressure prevalence,0.0,-0.0,-0.0,-0.1311,1.0154593306305728
Medium blood pressure prevalence,0.0,0.0,0.0,-0.0617,1.0065870209149326
Cancer prevalence,0.2675,0.1776,0.6665151435349852,-0.4402,0.9355235417209297
Asthma prevalence,0.5521,0.1065,-0.7922803923821161,-1.4161,1.1573157048481766
Cervical cancer screenings,-0.0688,0.0947,1.2653020509535367,-3.2733,1.347413181109489
Coronary heart disease prevalence,0.0,-0.0,-0.0,-0.1215,1.0165977308086367
Routine checkups,0.177,0.0,0.1859594620967179,-0.0457,0.933452251621471
Cholesterol screenings,0.0,0.0,0.6881659910250804,-1.9654,0.9716699609812667
Colon cancer screenings,-0.0,0.0,0.7618111381092793,-1.4183,1.0601343985598382
COPD prevalence,0.1622,-0.0,-0.301219592962501,-0.1175,0.8692360862590414
Core men's health,-0.0,0.0,0.7601454254478923,-0.9779,0.8649764210106109
Core women's health,-0.0,-0.0,0.8155562677776157,-0.8328,0.848757488303253
Smoking prevalence,0.1185,-0.0,-0.8340221831094482,-1.6165,1.281217928563688
Dental checkups,-0.0137,0.0,1.0072447185798845,-2.289,1.2511957411356
Depression prevalence,0.0,0.0,0.0,-0.0678,1.0078843816198895
Diabetes prevalence,0.0,-0.0,-7.675421174690603e-17,-0.1544,1.0188991507692688
General poor health prevalence,0.014,-0.0,-0.5712064354379172,-0.538,0.9495824280605067
High cholesterol prevalence,0.0,0.0,0.0,-0.074,1.0094958627074169
Chronic kidney disease,0.0,-0.0,-0.0,-0.0998,1.0133136006928174
No physical activity,0.0839,-0.0,-0.7017880485724826,-0.5978,0.9157224502378866
Mammograms,-0.3237,0.0,0.5590006633516169,0.1628,0.704026488193647
Poor mental health prevalence,0.2088,0.0666,-1.2234607156785968,-5.5172,1.7613556958159453
Obesity prevalence,0.0,0.0,-0.0,-0.1932,1.0214386728242422
Poor physical health,0.1552,-0.0,-0.5163950916101419,-0.408,0.9145003940312494
Poor sleep prevalence,0.0,-0.0,-0.7869178502811666,-1.3265,1.0775715146937148
Stroke prevalence,0.0,-0.0,-0.03941836232065913,-0.1144,0.9944000049901042
Teeth loss prevalence,0.0327,-0.0,-0.7931677822774337,-1.0829,0.9649397927321048
