Health condition,Food,Physical health,Public transport,Education,Houses of worship,Household Median Income,RSquared,MSE
Health insurance access,0.0973,-0.2726,0.1687,-0.0,0.13512894577776657,-0.837556363154652,-0.448,0.7158262544018971
Arthritis prevalence,0.0,0.0,0.0,0.0,0.0,0.0,-0.0505,1.006900385293872
Binge drinking prevalence,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.103,1.014996773182562
High blood pressure prevalence,0.0,-0.0,0.0,0.0,0.07706234024967494,-0.0,-0.0492,0.9430498286604573
Medium blood pressure prevalence,0.0,0.0,0.0,0.0,0.0,0.0,-0.0617,1.0065870209149326
Cancer prevalence,0.0,0.0,0.0,0.0,-0.0,0.2688203306500898,-0.15,0.9578291644748198
Asthma prevalence,0.3891,0.003,0.0,-0.0671,-0.018156012678697694,-0.6142864854885604,-0.6315,0.9074372004025462
Cervical cancer screenings,-0.0,0.0,-0.0,0.0,-0.0,1.015988180886833,-2.1775,1.08174241081645
Coronary heart disease prevalence,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.1215,1.0165977308086367
Routine checkups,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0000000280126116
Cholesterol screenings,0.0,0.0,0.0,0.0162,0.0,0.7459667276835213,-2.3562,1.0093738423442333
Colon cancer screenings,-0.0,0.2187,-0.2102,-0.0,-0.4293026108075955,0.6363270793939143,-0.3628,0.5106664661568966
COPD prevalence,0.0,-0.0,0.0,0.0,0.0,-3.0701684698762413e-16,-0.1954,1.0290783461741095
Core men's health,-0.0,0.3346,-0.2578,-0.0,-0.3969832708258703,0.6753784323392766,-0.1018,0.397558739346191
Core women's health,-0.0,0.0,-0.0641,-0.0,-0.29982586995037735,0.6617305728144053,-0.1403,0.5203098768129305
Smoking prevalence,0.0,-0.0,0.0159,0.0,0.11409986976598645,-0.6170115667443142,-0.974,1.0219275345609289
Dental checkups,-0.0214,0.1669,-0.145,-0.0,-0.19059228860070437,0.954732136127432,-1.601,0.951287507894172
Depression prevalence,0.3377,0.6316,-0.3771,-0.0,-0.5293841773969102,-0.1616179100023394,-0.6982,0.8689720467841104
Diabetes prevalence,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.1544,1.018899150769269
General poor health prevalence,0.0639,-0.2233,0.2006,0.0,0.21723848074777197,-0.5758101161606661,-0.1007,0.6267669091125615
High cholesterol prevalence,0.0,0.0,0.0,0.0,0.0,0.0,-0.074,1.0094958627074169
Chronic kidney disease,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0998,1.0133136006928174
No physical activity,0.0898,-0.2411,0.214,0.0,0.16636740835134653,-0.6943230939286358,-0.2406,0.6605191178966071
Mammograms,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0611,1.009299235247323
Poor mental health prevalence,0.0735,0.0,-0.0,-0.0319,-0.0,-1.0624973622995653,-4.094,1.4550944777959363
Obesity prevalence,0.0,-0.0,0.0,0.0,0.31524532437203007,-0.0,0.0977,0.7004588977920573
Poor physical health,0.0421,-0.0,0.041,0.0,0.09956445526450294,-0.3524577777438437,-0.2159,0.8351244937527179
Poor sleep prevalence,0.0,-0.2226,0.2196,0.0,0.29385594974093715,-0.71860987779502,-0.5938,0.6538616746992615
Stroke prevalence,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.1378,1.0163403778517845
Teeth loss prevalence,0.0361,-0.193,0.2053,0.0,0.1925331431522024,-0.7721490762604106,-0.6678,0.7060037924223309
