Health condition,Food,Physical health,Public transport,Education,Houses of worship,Household Median Income,RSquared,MSE
Health insurance access,0.2746,-0.0,-0.0,0.0,0.05503455155523924,-0.6844961835512913,0.4779,0.31645740438998393
Arthritis prevalence,-0.0,0.0,-0.0,-0.413,-0.06064214054742516,-0.0,-0.0522,0.6323498642366305
Binge drinking prevalence,0.0,-0.1132,-0.1423,0.2882,0.10718845878649463,0.5853107460347254,0.1568,0.48302938635826476
High blood pressure prevalence,-0.0,0.0,-0.0,-0.2525,-0.0,-0.1845732355579172,0.1007,0.6259538710028301
Medium blood pressure prevalence,-0.0,0.0,0.0,-0.4741,-0.10906221998660891,-0.0,0.0734,0.4416965786714101
Cancer prevalence,-0.0022,0.0,0.0,-0.3852,-0.35652208480455244,0.053759701988760025,0.1572,0.422450041217273
Asthma prevalence,0.0452,-0.0,-0.0,0.0,0.0,-0.0,-0.0186,0.9492206778634658
Cervical cancer screenings,-0.0121,-0.0,-0.0,-0.0,-0.0,0.8087273849013407,0.5371,0.31299252800720434
Coronary heart disease prevalence,-0.0,0.0,-0.0,-0.2386,-0.18625257571852688,-0.39430294900523394,0.2734,0.4716087759278502
Routine checkups,-0.0,0.0,0.0,-0.3398,-0.18176749780634238,-0.0,0.1545,0.4917786910088998
Cholesterol screenings,-0.2813,0.3673,-0.1086,0.007,-0.6104951610427031,0.5812863186653711,-0.2204,0.21678498959540476
Colon cancer screenings,-0.291,-0.0,0.0,-0.0,-0.0,0.77605602217825,0.5342,0.24996253313177655
COPD prevalence,0.0,0.0,-0.0,-0.043,-0.0,-0.5408365862797561,0.356,0.44946200720975815
Core men's health,-0.1289,-0.0,0.0,-0.0,-0.08004428256439576,0.6574505363595203,0.5855,0.2976483551541226
Core women's health,-0.0685,-0.0,0.0,0.0,-0.0,0.5917311933446464,0.7147,0.3092017047153296
Smoking prevalence,0.333,-0.0,-0.0798,0.0148,0.23946666094345156,-0.6703798258701771,0.5551,0.18417272437765944
Dental checkups,-0.2044,0.0,0.0,-0.0,-0.1324086439915341,0.8274520876741344,0.6211,0.18667446087512612
Depression prevalence,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0927,1.0064362574082635
Diabetes prevalence,-0.0,0.0,-0.0,-0.1701,-0.04035973310718707,-0.4072976110553503,0.326,0.4770063983221767
General poor health prevalence,0.1054,0.0,-0.0,-0.0,0.0,-0.7198488449831307,0.5441,0.2954482622252152
High cholesterol prevalence,-0.0,0.0,-0.0,-0.2195,-0.0,-0.0,-0.1154,0.7825655276454788
Chronic kidney disease,-0.0,0.0,-0.0,-0.2644,-0.03544747800648406,-0.40630082526303357,0.3363,0.43583405990228885
No physical activity,0.13,0.0,0.0,-0.0,0.0,-0.7625137013687693,0.5947,0.2569872723122362
Mammograms,0.0588,-0.0,0.0059,0.0422,0.019430386877137575,0.5440258593504602,0.5931,0.4129521493025133
Poor mental health prevalence,0.482,-0.4196,0.0111,-0.2211,0.501633053022829,-0.45879841011659794,-0.3138,0.2779583786737119
Obesity prevalence,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0793,1.0101923507601958
Poor physical health,0.0248,0.0,-0.0,-0.0,0.0,-0.6417267986372507,0.5304,0.337739982421039
Poor sleep prevalence,0.2296,0.0,0.0,0.0437,0.12577948368676967,-0.7524615572608476,0.4076,0.29320242609086883
Stroke prevalence,-0.0,0.0,-0.0,-0.2176,-0.04404764636609021,-0.3775092502877659,0.2311,0.5005824102941634
Teeth loss prevalence,0.1813,-0.0,-0.0766,-0.0,0.10276878365541167,-0.6190074673872378,0.499,0.31778160883981554
