Health condition,Food,Physical health,Public transport,Education,Houses of worship,Poverty Rate,RSquared,MSE
Health insurance access,-0.0,-0.0,0.0,-0.0,0.0,0.3841155111421495,0.2814,0.6396577817165268
Arthritis prevalence,0.1271,0.0,0.0,0.0,0.0,-0.0901632332505183,0.1244,0.8806779330885706
Binge drinking prevalence,-0.0387,0.0,-0.0,-0.0,-0.0,-0.0,-0.0016,0.9789483852147666
High blood pressure prevalence,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0065,1.0
Medium blood pressure prevalence,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0045,0.9999999999999998
Cancer prevalence,0.1992,0.0177,-0.0002,-0.0,0.09956779552478523,-0.5389767847503683,0.3102,0.5791284377031627
Asthma prevalence,0.0,0.0,0.0,0.0,0.0,0.7289494809223644,0.6261,0.34284279626706265
Cervical cancer screenings,-0.011,0.0,-0.0,0.0,0.0,-0.8775371016150014,0.7158,0.1949936461254767
Coronary heart disease prevalence,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0047,1.0
Routine checkups,0.2776,-0.013,0.0143,0.0,0.04503083710802108,-0.35387850644225344,0.2335,0.7187926430304882
Cholesterol screenings,0.1054,-0.0,0.0031,-0.0,0.03977973389453947,-0.806827755130864,0.7605,0.25977849117606844
Colon cancer screenings,-0.0,0.0,-0.0,0.0,-0.0,-0.5134279802598397,0.4911,0.48717640829537473
COPD prevalence,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0124,1.0
Core men's health,-0.0,0.0,-0.0,-0.0,-0.0,-0.6186727834076998,0.5513,0.3632346874810263
Core women's health,0.0,0.0,-0.0,-0.0,-0.0,-0.6198405531498882,0.5255,0.4095833159749197
Smoking prevalence,-0.0,-0.0,0.0,0.0,0.0,0.2834388318101394,0.2327,0.7287586358856998
Dental checkups,0.0,0.0,-0.0,-0.0,-0.0,-0.5868066881391246,0.5238,0.4030450665958994
Depression prevalence,-0.0,0.0,-0.0,0.0,-0.0,0.007364954562264396,0.0028,0.9963527862662328
Diabetes prevalence,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0141,1.0
General poor health prevalence,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0244,0.9999999999999998
High cholesterol prevalence,0.0817,0.0,0.0,0.0,0.0,-0.1340646524878864,0.1517,0.865127679423184
Chronic kidney disease,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0119,1.0
No physical activity,0.0,-0.0,0.0,0.0,0.0,0.2896379868028158,0.2252,0.7357345657135996
Mammograms,-0.0,0.0,-0.0,0.0,-0.0,-0.17119286947992074,0.095,0.8967200594856791
Poor mental health prevalence,-0.0,0.0,0.0,0.0,-0.0,0.8607051944904404,0.8199,0.1661862733803907
Obesity prevalence,0.0,-0.0,0.0,0.0,0.05091572338389349,0.030309673269938622,0.0317,0.972685893859694
Poor physical health,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0226,1.0
Poor sleep prevalence,-0.0,-0.0,0.0,0.0,0.0,0.37264026324227584,0.2871,0.6384879320933133
Stroke prevalence,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0108,1.0
Teeth loss prevalence,0.0,-0.0,0.0,0.0,0.0,0.7165828796992215,0.66,0.303255220545142
