Health condition,Food,Physical health,Public transport,Education,Houses of worship,Poverty Rate,RSquared,MSE
Health insurance access,0.0233,0.0533,-0.0,-0.003,-0.008893007541700209,0.622116087961417,0.3219,0.5428954344201496
Arthritis prevalence,0.0,-0.0,0.0,0.0,-0.0,0.13757584726113237,-0.0099,0.9309352999092477
Binge drinking prevalence,-0.048,-0.0956,-0.0435,0.0386,0.05462689138674114,-0.3266142793245979,0.1004,0.8193017108339931
High blood pressure prevalence,0.0,0.0,0.0,0.0,-0.011963556066138348,0.398340900315411,0.0593,0.7808243107955638
Medium blood pressure prevalence,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0154,0.9999999999999997
Cancer prevalence,-0.0,-0.0,0.0,0.0,0.0,-0.045174391645069444,-0.0044,0.9822922229537866
Asthma prevalence,0.0,-0.0,0.0,0.0,0.0,0.6147572007992508,0.3305,0.501740509189408
Cervical cancer screenings,-0.018,-0.102,0.0,0.0743,0.06196377156406114,-0.629158716008652,0.3151,0.5593872880959861
Coronary heart disease prevalence,-0.0,-0.0,-0.0,0.0,-0.0,0.3354861835605964,0.091,0.7848177938145201
Routine checkups,0.0,0.0,0.0174,-0.0,-0.0,-0.0,-0.0126,0.9951678668779166
Cholesterol screenings,0.0,0.0,0.0,0.0,-0.0,-0.5044205442033929,0.337,0.5871089445912234
Colon cancer screenings,-0.0612,-0.0963,-0.0,0.0,0.08976367584235803,-0.6684428995167649,0.4209,0.4691287635849933
COPD prevalence,-0.0,-0.0,-0.0,0.0,-0.0,0.564151940750063,0.3013,0.5446370642531608
Core men's health,-0.0215,-0.063,0.0,0.0006,0.09017797077176781,-0.7471771943453409,0.44,0.36781042543097253
Core women's health,-0.0,-0.026,-0.0,0.0033,0.08185470126302852,-0.716468892699853,0.6567,0.39260193263711973
Smoking prevalence,0.0496,0.0,0.0,0.0,-0.0410923966843291,0.7499389290521518,0.5489,0.3611653760681947
Dental checkups,-0.0253,-0.0453,0.0,0.0,0.055416064835420144,-0.755664983069849,0.5017,0.3474500574551645
Depression prevalence,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0033,1.0
Diabetes prevalence,0.0,0.0,0.0,-0.0,-0.04395982506292948,0.47115620357602533,0.1759,0.7018941684386836
General poor health prevalence,0.0,0.0,0.0,-0.0,-0.019124740680157064,0.65117612073514,0.3629,0.48910319915924816
High cholesterol prevalence,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0054,1.0
Chronic kidney disease,-0.0,-0.0,-0.0,0.0,-0.0,0.4575732633050613,0.1818,0.6833858170601995
No physical activity,0.0216,0.031,0.0,-0.0,-0.03677374138825352,0.6414856882718968,0.352,0.5068102982348757
Mammograms,0.0,-0.0737,0.0217,0.0,0.0,-0.36044739063664755,0.144,0.8247514568113284
Poor mental health prevalence,0.0,-0.0,-0.0,-0.0,0.0,0.740172782179601,0.6257,0.283225628522188
Obesity prevalence,0.0,-0.0057,0.0,0.0128,0.0,0.47117838707429616,0.1847,0.6796422043734701
Poor physical health,0.0,0.0,0.0,0.0,-0.0,0.6679619595582391,0.4059,0.4539460526612001
Poor sleep prevalence,0.1232,0.0948,0.0,-0.0,-0.0779100071845804,0.6658611302813046,0.4737,0.4217618034399701
Stroke prevalence,0.0,-0.0,-0.0,0.0,-0.0,0.48026825553251934,0.1808,0.6780137777348203
Teeth loss prevalence,0.0,0.0,-0.0,-0.0,-0.008409177995262652,0.7606833364531299,0.4914,0.324755441643619
